layer,icsub,sse,ssv,kv,layer_name
1,1,7.86277804374e-08,6.91928448306e-05,3.97033309457e-08,upper
1,2,7.86277804374e-08,6.91928448306e-05,3.97033309457e-08,upper
1,3,7.86277804374e-08,6.91928448306e-05,3.97033309457e-08,upper
1,4,7.86277804374e-08,6.91928448306e-05,3.97033309457e-08,upper
1,5,7.86277804374e-08,6.91928448306e-05,3.97033309457e-08,upper
2,6,7.86277804374e-08,6.91928448306e-05,3.97033309457e-08,corcoran
2,7,7.86277804374e-08,6.91928448306e-05,3.97033309457e-08,corcoran
2,8,7.86277804374e-08,6.91928448306e-05,3.97033309457e-08,corcoran
3,9,7.86277804374e-08,6.91928448306e-05,3.97033309457e-08,lower
3,10,7.86277804374e-08,6.91928448306e-05,3.97033309457e-08,lower
3,11,7.86277804374e-08,6.91928448306e-05,3.97033309457e-08,lower
3,12,7.86277804374e-08,6.91928448306e-05,3.97033309457e-08,lower
3,13,7.86277804374e-08,6.91928448306e-05,3.97033309457e-08,lower
3,14,7.86277804374e-08,6.91928448306e-05,3.97033309457e-08,lower
