Layer,Aquifer Unit,IB No.,Clay IB Thickness (ft),SSE (1/ft),SSV (1/ft),KV (ft/day)
1,Upper,1,2.945199367,7.86E-08,6.92E-05,3.97E-08
,,2,4.394816287,7.86E-08,6.92E-05,3.97E-08
,,3,7.436019608,7.86E-08,6.92E-05,3.97E-08
,,4,17.37916923,7.86E-08,6.92E-05,3.97E-08
,,5,41.6814346,7.86E-08,6.92E-05,3.97E-08
2,Corcoran,6,2.997840555,7.86E-08,6.92E-05,3.97E-08
,,7,4.925749091,7.86E-08,6.92E-05,3.97E-08
,,8,22.01998176,7.86E-08,6.92E-05,3.97E-08
3,Lower,9,1.086149196,7.86E-08,6.92E-05,3.97E-08
,,10,3.766779623,7.86E-08,6.92E-05,3.97E-08
,,11,14.72708829,7.86E-08,6.92E-05,3.97E-08
,,12,9.115128546,7.86E-08,6.92E-05,3.97E-08
,,13,12.61247396,7.86E-08,6.92E-05,3.97E-08
,,14,58.68922485,7.86E-08,6.92E-05,3.97E-08
