datetime,Mean CH - layer 3 (Confined Aquifer)
2/1/1901,198.4518623
3/1/1901,198.4480933
4/1/1901,198.399131
5/1/1901,197.6905345
6/1/1901,197.6905343
7/1/1901,197.6905342
8/1/1901,197.6905341
9/1/1901,197.690534
10/1/1901,197.7017048
11/1/1901,197.6940456
12/1/1901,197.2636687
1/1/1902,197.2398847
2/1/1902,196.9613486
3/1/1902,194.8653793
4/1/1902,194.6913559
5/1/1902,194.6403332
6/1/1902,194.1695377
7/1/1902,194.1381403
8/1/1902,194.1471403
9/1/1902,194.1542733
10/1/1902,194.134232
11/1/1902,194.1303792
12/1/1902,194.1268332
1/1/1903,194.1104261
2/1/1903,194.1061404
3/1/1903,194.1018196
4/1/1903,194.0853841
5/1/1903,194.0783664
6/1/1903,194.0961052
7/1/1903,194.0961052
8/1/1903,194.0960726
9/1/1903,194.0960347
10/1/1903,194.095995
11/1/1903,194.0959515
12/1/1903,194.0959078
1/1/1904,194.0958617
2/1/1904,194.0958158
3/1/1904,194.0957737
4/1/1904,194.0957307
5/1/1904,194.0956918
6/1/1904,194.0956528
7/1/1904,194.0956174
8/1/1904,194.0955858
9/1/1904,194.0955597
10/1/1904,194.09554
11/1/1904,194.0955261
12/1/1904,194.095519
1/1/1905,194.0791936
2/1/1905,194.0791874
3/1/1905,194.062657
4/1/1905,194.0462106
5/1/1905,194.0462048
6/1/1905,194.0461989
7/1/1905,194.0461935
8/1/1905,194.0461883
9/1/1905,194.0215305
10/1/1905,194.029688
11/1/1905,194.0381683
12/1/1905,194.0490002
1/1/1906,194.0296005
2/1/1906,194.0053257
3/1/1906,193.9548249
4/1/1906,193.9364015
5/1/1906,193.8127678
6/1/1906,193.8031208
7/1/1906,193.8123448
8/1/1906,193.8300753
9/1/1906,193.8125467
10/1/1906,193.8095946
11/1/1906,193.780118
12/1/1906,193.6613577
1/1/1907,193.3809279
2/1/1907,193.1814894
3/1/1907,192.8067932
4/1/1907,192.1630155
5/1/1907,191.4238943
6/1/1907,191.1151851
7/1/1907,190.4159507
8/1/1907,189.2086937
9/1/1907,187.2762142
10/1/1907,184.8843243
11/1/1907,184.1325641
12/1/1907,183.635379
1/1/1908,183.4978271
2/1/1908,183.4331069
3/1/1908,183.4231375
4/1/1908,183.4229412
5/1/1908,183.4323599
6/1/1908,183.4554118
7/1/1908,183.48993
8/1/1908,183.4816727
9/1/1908,183.4702177
10/1/1908,183.4669223
11/1/1908,183.4640146
12/1/1908,183.4618789
1/1/1909,183.4500641
2/1/1909,183.443786
3/1/1909,183.4200556
4/1/1909,183.4244241
5/1/1909,183.4086448
6/1/1909,183.3819418
7/1/1909,183.3519282
8/1/1909,183.303528
9/1/1909,183.2797101
10/1/1909,183.2527915
11/1/1909,183.2577339
12/1/1909,183.2440179
1/1/1910,183.2295502
2/1/1910,183.2190355
3/1/1910,183.2101801
4/1/1910,183.2025311
5/1/1910,183.1892286
6/1/1910,183.1692906
7/1/1910,183.1608828
8/1/1910,183.0202078
9/1/1910,182.8261298
10/1/1910,182.7222615
11/1/1910,182.6331393
12/1/1910,182.59718
1/1/1911,182.4875056
2/1/1911,181.4379027
3/1/1911,180.118324
4/1/1911,178.9500264
5/1/1911,176.7750442
6/1/1911,174.4034235
7/1/1911,173.3582532
8/1/1911,169.5979936
9/1/1911,168.4363452
10/1/1911,166.8058542
11/1/1911,165.857478
12/1/1911,164.9444632
1/1/1912,164.1406066
2/1/1912,162.0370491
3/1/1912,161.0990859
4/1/1912,160.8073683
5/1/1912,160.69986
6/1/1912,160.6279853
7/1/1912,160.5655743
8/1/1912,160.5089126
9/1/1912,160.4703097
10/1/1912,160.4281018
11/1/1912,160.39426
12/1/1912,160.3666986
1/1/1913,160.3271007
2/1/1913,160.3066011
3/1/1913,160.3013018
4/1/1913,160.2845313
5/1/1913,160.2578029
6/1/1913,160.2552062
7/1/1913,160.2195317
8/1/1913,160.199746
9/1/1913,160.1868703
10/1/1913,160.1753512
11/1/1913,160.1529037
12/1/1913,160.1428407
1/1/1914,160.1332302
2/1/1914,160.1356488
3/1/1914,160.1572454
4/1/1914,160.160355
