Date,BLS,Alt,Aquifer,,
1/2/1962,,150.92,Upper,,
2/2/1962,,150.92,Upper,,
3/5/1962,,153.32,Upper,,
4/6/1962,,153.12,Upper,,
5/2/1962,,152.52,Upper,,
6/7/1962,,151.52,Upper,,
7/2/1962,,151.42,Upper,,
8/2/1962,,151.52,Upper,,
9/6/1962,,150.32,Upper,,
10/3/1962,,149.82,Upper,,
11/1/1962,,149.82,Upper,,
12/5/1962,,150.22,Upper,,
1/7/1963,,149.32,Upper,,
2/10/1963,,149.62,Upper,,
3/5/1963,,150.02,Upper,,
4/2/1963,,149.62,Upper,,
5/3/1963,,149.82,Upper,,
6/4/1963,,149.62,Upper,,
7/2/1963,,149.62,Upper,,
8/5/1963,,150.12,Upper,,
9/4/1963,,150.02,Upper,,
10/4/1963,,150.22,Upper,,
11/5/1963,,148.62,Upper,,
12/4/1963,,148.02,Upper,,
1/2/1964,,147.72,Upper,,
2/5/1964,,148.02,Upper,,
3/2/1964,,147.72,Upper,,
4/2/1964,,147.72,Upper,,
5/4/1964,,147.62,Upper,,
6/4/1964,,147.32,Upper,,
7/6/1965,,145.22,Upper,,
8/3/1965,,145.02,Upper,,
9/7/1965,,144.52,Upper,,
10/7/1965,,144.12,Upper,,
11/4/1965,,144.02,Upper,,
12/3/1965,,143.92,Upper,,
1/5/1966,,144.02,Upper,,
2/2/1966,,144.22,Upper,,
3/3/1966,,144.22,Upper,,
4/4/1966,,143.92,Upper,,
5/3/1966,,143.82,Upper,,
6/2/1966,,143.52,Upper,,
7/7/1966,,143.22,Upper,,
8/2/1966,,142.72,Upper,,
9/7/1966,,142.72,Upper,,
3/6/1967,,142.32,Upper,,
4/7/1967,,142.72,Upper,,
5/5/1967,,143.32,Upper,,
6/7/1967,,143.72,Upper,,
7/7/1967,,143.32,Upper,,
8/7/1967,,139.72,Upper,,
9/1/1967,,142.22,Upper,,
10/2/1967,,142.22,Upper,,
10/30/1967,,142.12,Upper,,
12/1/1967,,142.12,Upper,,
1/3/1968,,141.72,Upper,,
2/2/1968,,141.22,Upper,,
3/12/1968,,141.62,Upper,,
3/27/1968,,141.52,Upper,,
5/6/1968,,141.22,Upper,,
5/31/1968,,138.22,Upper,,
6/27/1968,,138.22,Upper,,
8/5/1968,,140.82,Upper,,
9/3/1968,,141.22,Upper,,
9/30/1968,,140.82,Upper,,
11/6/1968,,142.52,Upper,,
12/11/1968,,140.72,Upper,,
1/2/1969,,140.22,Upper,,
1/30/1969,,141.72,Upper,,
3/5/1969,,144.22,Upper,,
4/4/1969,,145.42,Upper,,
10/1/1970,,148.51,Upper,,
2/23/1972,,144.22,Upper,,
10/16/1972,,140.22,Upper,,
4/17/1973,,142.92,Upper,,
10/15/1973,,144.22,Upper,,
3/19/1974,,144.22,Upper,,
11/12/1974,,142.22,Upper,,
2/26/1975,,143.22,Upper,,
10/27/1975,,141.22,Upper,,
2/24/1976,,141.22,Upper,,
6/22/1976,,140.92,Upper,,
11/9/1976,,140.22,Upper,,
2/14/1977,,141.22,Upper,,
6/23/1977,,140.22,Upper,,
8/26/1977,,140.22,Upper,,
10/28/1977,,141.22,Upper,,
3/20/1978,,143.22,Upper,,
10/26/1978,,143.02,Upper,,
2/5/1979,,134.22,Upper,,
10/19/1979,,146.22,Upper,,
3/11/1980,,143.22,Upper,,
10/8/1980,,148.22,Upper,,
1/7/1981,,145.92,Upper,,
10/8/1981,,150.22,Upper,,
12/16/1981,,146.42,Upper,,
10/7/1982,,146.22,Upper,,
12/15/1982,,147.22,Upper,,
10/20/1983,,150.22,Upper,,
10/24/1984,,159.22,Upper,,
12/12/1984,,152.22,Upper,,
10/11/1985,,157.72,Upper,,
12/18/1985,,129.22,Upper,,
10/28/1986,,133.22,Upper,,
12/2/1986,,138.22,Upper,,
10/23/1987,,137.22,Upper,,
12/15/1987,,136.22,Upper,,
10/19/1988,,131.22,Upper,,
12/6/1988,,130.22,Upper,,
11/7/1989,,125.22,Upper,,
12/21/1989,,124.22,Upper,,
10/10/1990,,118.22,Upper,,
12/19/1990,,118.22,Upper,,
10/29/1991,,116.22,Upper,,
12/18/1991,,119.22,Upper,,
10/14/1992,,146.22,Upper,,
12/8/1992,,112.22,Upper,,
10/19/1993,,111.22,Upper,,
3/12/1994,,114.22,Upper,,
10/26/1994,,117.22,Upper,,
2/17/1995,,114.22,Upper,,
10/18/1995,,116.22,Upper,,
2/7/1996,,117.22,Upper,,
11/6/1996,,116.22,Upper,,
2/21/1997,,118.22,Upper,,
10/14/1997,,153.72,Upper,,
3/2/1998,,158.02,Upper,,
10/13/1998,,160.02,Upper,,
2/1/1999,,159.32,Upper,,
10/12/1999,,157.12,Upper,,
2/5/2001,,157.42,Upper,,
10/10/2001,,157.02,Upper,,
1/29/2002,,155.32,Upper,,
2/13/2003,,153.32,Upper,,
2/9/2004,,153.42,Upper,,
10/12/2004,,153.52,Upper,,
2/9/2005,,155.82,Upper,,
2/7/2006,,156.22,Upper,,
11/15/2006,,158.02,Upper,,
1/31/2007,,157.32,Upper,,
2/27/2008,,157.42,Upper,,
10/28/2008,,156.32,Upper,,
3/10/2009,,153.72,Upper,,
11/9/2009,,157.62,Upper,,
5/8/2010,,157.62,Upper,,
11/5/2010,,157.52,Upper,,
2/23/2011,,158.02,Upper,,
10/25/2011,,160.92,Upper,,
2/7/2012,,159.52,Upper,,
10/16/2012,,160.32,Upper,,
3/12/2013,,159.72,Upper,,
10/15/2013,,159.42,Upper,,
10/13/2015,,156.42,Upper,,
3/17/2016,,156.92,Upper,,
10/24/2016,,158.32,Upper,,
3/29/2017,,160.92,Upper,,
10/6/2017,,164.02,Upper,,
4/3/2018,,160.92,Upper,,
10/15/2018,,160.52,Upper,,
3/22/2019,,161.42,Upper,,
10/14/2019,,164.62,Upper,,
3/2/2020,,154.22,Upper,,
10/9/2020,,162.22,Upper,,
3/10/2022,,159.82,Upper,,
10/8/1964,,106.16,Lower,,
2/9/1965,,126.16,Lower,,
2/14/1966,,126.96,Lower,,
2/8/1967,,119.96,Lower,,
2/19/1968,,122.06,Lower,,
3/7/1969,,119.66,Lower,,
2/16/1970,,127.36,Lower,,
11/18/1970,,103.46,Lower,,
2/17/1971,,120.16,Lower,,
11/23/1971,,93.66,Lower,,
2/9/1972,,110.56,Lower,,
12/4/1975,,94.44,Lower,,
4/13/1979,,50.73,Lower,,
1/26/1982,,64.15,Lower,,
7/8/1982,,56.51,Lower,,
2/2/1983,,79.14,Lower,,
7/28/1983,,71.92,Lower,,
6/18/1984,,52.14,Lower,,
2/14/1985,,98.84,Lower,,
6/26/1985,,49.11,Lower,,
7/16/1986,,66.69,Lower,,
2/3/1987,,100,Lower,,
7/17/1987,,44.14,Lower,,
2/10/1988,,92.96,Lower,,
7/14/1988,,27.41,Lower,,
4/4/1989,,37.97,Lower,,
2/11/1991,,79.2,Lower,,
10/1/1991,,63,Lower,,
1/21/1993,,-21,Lower,,
10/20/1999,,88,Lower,,
1/27/2000,,70,Lower,,
2/12/2001,,109,Lower,,
1/27/2003,,62,Lower,,
9/15/2003,,28,Lower,,
3/9/2004,,50,Lower,,
2/10/2005,,-24,Lower,,
10/17/2005,,21,Lower,,
1/19/2006,,28,Lower,,
10/11/2006,,12,Lower,,
2/13/2007,,44,Lower,,
10/16/2007,,1,Lower,,
2/26/2008,,46,Lower,,
2/24/2011,,26,Lower,,
2/12/2013,,-2,Lower,,
2/11/2014,,-16,Lower,,
11/5/2014,,-71,Lower,,
3/3/2015,,-16,Lower,,
3/22/2019,,35.72,Lower,,
10/18/2019,,-20.82,Lower,,
3/18/2021,,-19,Lower,,
10/20/2021,,-54,Lower,,
3/10/2022,,-18,Lower,,
10/28/2022,,-90,Lower,,
10/13/2023,,-41,Lower,,
3/12/2024,,-29,Lower,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
