datetime,Mean CH - layer 3 (Principal Aquifer)
2/1/1908,323.6797585
3/1/1908,323.6786482
4/1/1908,323.67679
5/1/1908,323.674009
6/1/1908,323.669811
7/1/1908,323.6555009
8/1/1908,323.6430924
9/1/1908,323.641835
10/1/1908,323.6397834
11/1/1908,323.6367319
12/1/1908,323.6322694
1/1/1909,323.6260791
2/1/1909,323.620701
3/1/1909,323.6151248
4/1/1909,323.5969583
5/1/1909,323.5761764
6/1/1909,323.5352705
7/1/1909,323.5004205
8/1/1909,323.4054932
9/1/1909,323.318433
10/1/1909,323.1872867
11/1/1909,323.0581765
12/1/1909,322.9837053
1/1/1910,322.915298
2/1/1910,322.8668954
3/1/1910,322.8281012
4/1/1910,322.8087552
5/1/1910,322.7502127
6/1/1910,322.7156992
7/1/1910,322.6931735
8/1/1910,322.6702213
9/1/1910,322.6064475
10/1/1910,322.5100116
11/1/1910,322.3973057
12/1/1910,322.2722008
1/1/1911,322.1028247
2/1/1911,321.8786845
3/1/1911,321.7551566
4/1/1911,321.6333882
5/1/1911,321.5328375
6/1/1911,321.4733591
7/1/1911,321.4337791
8/1/1911,321.418362
9/1/1911,321.3804227
10/1/1911,321.3403472
11/1/1911,321.3073447
12/1/1911,321.245747
1/1/1912,321.1950621
2/1/1912,321.15296
3/1/1912,321.1200166
4/1/1912,321.0848471
5/1/1912,321.0383029
6/1/1912,321.0092112
7/1/1912,320.9635449
8/1/1912,320.9403732
9/1/1912,320.9425142
10/1/1912,320.9299951
11/1/1912,320.933032
12/1/1912,320.9139605
1/1/1913,320.8972312
2/1/1913,320.8693441
3/1/1913,320.8459826
4/1/1913,320.8425299
5/1/1913,320.797288
6/1/1913,320.748322
7/1/1913,320.7239419
8/1/1913,320.6763401
9/1/1913,320.5860469
10/1/1913,320.5524437
11/1/1913,320.4921022
12/1/1913,320.4639613
1/1/1914,320.4311846
2/1/1914,320.3919168
3/1/1914,320.3863004
4/1/1914,320.3740516
5/1/1914,320.3680245
6/1/1914,320.36397
7/1/1914,320.3610031
8/1/1914,320.3585639
9/1/1914,320.3565109
10/1/1914,320.3546813
11/1/1914,320.352906
12/1/1914,320.3512131
1/1/1915,320.3494477
2/1/1915,320.3476409
3/1/1915,320.3346249
4/1/1915,320.3325257
5/1/1915,320.3299085
6/1/1915,320.3383037
7/1/1915,320.3360291
8/1/1915,320.3330904
