Aquifer,Top,Bot,Thick_ft,Description
Upper,0,11,11,clay
Upper,30,60,30,clay
Upper,60,74,14,sand
Upper,74,88,14,clay
Upper,88,91,3,sand
Upper,91,95,4,clay
Upper,95,98,3,sand
Upper,98,102,4,clay
Upper,102,110,8,sand
Upper,110,118,8,clay
Upper,118,124,6,sand
Upper,124,130,6,clay
Upper,130,136,6,sand
Upper,136,142,6,clay
Upper,142,150,8,sand
Upper,150,158,8,clay
Upper,158,168,10,sand
Upper,168,179,11,clay
Upper,179,184,5,sand
Upper,184,189,5,clay
Upper,189,194,5,sand
Upper,194,199,5,clay
Upper,199,210,11,sand
Upper,210,222,12,clay
Upper,222,227,5,sand
Upper,227,233,6,clay
Upper,233,245,12,clay
Upper,245,256,11,sand
Upper,256,268,12,clay
Upper,268,288,20,clay
Upper,288,293,5,sand
Upper,293,299,6,clay
Upper,299,304,5,sand
Upper,304,310,6,clay
Upper,310,320,10,sand
Upper,320,330,10,clay
Upper,330,355,25,sand
Upper,355,357,2,sand
Upper,357,360,3,clay
Upper,360,368,8,sand
Upper,368,377,9,clay
Upper,377,381,4,sand
Upper,381,385,4,clay
Upper,385,397,12,sand
Upper,397,410,13,clay
Upper,410,412,2,sand
Upper,412,414,2,clay
Upper,414,416,2,sand
Upper,416,418,2,clay
Corcoran,418,428,10,clay
Corcoran,428,458,30,clay
Lower,458,468,10,clay
Lower,468,475,7,sand
Lower,475,483,8,clay
Lower,483,486,3,sand
Lower,486,490,4,clay
Lower,490,493,3,sand
Lower,493,496,3,clay
Lower,496,515,19,clay
Lower,515,527,12,sand
Lower,527,533,6,sand
Lower,533,540,7,clay
Lower,540,547,7,sand
Lower,547,554,7,clay
Lower,554,561,7,sand
Lower,561,568,7,clay
Lower,568,580,12,sand
Lower,580,585,5,sand
Lower,585,590,5,clay
Lower,590,595,5,sand
Lower,595,601,6,clay
Lower,601,604,3,sand
Lower,604,608,4,clay
Lower,608,611,3,sand
Lower,611,615,4,clay
Lower,615,693,78,sand
Lower,693,703,10,sand
Lower,703,714,11,clay
Lower,714,741,27,sand
Lower,741,768,27,clay
Lower,768,779,11,clay
Lower,779,783,4,sand
Lower,783,788,5,clay
Lower,788,800,12,clay
Lower,800,860,60,clay
Lower,860,874,14,sand
Lower,874,888,14,clay
Lower,888,902,14,clay
Lower,902,910,8,sand
Lower,910,918,8,clay
Lower,918,942,24,clay
Lower,942,958,16,sand
Lower,958,968,10,sand
Lower,968,979,11,clay
Lower,979,999,20,clay
Lower,999,1022,23,sand
Lower,1022,1033,11,sand
Lower,1033,1045,12,clay
Lower,1045,1056,11,sand
Lower,1056,1068,12,clay
Lower,1068,1078,10,sand
Lower,1078,1088,10,clay
Lower,1088,1099,11,sand
Lower,1099,1110,11,clay
Lower,1110,1120,10,sand
Lower,1120,1130,10,clay
Lower,1130,1142,12,sand
Lower,1142,1155,13,clay
Lower,1155,1160,5,sand
Lower,1160,1168,8,sand
Lower,1168,1177,9,clay
Lower,1177,1185,8,sand
Lower,1185,1197,12,sand
Lower,1197,1210,13,clay
Lower,1210,1214,4,sand
Lower,1214,1218,4,clay
Lower,1218,1243,25,sand
Lower,1243,1268,25,clay
Lower,1268,1275,7,sand
Lower,1275,1283,8,clay
Lower,1283,1286,3,sand
Lower,1286,1290,4,clay
Lower,1290,1293,3,sand
Lower,1293,1296,3,clay
Lower,1296,1305,9,sand
Lower,1305,1315,10,clay
Lower,1315,1321,6,sand
Lower,1321,1327,6,clay
Lower,1327,1340,13,sand
Lower,1340,1354,14,clay
Lower,1354,1361,7,sand
Lower,1361,1368,7,clay
Lower,1368,1374,6,sand
Lower,1374,1380,6,clay
Lower,1380,1390,10,sand
Lower,1390,1401,11,clay
Lower,1401,1408,7,sand
Lower,1408,1415,7,clay
Lower,1415,1454,39,sand
Lower,1454,1493,39,clay
Lower,1493,1503,10,sand
Lower,1503,1514,11,clay
Lower,1514,1568,54,sand
Lower,1568,1573,5,sand
Lower,1573,1579,6,clay
Lower,1579,1588,9,sand
Lower,1588,1594,6,sand
Lower,1594,1600,6,clay
Lower,1600,1616,16,sand
Lower,1616,1633,17,clay
Lower,1633,1648,15,sand
Lower,1648,1663,15,clay
Lower,1663,1678,15,sand
Lower,1678,1694,16,clay
Lower,1694,1725,31,sand
Lower,1725,1757,32,clay
Lower,1757,1773,16,sand
Lower,1773,1790,17,clay
