Date,BLS,Alt,Aquifer
12/12/1949,,272.32,Upper
5/10/1950,,274.12,Upper
10/23/1950,,243.46,Upper
11/20/1950,,247.46,Upper
12/6/1950,,249.96,Upper
4/19/1951,,257.96,Upper
7/20/1951,,231.46,Upper
9/19/1951,,221.46,Upper
10/22/1951,,228.46,Upper
11/23/1951,,247.46,Upper
12/19/1951,,251.46,Upper
2/21/1952,,262.46,Upper
4/23/1952,,255.46,Upper
6/24/1952,,250.96,Upper
10/22/1952,,242.46,Upper
11/25/1952,,245.46,Upper
12/24/1952,,254.46,Upper
1/21/1953,,261.46,Upper
10/22/1953,,238.46,Upper
12/22/1953,,242.46,Upper
3/22/1954,,244.46,Upper
6/22/1954,,231.46,Upper
11/1/1954,,233.46,Upper
1/31/1955,,246.46,Upper
2/24/1955,,245.46,Upper
9/13/1955,,235.46,Upper
12/27/1955,,233.46,Upper
3/1/1956,,232.46,Upper
10/29/1956,,211.46,Upper
11/28/1956,,217.46,Upper
1/24/1957,,232.46,Upper
2/27/1957,,228.96,Upper
3/26/1957,,215.46,Upper
4/25/1957,,206.96,Upper
5/28/1957,,188.46,Upper
6/26/1957,,183.46,Upper
7/29/1957,,171.46,Upper
8/27/1957,,173.46,Upper
12/12/1957,,220.46,Upper
1/15/1958,,224.46,Upper
2/17/1958,,224.46,Upper
3/4/1958,,220.46,Upper
3/28/1958,,218.46,Upper
9/12/1958,,205.46,Upper
12/4/1958,,210.26,Upper
1/23/1959,,220.46,Upper
2/24/1960,,210.46,Upper
1/25/1961,,221.46,Upper
1/25/1961,,217.23,Upper
2/6/1962,,243.46,Upper
6/26/1962,,231.46,Upper
7/11/1962,,227.46,Upper
8/8/1962,,230.46,Upper
8/23/1962,,228.46,Upper
9/11/1962,,232.46,Upper
8/27/1963,,147.46,Upper
2/27/1964,,171.46,Upper
8/26/1964,,135.46,Upper
2/26/1965,,174.46,Upper
2/25/1966,,194.46,Upper
2/10/1967,,213.46,Upper
1/25/1968,,159.46,Upper
1/16/1969,,149.46,Upper
9/30/1969,,121.46,Upper
9/23/1970,,107.46,Upper
1/24/1971,,144.46,Upper
9/26/1972,,87.26,Upper
2/1/1973,,129.26,Upper
9/27/1973,,95.26,Upper
1/31/1974,,121.26,Upper
9/27/1974,,97.26,Upper
1/30/1975,,133.26,Upper
9/25/1975,,79.26,Upper
1/28/1976,,122.26,Upper
7/20/1976,,97.26,Upper
10/7/1976,,140.26,Upper
1/25/1977,,120.26,Upper
6/15/1977,,110.26,Upper
8/18/1977,,80.26,Upper
10/5/1977,,86.26,Upper
10/4/1978,,210.46,Upper
1/23/1979,,139.46,Upper
9/26/1979,,105.46,Upper
1/23/1980,,140.46,Upper
9/23/1980,,109.46,Upper
1/27/1981,,145.46,Upper
9/22/1981,,99.46,Upper
1/26/1982,,145.46,Upper
9/28/1982,,121.46,Upper
2/17/1983,,158.46,Upper
9/27/1983,,132.46,Upper
2/1/1984,,164.46,Upper
10/2/1984,,123.46,Upper
1/30/1985,,167.46,Upper
1/31/1986,,169.46,Upper
10/1/1986,,144.46,Upper
1/26/1987,,174.46,Upper
10/7/1987,,142.46,Upper
1/27/1988,,173.46,Upper
10/5/1988,,118.46,Upper
1/26/1989,,171.46,Upper
10/4/1989,,135.46,Upper
1/24/1990,,167.46,Upper
10/3/1990,,119.46,Upper
1/30/1991,,156.46,Upper
10/2/1991,,107.46,Upper
