Date,Subsidence_ft,Source
1/1/1908,0,Leveling
6/1/1957,1.587,Leveling
4/15/1959,1.761,Leveling
12/1/1961,1.761,Leveling
2/5/1965,2.387,Leveling
3/9/1970,2.919,Leveling
4/15/1972,3.753055145,Leveling
7/2/2004,7.431652384,Leveling
1/1/2006,7.42434987,InSAR
2/1/2006,7.403352494,InSAR
3/1/2006,7.404008662,InSAR
4/1/2006,7.434520474,InSAR
5/1/2006,7.469625462,InSAR
6/1/2006,7.508667458,InSAR
12/1/2006,7.54738137,InSAR
1/1/2007,7.533929926,InSAR
2/1/2007,7.52113465,InSAR
8/1/2007,7.733404998,InSAR
9/1/2007,7.732420746,InSAR
2/1/2008,7.65072783,InSAR
3/1/2008,7.664507358,InSAR
5/1/2009,7.804271142,InSAR
6/1/2009,7.839704214,InSAR
7/1/2009,7.879074294,InSAR
8/1/2009,7.90335251,InSAR
9/1/2009,7.90171209,InSAR
10/1/2009,7.883339386,InSAR
11/1/2009,7.859389254,InSAR
12/1/2009,7.833798702,InSAR
1/1/2010,7.80656773,InSAR
2/1/2010,7.782617598,InSAR
3/1/2010,7.78524227,InSAR
4/1/2010,7.795412874,InSAR
5/1/2010,7.817722586,InSAR
6/1/2010,7.858076918,InSAR
5/20/2015,7.752268415,InSAR
5/26/2015,7.767360279,InSAR
6/1/2015,7.781139807,InSAR
6/7/2015,7.788685739,InSAR
6/13/2015,7.797215923,InSAR
6/19/2015,7.808698863,InSAR
6/25/2015,7.818213299,InSAR
7/1/2015,7.830024323,InSAR
7/7/2015,7.840851095,InSAR
7/13/2015,7.848397027,InSAR
7/20/2015,7.858895715,InSAR
7/26/2015,7.871362907,InSAR
8/1/2015,7.882845847,InSAR
8/7/2015,7.891704115,InSAR
8/13/2015,7.901218551,InSAR
8/20/2015,7.907452147,InSAR
8/26/2015,7.913685743,InSAR
9/1/2015,7.922215927,InSAR
9/7/2015,7.928449523,InSAR
9/13/2015,7.932714615,InSAR
9/19/2015,7.933042699,InSAR
9/25/2015,7.931402279,InSAR
10/1/2015,7.928777607,InSAR
10/7/2015,7.929761859,InSAR
10/13/2015,7.928449523,InSAR
10/20/2015,7.922544011,InSAR
10/26/2015,7.920575507,InSAR
11/1/2015,7.918278919,InSAR
11/7/2015,7.914341911,InSAR
11/13/2015,7.909420651,InSAR
11/19/2015,7.907452147,InSAR
11/25/2015,7.905483643,InSAR
12/1/2015,7.899906215,InSAR
12/7/2015,7.894328787,InSAR
12/13/2015,7.886454771,InSAR
12/20/2015,7.879236923,InSAR
12/26/2015,7.871034823,InSAR
1/1/2016,7.868738235,InSAR
1/7/2016,7.864473143,InSAR
1/13/2016,7.863816975,InSAR
1/20/2016,7.855614875,InSAR
1/26/2016,7.852334035,InSAR
2/1/2016,7.847740859,InSAR
2/7/2016,7.841507263,InSAR
2/13/2016,7.834617499,InSAR
2/18/2016,7.829040071,InSAR
2/24/2016,7.823790727,InSAR
3/1/2016,7.813948207,InSAR
3/7/2016,7.810011199,InSAR
3/13/2016,7.809355031,InSAR
3/20/2016,7.816900963,InSAR
3/26/2016,7.826743483,InSAR
4/1/2016,7.829040071,InSAR
4/7/2016,7.830024323,InSAR
4/13/2016,7.840194927,InSAR
4/19/2016,7.851349783,InSAR
4/25/2016,7.857911463,InSAR
5/1/2016,7.864145059,InSAR
5/7/2016,7.872675243,InSAR
5/13/2016,7.881861595,InSAR
5/20/2016,7.902530887,InSAR
5/26/2016,7.920575507,InSAR
6/1/2016,7.933698867,InSAR
6/7/2016,7.948790731,InSAR
6/13/2016,7.960273671,InSAR
6/19/2016,7.970772359,InSAR
6/25/2016,7.980614879,InSAR
7/1/2016,7.991769735,InSAR
7/7/2016,8.000299919,InSAR
7/13/2016,8.007517767,InSAR
7/20/2016,8.014735615,InSAR
7/26/2016,8.022937715,InSAR
8/1/2016,8.034420655,InSAR
8/7/2016,8.047215931,InSAR
8/13/2016,8.058370787,InSAR
8/20/2016,8.072806483,InSAR
8/26/2016,8.075431155,InSAR
9/1/2016,8.080352415,InSAR
9/7/2016,8.081008583,InSAR
9/13/2016,8.081992835,InSAR
9/19/2016,8.083305171,InSAR
9/25/2016,8.082320919,InSAR
10/1/2016,8.075431155,InSAR
10/7/2016,8.074118819,InSAR
10/13/2016,8.082649003,InSAR
10/20/2016,8.083633255,InSAR
10/26/2016,8.082977087,InSAR
11/1/2016,8.080352415,InSAR
11/7/2016,8.076415407,InSAR
11/13/2016,8.068213307,InSAR
11/19/2016,8.057714619,InSAR
11/25/2016,8.049184435,InSAR
12/1/2016,8.041966587,InSAR
12/7/2016,8.034748739,InSAR
12/13/2016,8.027858975,InSAR
12/20/2016,8.021953463,InSAR
12/26/2016,8.016376035,InSAR
1/1/2017,8.009814355,InSAR
1/7/2017,8.004893095,InSAR
1/13/2017,7.992753987,InSAR
1/20/2017,7.993738239,InSAR
1/26/2017,7.987176559,InSAR
2/1/2017,7.986520391,InSAR
2/7/2017,7.983567635,InSAR
2/12/2017,7.984879971,InSAR
2/18/2017,7.979302543,InSAR
2/23/2017,7.977662123,InSAR
3/1/2017,7.979958711,InSAR
3/7/2017,7.974709367,InSAR
3/13/2017,7.972412779,InSAR
3/20/2017,7.968475771,InSAR
3/26/2017,7.970772359,InSAR
4/1/2017,7.975365535,InSAR
4/7/2017,7.982583383,InSAR
4/13/2017,7.990457399,InSAR
4/19/2017,7.998331415,InSAR
4/25/2017,8.007845851,InSAR
5/1/2017,8.020313043,InSAR
5/7/2017,8.030483647,InSAR
5/13/2017,8.040326167,InSAR
5/20/2017,8.051152939,InSAR
5/26/2017,8.060339291,InSAR
6/1/2017,8.068541391,InSAR
6/7/2017,8.072478399,InSAR
6/13/2017,8.080680499,InSAR
6/19/2017,8.092491523,InSAR
6/25/2017,8.105614883,InSAR
7/1/2017,8.121034831,InSAR
7/7/2017,8.135142443,InSAR
7/13/2017,8.146625383,InSAR
7/20/2017,8.157780239,InSAR
7/26/2017,8.166966591,InSAR
8/1/2017,8.177137195,InSAR
8/7/2017,8.188620135,InSAR
8/13/2017,8.197806487,InSAR
8/20/2017,8.208305175,InSAR
8/26/2017,8.214538771,InSAR
9/1/2017,8.216179191,InSAR
9/7/2017,8.214210687,InSAR
9/13/2017,8.211914099,InSAR
9/19/2017,8.213882603,InSAR
9/25/2017,8.217819611,InSAR
10/1/2017,8.218803863,InSAR
10/7/2017,8.222084703,InSAR
10/13/2017,8.220116199,InSAR
10/20/2017,8.218803863,InSAR
10/26/2017,8.218147695,InSAR
11/1/2017,8.217163443,InSAR
11/7/2017,8.210601763,InSAR
11/13/2017,8.205352419,InSAR
11/19/2017,8.199774991,InSAR
11/25/2017,8.190916723,InSAR
12/1/2017,8.180418035,InSAR
12/7/2017,8.170575515,InSAR
12/13/2017,8.162045331,InSAR
12/20/2017,8.153843231,InSAR
12/26/2017,8.146297299,InSAR
1/1/2018,8.135470527,InSAR
1/7/2018,8.132845855,InSAR
1/13/2018,8.128252679,InSAR
1/20/2018,8.121690999,InSAR
1/26/2018,8.114801235,InSAR
2/1/2018,8.109223807,InSAR
2/7/2018,8.102005959,InSAR
2/12/2018,8.097740867,InSAR
2/18/2018,8.091507271,InSAR
2/23/2018,8.087898347,InSAR
3/1/2018,8.082649003,InSAR
3/7/2018,8.084289423,InSAR
3/13/2018,8.092163439,InSAR
3/20/2018,8.098397035,InSAR
3/26/2018,8.099709371,InSAR
4/1/2018,8.105286799,InSAR
4/7/2018,8.111848479,InSAR
4/13/2018,8.118082075,InSAR
4/19/2018,8.126940343,InSAR
4/25/2018,8.133173939,InSAR
5/1/2018,8.138751367,InSAR
5/7/2018,8.145641131,InSAR
5/13/2018,8.151218559,InSAR
5/20/2018,8.159092575,InSAR
5/26/2018,8.168278927,InSAR
6/1/2018,8.177793363,InSAR
6/7/2018,8.188292051,InSAR
6/13/2018,8.199446907,InSAR
6/19/2018,8.210273679,InSAR
6/25/2018,8.221756619,InSAR
7/1/2018,8.233567643,InSAR
7/7/2018,8.245378667,InSAR
7/13/2018,8.257517775,InSAR
7/20/2018,8.269984967,InSAR
7/26/2018,8.273593891,InSAR
8/1/2018,8.282452159,InSAR
8/7/2018,8.298200191,InSAR
8/13/2018,8.306074207,InSAR
8/20/2018,8.309026963,InSAR
8/26/2018,8.311979719,InSAR
9/1/2018,8.314276307,InSAR
9/7/2018,8.317885231,InSAR
9/13/2018,8.326415415,InSAR
9/19/2018,8.332320927,InSAR
9/25/2018,8.337242187,InSAR
10/1/2018,8.334617515,InSAR
10/7/2018,8.337242187,InSAR
10/13/2018,8.334945599,InSAR
10/20/2018,8.329040087,InSAR
10/26/2018,8.323134575,InSAR
11/1/2018,8.322806491,InSAR
11/7/2018,8.319853735,InSAR
11/13/2018,8.312307803,InSAR
11/19/2018,8.305418039,InSAR
11/25/2018,8.299840611,InSAR
12/1/2018,8.298528275,InSAR
12/7/2018,8.291310427,InSAR
12/13/2018,8.281467907,InSAR
12/20/2018,8.270313051,InSAR
12/26/2018,8.260798615,InSAR
1/1/2019,8.255549271,InSAR
1/7/2019,8.254236935,InSAR
1/13/2019,8.253252683,InSAR
1/20/2019,8.247675255,InSAR
1/26/2019,8.241769743,InSAR
2/1/2019,8.237176567,InSAR
2/7/2019,8.231927223,InSAR
2/12/2019,8.226677879,InSAR
2/18/2019,8.224709375,InSAR
2/23/2019,8.227334047,InSAR
3/1/2019,8.229302551,InSAR
3/7/2019,8.235536147,InSAR
3/13/2019,8.243410163,InSAR
3/20/2019,8.245378667,InSAR
3/26/2019,8.246034835,InSAR
4/1/2019,8.248003339,InSAR
4/7/2019,8.247019087,InSAR
4/13/2019,8.248331423,InSAR
4/19/2019,8.250956095,InSAR
4/25/2019,8.251284179,InSAR
5/1/2019,8.254565019,InSAR
5/7/2019,8.257517775,InSAR
5/13/2019,8.257845859,InSAR
5/20/2019,8.269000715,InSAR
5/26/2019,8.277530899,InSAR
6/1/2019,8.287373419,InSAR
6/7/2019,8.302465283,InSAR
6/13/2019,8.313948223,InSAR
6/19/2019,8.325759247,InSAR
6/25/2019,8.335273683,InSAR
7/1/2019,8.349709379,InSAR
7/7/2019,8.364473159,InSAR
7/13/2019,8.371691007,InSAR
7/20/2019,8.381205443,InSAR
7/26/2019,8.390063711,InSAR
8/1/2019,8.398921979,InSAR
8/7/2019,8.405811743,InSAR
8/13/2019,8.411061087,InSAR
8/20/2019,8.413029591,InSAR
8/26/2019,8.414670011,InSAR
9/1/2019,8.419263187,InSAR
9/7/2019,8.417622767,InSAR
9/13/2019,8.416310431,InSAR
9/19/2019,8.410733003,InSAR
9/25/2019,8.410076835,InSAR
10/1/2019,8.408764499,InSAR
10/7/2019,8.402530903,InSAR
10/13/2019,8.396953475,InSAR
10/20/2019,8.387767123,InSAR
10/26/2019,8.380549275,InSAR
11/1/2019,8.378580771,InSAR
11/7/2019,8.371362923,InSAR
11/13/2019,8.362504655,InSAR
11/19/2019,8.352334051,InSAR
11/25/2019,8.344788119,InSAR
12/1/2019,8.338226439,InSAR
12/7/2019,8.330352423,InSAR
12/13/2019,8.330680507,InSAR
12/20/2019,8.324774995,InSAR
12/26/2019,8.318541399,InSAR
1/1/2020,8.311979719,InSAR
1/7/2020,8.305746123,InSAR
1/13/2020,8.299512527,InSAR
1/20/2020,8.297215939,InSAR
1/26/2020,8.289998091,InSAR
2/1/2020,8.283436411,InSAR
2/7/2020,8.281467907,InSAR
2/13/2020,8.278187067,InSAR
2/18/2020,8.279499403,InSAR
2/24/2020,8.279171319,InSAR
3/1/2020,8.280155571,InSAR
3/7/2020,8.286061083,InSAR
3/13/2020,8.292294679,InSAR
3/20/2020,8.294919351,InSAR
3/26/2020,8.300496779,InSAR
4/1/2020,8.306402291,InSAR
4/7/2020,8.313292055,InSAR
4/13/2020,8.315260559,InSAR
4/19/2020,8.319853735,InSAR
4/25/2020,8.327399667,InSAR
5/1/2020,8.341507279,InSAR
5/7/2020,8.353318303,InSAR
5/13/2020,8.367425915,InSAR
5/20/2020,8.385470535,InSAR
5/26/2020,8.403843239,InSAR
6/1/2020,8.414670011,InSAR
6/7/2020,8.430746127,InSAR
6/13/2020,8.445509907,InSAR
6/19/2020,8.460273687,InSAR
6/25/2020,8.477005971,InSAR
7/1/2020,8.493082087,InSAR
7/7/2020,8.509814371,InSAR
7/13/2020,8.529499411,InSAR
7/20/2020,8.552793375,InSAR
7/26/2020,8.565916735,InSAR
8/1/2020,8.583633271,InSAR
8/7/2020,8.596428547,InSAR
8/13/2020,8.611520411,InSAR
8/20/2020,8.623331435,InSAR
8/26/2020,8.624315687,InSAR
9/1/2020,8.630221199,InSAR
9/7/2020,8.632517787,InSAR
9/13/2020,8.630877367,InSAR
9/19/2020,8.622347183,InSAR
9/25/2020,8.625628023,InSAR
10/1/2020,8.620050595,InSAR
10/7/2020,8.614801251,InSAR
10/13/2020,8.605286815,InSAR
10/20/2020,8.599053219,InSAR
10/26/2020,8.589866867,InSAR
11/1/2020,8.576743507,InSAR
11/7/2020,8.564276315,InSAR
11/13/2020,8.556402299,InSAR
11/19/2020,8.544919359,InSAR
11/25/2020,8.535733007,InSAR
12/1/2020,8.530483663,InSAR
12/7/2020,8.522281563,InSAR
12/13/2020,8.515391799,InSAR
12/20/2020,8.504893111,InSAR
12/26/2020,8.493082087,InSAR
1/1/2021,8.483239567,InSAR
1/7/2021,8.472412795,InSAR
1/13/2021,8.462898359,InSAR
1/20/2021,8.453712007,InSAR
1/26/2021,8.450103083,InSAR
2/1/2021,8.447478411,InSAR
2/7/2021,8.447478411,InSAR
2/12/2021,8.449774999,InSAR
2/18/2021,8.450431167,InSAR
