Date,BLS,Alt,Aquifer
1/1/1952,,200,Upper
11/24/1961,,63.47,Upper
2/28/1967,,41.34,Upper
3/1/1968,,102.34,Upper
3/13/1969,,100.34,Upper
10/19/1970,,70.34,Upper
3/1/1971,,107.34,Upper
2/16/1972,,102.84,Upper
4/11/1973,,113.84,Upper
3/12/1974,,115.84,Upper
2/18/1975,,107.84,Upper
2/3/1976,,92.84,Upper
10/21/1976,,96.84,Upper
2/1/1977,,107.84,Upper
6/7/1977,,69.84,Upper
10/12/1977,,62.84,Upper
10/12/1978,,105.34,Upper
10/2/1979,,112.34,Upper
2/4/1980,,115.34,Upper
9/30/1980,,130.34,Upper
9/29/1981,,103.34,Upper
2/3/1982,,101.34,Upper
10/12/1982,,126.34,Upper
10/13/1983,,130.34,Upper
2/17/1984,,134.34,Upper
10/29/1984,,134.34,Upper
2/20/1985,,136.34,Upper
10/28/1985,,128.34,Upper
2/11/1986,,139.34,Upper
10/8/1986,,150.34,Upper
2/25/1987,,151.34,Upper
10/13/1987,,135.34,Upper
2/17/1988,,129.34,Upper
10/13/1988,,100.34,Upper
2/15/1989,,103.34,Upper
10/10/1989,,69.34,Upper
2/7/1990,,64.34,Upper
10/18/1990,,44.34,Upper
10/24/1991,,55.34,Upper
1/24/1992,,64.34,Upper
10/28/1992,,80.34,Upper
3/15/1993,,90.44,Upper
10/21/1993,,100.34,Upper
2/23/1994,,70.34,Upper
11/18/1994,,13.84,Upper
2/27/1995,,72.34,Upper
10/20/1995,,91.34,Upper
4/17/1996,,107.34,Upper
10/24/1996,,107.34,Upper
2/20/1997,,115.14,Upper
10/17/1997,,112.34,Upper
10/22/1998,,123.84,Upper
10/20/1999,,106.84,Upper
2/9/2000,,97.34,Upper
2/7/2001,,95.34,Upper
2/7/2002,,84.34,Upper
2/27/2003,,45.34,Upper
3/11/2004,,55.34,Upper
2/23/2005,,77.34,Upper
2/14/2006,,94.34,Upper
10/11/2006,,102.34,Upper
2/19/2008,,42.34,Upper
10/23/2008,,33.34,Upper
2/25/2009,,43.34,Upper
10/7/2009,,58.04,Upper
3/29/2010,,82.34,Upper
10/11/2010,,81.34,Upper
2/7/2011,,91.24,Upper
10/28/2011,,39.324,Upper
4/27/2012,,10.824,Upper
10/25/2012,,-10.676,Upper
4/24/2013,,-33.676,Upper
10/24/2013,,-46.676,Upper
4/24/2014,,-38.676,Upper
10/14/2014,,-59.676,Upper
3/27/2015,,-48.676,Upper
10/15/2015,,-69.676,Upper
3/16/2016,,-47.68,Upper
10/24/2016,,-72.18,Upper
5/18/2017,,-7.68,Upper
10/12/2017,,3.32,Upper
3/16/2018,,-11.18,Upper
10/15/2018,,-50.18,Upper
3/12/2019,,-14.68,Upper
10/22/2019,,-4.28,Upper
2/26/2020,,0.09,Upper
10/7/2020,,-64.31,Upper
3/11/2021,,-50.61,Upper
10/11/2021,,-102.81,Upper
3/15/2022,,-79.73,Upper
10/3/2022,,-112.94,Upper
4/13/2023,,-46.19,Upper
10/17/2023,,-17.9,Upper
3/19/2024,,0.64,Upper
10/18/1945,,187.36,Lower
10/16/1947,,136.36,Lower
10/26/1948,,104.36,Lower
10/28/1949,,87.36,Lower
10/3/1950,,97.66,Lower
10/10/1951,,87.86,Lower
10/3/1952,,96.36,Lower
10/21/1953,,77.06,Lower
10/6/1954,,81.86,Lower
10/17/1955,,71.66,Lower
3/1/1956,,88.36,Lower
11/1/1956,,91.56,Lower
2/14/1957,,91.26,Lower
5/10/1957,,60.36,Lower
5/8/1958,,81.76,Lower
10/28/1958,,68.86,Lower
5/9/1959,,73.36,Lower
10/14/1959,,50.16,Lower
5/1/1960,,13.91,Lower
5/10/1960,,20.86,Lower
12/16/1965,,25.86,Lower
12/28/1966,,12.86,Lower
12/20/1967,,36.86,Lower
12/21/1968,,14.86,Lower
12/10/1969,,40.86,Lower
1/4/1971,,45.86,Lower
1/7/1972,,49.86,Lower
2/23/1973,,71.86,Lower
2/8/1974,,77.86,Lower
12/16/1974,,91.86,Lower
12/15/1975,,84.86,Lower
12/14/1976,,60.86,Lower
7/12/1978,,38.86,Lower
1/3/1979,,30,Lower
12/21/1979,,71,Lower
12/3/1980,,90,Lower
12/8/1981,,75,Lower
12/16/1982,,97,Lower
1/13/1986,,107,Lower
12/11/1986,,66,Lower
1/27/1988,,74,Lower
12/12/1988,,41,Lower
1/23/1990,,26,Lower
12/5/1995,,36,Lower
12/15/1997,,68,Lower
12/5/2001,,45,Lower
10/27/2017,,-30.6,Lower
12/10/2018,,-76.4,Lower
6/10/2019,,-64.5,Lower
11/13/2019,,-40.37,Lower
4/3/2020,,-32.7,Lower
11/2/2020,,-149.78,Lower
11/15/2020,,-102.1,Lower
11/30/2022,,-152.3,Lower
3/30/2023,,-116.1,Lower
4/19/2024,,-33.69,Lower
4/19/2024,,-33.7,Lower
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
