datetime,Mean  CH - layer 3 (Lower Semi-Confined Aquifer)
2/1/1901,225.4105275
3/1/1901,225.4083611
4/1/1901,225.3128392
5/1/1901,225.2593133
6/1/1901,224.9348742
7/1/1901,224.6958947
8/1/1901,223.7935631
9/1/1901,223.7196698
10/1/1901,223.6805185
11/1/1901,223.5913444
12/1/1901,223.5089873
1/1/1902,223.1704792
2/1/1902,223.2642011
3/1/1902,223.1082053
4/1/1902,222.695003
5/1/1902,222.7181288
6/1/1902,222.6960045
7/1/1902,222.6824818
8/1/1902,222.6581779
9/1/1902,222.7080614
10/1/1902,222.6664153
11/1/1902,222.6392612
12/1/1902,222.6318725
1/1/1903,222.6210286
2/1/1903,222.6401486
3/1/1903,222.6345739
4/1/1903,222.6310321
5/1/1903,222.626414
6/1/1903,222.6094625
7/1/1903,222.5676254
8/1/1903,222.6031286
9/1/1903,222.5925205
10/1/1903,222.6043488
11/1/1903,222.5854905
12/1/1903,222.6319561
1/1/1904,222.6056608
2/1/1904,222.5592234
3/1/1904,222.4679921
4/1/1904,222.4362272
5/1/1904,222.392023
6/1/1904,222.3319066
7/1/1904,222.2725845
8/1/1904,222.1059984
9/1/1904,222.1361923
10/1/1904,222.0196675
11/1/1904,222.0034629
12/1/1904,221.9446845
1/1/1905,221.9351033
2/1/1905,221.8356523
3/1/1905,221.5611135
4/1/1905,221.4053416
5/1/1905,221.0466531
6/1/1905,220.8812899
7/1/1905,220.775371
8/1/1905,220.6582126
9/1/1905,220.7783677
10/1/1905,220.7287178
11/1/1905,220.6854803
12/1/1905,220.6603858
1/1/1906,220.5956907
2/1/1906,220.671665
3/1/1906,220.6119205
4/1/1906,220.5085957
5/1/1906,220.3374151
6/1/1906,220.2242492
7/1/1906,220.1886896
8/1/1906,220.1717841
9/1/1906,220.1666957
10/1/1906,220.1286569
11/1/1906,220.1955385
12/1/1906,220.1109599
1/1/1907,220.1014579
2/1/1907,220.1397664
3/1/1907,220.0500453
4/1/1907,220.0927685
5/1/1907,220.0663247
6/1/1907,220.0392044
7/1/1907,220.0153608
8/1/1907,219.9966285
9/1/1907,219.9189064
10/1/1907,219.865327
11/1/1907,219.8481118
12/1/1907,219.8225967
1/1/1908,219.8122971
2/1/1908,219.7531325
3/1/1908,219.5974365
4/1/1908,219.3508259
5/1/1908,219.2984783
6/1/1908,219.0577971
7/1/1908,218.6771555
8/1/1908,218.6251867
9/1/1908,218.726697
10/1/1908,218.6431717
11/1/1908,218.6123722
12/1/1908,218.5825492
1/1/1909,218.6038627
2/1/1909,218.5720552
3/1/1909,218.5505528
4/1/1909,218.4049092
5/1/1909,218.3249733
6/1/1909,218.3503898
7/1/1909,218.3368718
8/1/1909,218.3162837
9/1/1909,218.3221737
10/1/1909,218.2552063
11/1/1909,218.2943815
12/1/1909,218.3390301
1/1/1910,218.3900971
2/1/1910,218.5079738
3/1/1910,218.4347514
4/1/1910,218.4207788
5/1/1910,218.3476409
6/1/1910,218.1603394
7/1/1910,218.1874366
8/1/1910,218.1536393
9/1/1910,218.2959631
10/1/1910,218.3403394
11/1/1910,218.4526619
12/1/1910,218.3974193
1/1/1911,218.40381
2/1/1911,218.3423329
3/1/1911,218.2265229
4/1/1911,218.1942716
5/1/1911,218.1926017
6/1/1911,218.1571746
7/1/1911,218.0758076
8/1/1911,218.0603033
9/1/1911,218.0489552
10/1/1911,218.192709
11/1/1911,218.2302391
12/1/1911,218.215702
1/1/1912,218.2509407
2/1/1912,218.271689
3/1/1912,218.1429203
4/1/1912,218.1340102
5/1/1912,218.1759848
6/1/1912,218.2664651
7/1/1912,218.266481
8/1/1912,218.1155692
9/1/1912,218.0871353
10/1/1912,218.0402086
11/1/1912,217.965001
12/1/1912,217.9324668
1/1/1913,217.9020992
2/1/1913,217.8619026
3/1/1913,217.9220583
4/1/1913,218.1688622
5/1/1913,218.0631539
6/1/1913,218.0803114
7/1/1913,218.0486971
8/1/1913,217.8404348
9/1/1913,217.7017257
10/1/1913,217.3312106
11/1/1913,217.1294108
12/1/1913,217.0022273
1/1/1914,216.7811707
2/1/1914,216.6829593
3/1/1914,216.5404529
4/1/1914,216.4230894
5/1/1914,216.2614116
6/1/1914,216.0670173
7/1/1914,215.9850111
8/1/1914,215.896098
9/1/1914,215.9062471
10/1/1914,215.8045573
11/1/1914,215.6918264
12/1/1914,215.5012595
1/1/1915,215.209821
2/1/1915,214.2588459
3/1/1915,213.6742698
4/1/1915,213.5761297
5/1/1915,213.532698
6/1/1915,213.3133563
7/1/1915,213.1571239
8/1/1915,213.0752553
9/1/1915,213.0060324
10/1/1915,212.6127499
11/1/1915,212.5185921
12/1/1915,212.3977184
1/1/1916,212.280714
2/1/1916,212.24976
3/1/1916,212.2248695
4/1/1916,212.1856796
5/1/1916,212.1134464
6/1/1916,212.1239532
7/1/1916,212.1001189
8/1/1916,212.0788611
9/1/1916,212.0945688
10/1/1916,212.0731419
11/1/1916,212.0536835
12/1/1916,211.9383033
1/1/1917,211.7732007
2/1/1917,211.6749934
3/1/1917,211.6627256
4/1/1917,211.6476915
5/1/1917,211.5502705
6/1/1917,211.4380016
7/1/1917,211.3724062
8/1/1917,211.3460557
9/1/1917,211.2482815
10/1/1917,211.0958188
11/1/1917,210.9749273
12/1/1917,210.9439956
1/1/1918,210.8140344
2/1/1918,210.7544571
3/1/1918,210.299937
4/1/1918,210.1630102
5/1/1918,209.9195065
6/1/1918,209.8595326
7/1/1918,209.7865895
8/1/1918,209.7339799
9/1/1918,209.5820659
10/1/1918,209.2562296
11/1/1918,209.1098997
12/1/1918,208.5436121
1/1/1919,208.0049905
2/1/1919,207.8333153
3/1/1919,207.662748
4/1/1919,207.5570315
5/1/1919,207.5713004
6/1/1919,207.4894271
7/1/1919,207.3627738
8/1/1919,207.2771849
9/1/1919,207.2168124
10/1/1919,207.0306703
11/1/1919,206.8353054
12/1/1919,206.7279429
1/1/1920,206.1640975
2/1/1920,206.051105
3/1/1920,205.9970827
4/1/1920,205.8953793
5/1/1920,205.6878855
6/1/1920,205.5782099
7/1/1920,205.3346596
8/1/1920,205.3010651
9/1/1920,205.1807799
10/1/1920,204.8826474
11/1/1920,204.8125061
12/1/1920,204.6557809
1/1/1921,203.9171176
2/1/1921,203.6371879
3/1/1921,203.3911438
4/1/1921,202.5215917
