datetime,Mean CH - layer 3 (Lower Semi-Confined Aquifer)
2/1/1901,225.408196
3/1/1901,225.4516223
4/1/1901,225.1811168
5/1/1901,224.8694512
6/1/1901,224.8490365
7/1/1901,224.2340531
8/1/1901,223.6946525
9/1/1901,223.4892778
10/1/1901,223.0852004
11/1/1901,222.4630423
12/1/1901,222.3040887
1/1/1902,222.041646
2/1/1902,221.9200116
3/1/1902,221.898404
4/1/1902,221.8384873
5/1/1902,221.6884
6/1/1902,221.3261695
7/1/1902,221.1554125
8/1/1902,220.8176102
9/1/1902,220.7470263
10/1/1902,220.7134794
11/1/1902,220.6677103
12/1/1902,220.5768104
1/1/1903,220.5315136
2/1/1903,220.3507965
3/1/1903,219.4041866
4/1/1903,218.4712172
5/1/1903,217.7190209
6/1/1903,216.5915303
7/1/1903,216.3477777
8/1/1903,216.1363017
9/1/1903,215.3011691
10/1/1903,213.8393031
11/1/1903,213.0850508
12/1/1903,212.8117652
1/1/1904,212.5393901
2/1/1904,212.2750332
3/1/1904,211.5745995
4/1/1904,211.3943987
5/1/1904,211.139858
6/1/1904,210.9460513
7/1/1904,210.812536
8/1/1904,210.689235
9/1/1904,210.4403062
10/1/1904,210.2195024
11/1/1904,210.0658038
12/1/1904,209.5117787
1/1/1905,209.2763176
2/1/1905,208.6944459
3/1/1905,208.451645
4/1/1905,208.3639327
5/1/1905,208.2839258
6/1/1905,208.2235909
7/1/1905,208.1740365
8/1/1905,208.1412881
9/1/1905,208.1041017
10/1/1905,208.0699939
11/1/1905,208.0365265
12/1/1905,208.0056445
1/1/1906,207.9379828
2/1/1906,207.9121951
3/1/1906,207.9021754
4/1/1906,207.8750294
5/1/1906,207.8583984
6/1/1906,207.8341211
7/1/1906,207.8112983
8/1/1906,207.7723683
9/1/1906,207.7605838
10/1/1906,207.7308615
11/1/1906,207.7105845
12/1/1906,207.7160517
1/1/1907,207.6879596
2/1/1907,207.671798
3/1/1907,207.6484549
4/1/1907,207.6371327
5/1/1907,207.6184131
6/1/1907,207.6026224
7/1/1907,207.5965397
8/1/1907,207.5823089
9/1/1907,207.5635705
10/1/1907,207.5393421
11/1/1907,207.509205
12/1/1907,207.4864529
1/1/1908,207.4748681
2/1/1908,207.451762
3/1/1908,207.4514446
4/1/1908,207.4407112
5/1/1908,207.4422132
6/1/1908,207.4324407
7/1/1908,207.4293141
8/1/1908,207.4188864
9/1/1908,207.4097105
10/1/1908,207.3929219
11/1/1908,207.3849128
12/1/1908,207.3342089
1/1/1909,207.3263885
2/1/1909,207.3196161
3/1/1909,207.3329113
4/1/1909,207.3231817
5/1/1909,207.316597
6/1/1909,207.313357
7/1/1909,207.3072499
8/1/1909,207.3013726
9/1/1909,207.3131675
