Aquifer,Top,Bot,Thick_ft,Description
Upper,0,4,4,sand
Upper,4,6,2,sand
Upper,6,8,2,clay
Upper,8,14,6,sand
Upper,14,17,3,sand
Upper,17,20,3,clay
Upper,20,26,6,clay
Upper,26,32,6,sand
Upper,32,63,31,clay
Upper,63,67,4,sand
Upper,67,95,28,clay
Upper,95,97,2,sand
Upper,97,99,2,clay
Upper,99,104,5,sand
Upper,104,110,6,clay
Upper,110,124,14,clay
Upper,124,142,18,sand
Upper,142,143,1,sand
Upper,143,145,2,clay
Upper,145,158,13,sand
Corcoran,158,171,13,clay
Corcoran,171,178,7,sand
Lower,178,184,6,sand
Lower,184,198,14,clay
Lower,198,199,1,sand
Lower,199,201,2,clay
Lower,201,239,38,sand
Lower,239,278,39,clay
Lower,278,282,4,sand
Lower,282,286,4,clay
Lower,286,298,12,sand
Lower,298,311,13,clay
Lower,311,313,2,sand
Lower,313,316,3,clay
Lower,316,334,18,sand
Lower,334,352,18,clay
Lower,352,354,2,sand
Lower,354,356,2,clay
Lower,356,364,8,sand
Lower,364,372,8,clay
Lower,372,392,20,sand
Lower,392,402,10,sand
Lower,402,412,10,clay
Lower,412,417,5,clay
Lower,417,427,10,clay
Lower,427,437,10,sand
Lower,437,447,10,clay
Lower,447,467,20,clay
Lower,467,497,30,sand
Lower,497,501,4,sand
Lower,501,529,28,clay
Lower,529,542,13,clay
Lower,542,558,16,sand
Lower,558,565,7,sand
Lower,565,572,7,clay
Lower,572,573,1,sand
Lower,573,574,1,clay
Lower,574,590,16,sand
Lower,590,600,10,clay
Lower,600,630,30,sand
Lower,630,630,0,sand
Lower,630,631,1,clay
Lower,631,632,1,sand
Lower,632,633,1,clay
Lower,633,634,1,sand
Lower,634,635,1,clay
Lower,635,646,11,sand
Lower,646,651,5,clay
Lower,651,670,19,sand
Lower,670,671,1,sand
Lower,671,673,2,clay
Lower,673,695,22,sand
Lower,695,698,3,sand
Lower,698,701,3,clay
Lower,701,702,1,sand
Lower,702,704,2,clay
Lower,704,706,2,sand
Lower,706,708,2,clay
Lower,708,731,23,clay
Lower,731,731,0,sand
Lower,731,732,1,clay
Lower,732,734,2,sand
Lower,734,737,3,clay
Lower,737,741,4,sand
Lower,741,751,10,clay
Lower,751,756,5,sand
Lower,756,761,5,clay
Lower,761,766,5,sand
Lower,766,771,5,clay
Lower,771,791,20,clay
Lower,791,811,20,clay
Lower,811,816,5,sand
Lower,816,821,5,clay
Lower,821,831,10,clay
Lower,831,843,12,clay
Lower,843,859,16,clay
Lower,859,859,0,sand
Lower,859,860,1,clay
Lower,860,896,36,clay
Lower,896,905,9,sand
Lower,905,907,2,sand
Lower,907,909,2,clay
Lower,909,911,2,sand
Lower,911,914,3,clay
Lower,914,916,2,sand
Lower,916,918,2,clay
Lower,918,922,4,sand
Lower,922,927,5,clay
Lower,927,931,4,clay
Lower,931,933,2,sand
Lower,933,936,3,clay
Lower,936,942,6,clay
Lower,942,943,1,sand
Lower,943,944,1,clay
Lower,944,951,7,sand
Lower,951,962,11,clay
Lower,962,964,2,sand
Lower,964,966,2,clay
Lower,966,971,5,clay
Lower,971,979,8,clay
Lower,979,984,5,sand
Lower,984,999,15,clay
Lower,999,999,0,sand
Lower,999,1000,1,clay
Lower,1000,1001,1,sand
Lower,1001,1002,1,clay
Lower,1002,1012,10,sand
Lower,1012,1032,20,clay
Lower,1032,1036,4,sand
Lower,1036,1040,4,clay
Lower,1040,1042,2,sand
Lower,1042,1043,1,sand
Lower,1043,1045,2,clay
Lower,1045,1047,2,clay
Lower,1047,1049,2,sand
Lower,1049,1052,3,clay
Lower,1052,1059,7,sand
Lower,1059,1066,7,clay
Lower,1066,1068,2,sand
Lower,1068,1071,3,clay
Lower,1071,1075,4,sand
Lower,1075,1080,5,clay
Lower,1080,1082,2,sand
Lower,1082,1085,3,clay
Lower,1085,1091,6,clay
Lower,1091,1093,2,sand
Lower,1093,1095,2,clay
Lower,1095,1096,1,sand
Lower,1096,1097,1,clay
Lower,1097,1098,1,sand
Lower,1098,1100,2,clay
Lower,1100,1103,3,sand
Lower,1103,1106,3,clay
Lower,1106,1108,2,sand
Lower,1108,1110,2,clay
Lower,1110,1113,3,sand
Lower,1113,1117,4,clay
Lower,1117,1120,3,sand
Lower,1120,1124,4,clay
Lower,1124,1129,5,sand
Lower,1129,1135,6,clay
Lower,1135,1140,5,sand
Lower,1140,1145,5,clay
Lower,1145,1148,3,sand
Lower,1148,1191,43,sand
Lower,1191,1235,44,clay
Lower,1235,1236,1,sand
Lower,1236,1238,2,clay
Lower,1238,1247,9,sand
Lower,1247,1257,10,clay
Lower,1257,1259,2,sand
Lower,1259,1261,2,clay
Lower,1261,1263,2,sand
Lower,1263,1265,2,clay
Lower,1265,1284,19,sand
Lower,1284,1304,20,clay
Lower,1304,1304,0,sand
Lower,1304,1305,1,clay
