Date,Subsidence_ft,Source
1/1/1901,0.00,Leveling
1/1/1931,0.00,Leveling
3/1/1933,0.00,Leveling
5/10/1943,0.10,Leveling
9/1/1948,0.18,Leveling
2/1/1958,0.22,Leveling
1/1/1965,0.32,Leveling
7/1/1972,0.40,Leveling
3/1/1988,0.40,Leveling
4/1/2004,0.60,Leveling
11/1/2004,0.661679819,InSAR
12/1/2004,0.671679819,InSAR
1/1/2005,0.681679819,InSAR
2/1/2005,0.691679819,InSAR
3/1/2005,0.691679819,InSAR
4/1/2005,0.691679819,InSAR
1/1/2006,0.741679819,InSAR
2/1/2006,0.751679819,InSAR
3/1/2006,0.741679819,InSAR
4/1/2006,0.741679819,InSAR
5/1/2006,0.751679819,InSAR
6/1/2006,0.751679819,InSAR
7/1/2006,0.741679819,InSAR
8/1/2006,0.751679819,InSAR
9/1/2006,0.771679819,InSAR
10/1/2006,0.761679819,InSAR
11/1/2006,0.771679819,InSAR
12/1/2006,0.791679819,InSAR
1/1/2007,0.811679819,InSAR
2/1/2007,0.821679819,InSAR
12/1/2007,0.881679819,InSAR
1/1/2008,0.891679819,InSAR
2/1/2008,0.911679819,InSAR
3/1/2008,0.911679819,InSAR
4/1/2008,0.91,Leveling
4/1/2008,0.911679819,InSAR
5/1/2008,0.911679819,InSAR
6/1/2008,0.911679819,InSAR
7/1/2008,0.911679819,InSAR
7/1/2009,1.011679819,InSAR
8/1/2009,1.021679819,InSAR
9/1/2009,1.031679819,InSAR
10/1/2009,1.041679819,InSAR
11/1/2009,1.051679819,InSAR
12/1/2009,1.071679819,InSAR
1/1/2010,1.081679819,InSAR
2/1/2010,1.101679819,InSAR
3/1/2010,1.111679819,InSAR
4/1/2010,1.111679819,InSAR
5/1/2010,1.111679819,InSAR
6/1/2010,1.121679819,InSAR
7/1/2010,1.121679819,InSAR
8/1/2010,1.141679819,Leveling
7/1/2015,2.050171805,InSAR
8/1/2015,2.067560917,InSAR
9/1/2015,2.10465769,InSAR
10/1/2015,2.13827664,InSAR
11/1/2015,2.175373412,InSAR
12/1/2015,2.213629459,InSAR
1/1/2016,2.241452038,InSAR
2/1/2016,2.279708084,InSAR
3/1/2016,2.282026633,InSAR
4/1/2016,2.285504455,InSAR
5/1/2016,2.291300826,InSAR
6/1/2016,2.314486308,InSAR
7/1/2016,2.337671791,InSAR
8/1/2016,2.358538726,InSAR
9/1/2016,2.400272594,InSAR
10/1/2016,2.423458077,InSAR
11/1/2016,2.465191946,InSAR
12/1/2016,2.49997017,InSAR
1/1/2017,2.535907668,InSAR
2/1/2017,2.571845167,InSAR
3/1/2017,2.588075004,InSAR
4/1/2017,2.590393553,InSAR
5/1/2017,2.605464117,InSAR
6/1/2017,2.601986294,InSAR
7/1/2017,2.615897584,InSAR
8/1/2017,2.655312904,InSAR
9/1/2017,2.686613306,InSAR
10/1/2017,2.713276611,InSAR
11/1/2017,2.770081044,InSAR
12/1/2017,2.797903623,InSAR
1/1/2018,2.823407654,InSAR
2/1/2018,2.838478218,InSAR
3/1/2018,2.833841121,InSAR
4/1/2018,2.857026604,InSAR
5/1/2018,2.867460071,InSAR
6/1/2018,2.861663701,InSAR
7/1/2018,2.879052813,InSAR
8/1/2018,2.902238295,InSAR
9/1/2018,2.917308859,InSAR
10/1/2018,2.954405631,InSAR
11/1/2018,2.982228211,InSAR
12/1/2018,3.001935871,InSAR
1/1/2019,3.027439902,InSAR
2/1/2019,3.062218126,InSAR
3/1/2019,3.086562883,InSAR
4/1/2019,3.121341107,InSAR
5/1/2019,3.112066914,InSAR
6/1/2019,3.112066914,InSAR
7/1/2019,3.137570945,InSAR
8/1/2019,3.161915702,InSAR
9/1/2019,3.182782636,InSAR
10/1/2019,3.204808845,InSAR
11/1/2019,3.230312876,InSAR
12/1/2019,3.246542714,InSAR
1/1/2020,3.294072953,InSAR
2/1/2020,3.307984243,InSAR
3/1/2020,3.316099162,InSAR
4/1/2020,3.321895533,InSAR
5/1/2020,3.316099162,InSAR
6/1/2020,3.324214081,InSAR
6/15/2020,3.33,Leveling
7/1/2020,3.328851177,InSAR
8/1/2020,3.350877386,InSAR
9/1/2020,3.381018513,InSAR
10/1/2020,3.400726174,InSAR
11/1/2020,3.414637463,InSAR
12/1/2020,3.43318585,InSAR
1/1/2021,3.462167703,InSAR
2/1/2021,3.479556815,InSAR
3/1/2021,3.499264475,InSAR
4/1/2021,3.501583024,InSAR
5/1/2021,3.498105201,InSAR
6/1/2021,3.516653587,InSAR
7/1/2021,3.521290684,InSAR
8/1/2021,3.552591086,InSAR
9/1/2021,3.564183827,InSAR
10/1/2021,3.581572939,InSAR
11/1/2021,3.616351163,InSAR
12/1/2021,3.644173742,InSAR
1/1/2022,3.673155596,InSAR
2/1/2022,3.706774546,InSAR
3/1/2022,3.714889465,InSAR
4/1/2022,3.711411642,InSAR
5/1/2022,3.742712044,InSAR
6/1/2022,3.76126043,InSAR
7/1/2022,3.806472121,InSAR
8/1/2022,3.835453975,InSAR
9/1/2022,3.831976152,InSAR
10/1/2022,3.856320909,InSAR
11/1/2022,3.898054778,InSAR
12/1/2022,3.938629373,InSAR
1/1/2023,3.971089049,InSAR
2/1/2023,4.020937837,InSAR
3/1/2023,4.040645497,InSAR
4/1/2023,4.06962735,InSAR
5/1/2023,4.074264447,InSAR
6/1/2023,4.093972107,InSAR
7/1/2023,4.105564848,InSAR
8/1/2023,4.115998316,InSAR
9/1/2023,4.112520493,InSAR
10/1/2023,4.127591057,InSAR
11/1/2023,4.171643474,InSAR
12/1/2023,4.176280571,InSAR
1/1/2024,4.198306779,InSAR
2/1/2024,4.226129359,InSAR
3/1/2024,4.250474115,InSAR
4/1/2024,4.25742976,InSAR
5/1/2024,4.269022502,InSAR
6/1/2024,4.286411614,InSAR
7/1/2024,4.299163629,InSAR
8/1/2024,4.295685807,InSAR
9/1/2024,4.296845081,InSAR
10/1/2024,4.317712015,InSAR
11/1/2024,4.350171691,InSAR
12/1/2024,4.375675722,InSAR
12/7/2024,4.38,Leveling
1/1/2025,4.408135398,InSAR
2/1/2025,4.41161322,InSAR
3/1/2025,4.419728139,InSAR
4/1/2025,4.44523217,InSAR
