datetime,Mean CH - layer 2 (Principal Aquifer (Outside Corcoran))
2/1/1901,176.0375277
3/1/1901,175.3287669
4/1/1901,174.0814783
5/1/1901,173.0231312
6/1/1901,172.680243
7/1/1901,172.5132479
8/1/1901,172.4142677
9/1/1901,172.3708727
10/1/1901,172.3506586
11/1/1901,172.3353569
12/1/1901,172.3368315
1/1/1902,172.3139537
2/1/1902,172.3084047
3/1/1902,172.3063061
4/1/1902,172.3056813
5/1/1902,172.3055358
6/1/1902,172.3054617
7/1/1902,172.3054225
8/1/1902,172.3054225
9/1/1902,172.3054225
10/1/1902,172.3054225
11/1/1902,172.3054225
12/1/1902,172.3054225
1/1/1903,172.3054225
2/1/1903,172.3054225
3/1/1903,172.3054225
4/1/1903,172.3054225
5/1/1903,172.3054225
6/1/1903,172.3054225
7/1/1903,172.3054225
8/1/1903,172.3054225
9/1/1903,172.3054225
10/1/1903,172.3054225
11/1/1903,172.3054225
12/1/1903,172.3054225
1/1/1904,172.3054225
2/1/1904,172.3054225
3/1/1904,172.3054225
4/1/1904,172.3054225
5/1/1904,172.3054225
6/1/1904,172.3054225
7/1/1904,172.3054225
8/1/1904,172.3054225
9/1/1904,172.3054225
10/1/1904,172.3054225
11/1/1904,172.3054225
12/1/1904,172.3054225
1/1/1905,172.3054225
2/1/1905,172.3054225
3/1/1905,172.3002235
4/1/1905,172.2932407
5/1/1905,172.2906873
6/1/1905,172.2906873
7/1/1905,172.2889676
8/1/1905,172.2690238
9/1/1905,172.2666825
10/1/1905,172.2659894
11/1/1905,172.2656116
12/1/1905,172.2650274
1/1/1906,172.2650267
2/1/1906,172.2650267
3/1/1906,172.2650267
4/1/1906,172.2650267
5/1/1906,172.2650267
6/1/1906,172.2650267
7/1/1906,172.2650267
8/1/1906,172.2650267
9/1/1906,172.2650267
10/1/1906,172.2650267
11/1/1906,172.2650267
12/1/1906,172.2650267
1/1/1907,172.2650267
2/1/1907,172.2650267
3/1/1907,172.2650267
4/1/1907,172.2650267
5/1/1907,172.2650267
6/1/1907,172.2650267
7/1/1907,172.2650267
8/1/1907,172.2650267
9/1/1907,172.2650267
10/1/1907,172.2650267
11/1/1907,172.2650267
12/1/1907,172.2650267
1/1/1908,172.2650267
2/1/1908,172.2650267
3/1/1908,172.2650267
4/1/1908,172.2650267
5/1/1908,172.2650267
6/1/1908,172.2650267
7/1/1908,172.2650267
8/1/1908,172.2650267
9/1/1908,172.2650267
10/1/1908,172.2650267
11/1/1908,172.2650267
12/1/1908,172.2650267
1/1/1909,172.2650267
2/1/1909,172.2650267
3/1/1909,172.2650267
4/1/1909,172.2650267
5/1/1909,172.2650267
6/1/1909,172.2650267
7/1/1909,172.2650267
8/1/1909,172.2650267
9/1/1909,172.2650267
10/1/1909,172.2650267
11/1/1909,172.2650267
12/1/1909,172.2650267
1/1/1910,172.2650267
2/1/1910,172.2650267
3/1/1910,172.2650267
4/1/1910,172.2650267
5/1/1910,172.2650267
6/1/1910,172.2650267
7/1/1910,172.2650267
8/1/1910,172.2650267
9/1/1910,172.2650267
10/1/1910,172.2650267
11/1/1910,172.2650267
12/1/1910,172.2650267
1/1/1911,172.2650267
2/1/1911,172.2650267
3/1/1911,172.2650267
4/1/1911,172.2650267
5/1/1911,172.2650267
6/1/1911,172.2650267
7/1/1911,172.2650267
8/1/1911,172.2650267
9/1/1911,172.2650267
10/1/1911,172.2650267
11/1/1911,172.2650267
12/1/1911,172.2650267
1/1/1912,172.2650267
2/1/1912,172.2650267
3/1/1912,172.2650267
4/1/1912,172.2650267
5/1/1912,172.2650267
6/1/1912,172.2650267
7/1/1912,172.2650267
8/1/1912,172.2650267
9/1/1912,172.2650267
10/1/1912,172.2650267
11/1/1912,172.2650267
12/1/1912,172.2650267
1/1/1913,172.2650267
2/1/1913,172.2650267
3/1/1913,172.2650267
4/1/1913,172.2650267
5/1/1913,172.2650267
6/1/1913,172.2650267
7/1/1913,172.2650267
8/1/1913,172.2650267
9/1/1913,172.2650267
10/1/1913,172.2650267
11/1/1913,172.2650267
12/1/1913,172.2650267
1/1/1914,172.2650267
2/1/1914,172.2650267
3/1/1914,172.2650267
4/1/1914,172.2650267
5/1/1914,172.2650267
6/1/1914,172.2650267
7/1/1914,172.2650267
8/1/1914,172.2650267
9/1/1914,172.2650267
10/1/1914,172.2650267
11/1/1914,172.2650267
12/1/1914,172.2650267
1/1/1915,172.2650267
2/1/1915,172.2650267
3/1/1915,172.2650267
4/1/1915,172.2650267
5/1/1915,172.2650267
6/1/1915,172.2650267
7/1/1915,172.2650267
8/1/1915,172.2650267
9/1/1915,172.2650267
10/1/1915,172.2650267
11/1/1915,172.2650267
12/1/1915,172.2490358
1/1/1916,172.2490358
2/1/1916,172.2342149
3/1/1916,172.2342149
4/1/1916,172.2342149
5/1/1916,172.2342149
6/1/1916,172.2342149
7/1/1916,172.2342149
8/1/1916,172.2468368
9/1/1916,172.2468368
10/1/1916,172.2468368
11/1/1916,172.2468368
12/1/1916,172.2468368
1/1/1917,172.2468368
2/1/1917,172.2468368
3/1/1917,172.2611115
4/1/1917,172.2740739
5/1/1917,172.257798
6/1/1917,172.2656774
7/1/1917,172.227052
8/1/1917,172.1893318
9/1/1917,172.2000358
10/1/1917,172.1984977
11/1/1917,172.1978437
12/1/1917,172.1973054
1/1/1918,172.1968403
2/1/1918,172.1965517
3/1/1918,172.1825374
4/1/1918,172.1822929
5/1/1918,172.182182
6/1/1918,172.182182
7/1/1918,172.182182
8/1/1918,172.182182
9/1/1918,172.182182
10/1/1918,172.182182
11/1/1918,172.182182
12/1/1918,172.182182
1/1/1919,172.182182
2/1/1919,172.182182
3/1/1919,172.182182
4/1/1919,172.182182
5/1/1919,172.182182
6/1/1919,172.182182
7/1/1919,172.182182
8/1/1919,172.182182
9/1/1919,172.182182
10/1/1919,172.182182
11/1/1919,172.182182
12/1/1919,172.182182
1/1/1920,172.182182
2/1/1920,172.182182
3/1/1920,172.182182
4/1/1920,172.182182
5/1/1920,172.182182
6/1/1920,172.182182
7/1/1920,172.182182
8/1/1920,172.182182
9/1/1920,172.182182
10/1/1920,172.182182
11/1/1920,172.182182
12/1/1920,172.182182
1/1/1921,172.182182
2/1/1921,172.182182
3/1/1921,172.182182
4/1/1921,172.182182
5/1/1921,172.182182
6/1/1921,172.182182
7/1/1921,172.182182
8/1/1921,172.182182
9/1/1921,172.182182
10/1/1921,172.182182
11/1/1921,172.182182
12/1/1921,172.182182
1/1/1922,172.182182
2/1/1922,172.182182
3/1/1922,172.182182
4/1/1922,172.182182
5/1/1922,172.182182
6/1/1922,172.182182
7/1/1922,172.182182
8/1/1922,172.182182
9/1/1922,172.182182
10/1/1922,172.182182
11/1/1922,172.182182
12/1/1922,172.182182
1/1/1923,172.182182
2/1/1923,172.182182
3/1/1923,172.182182
4/1/1923,172.182182
5/1/1923,172.182182
6/1/1923,172.182182
7/1/1923,172.182182
8/1/1923,172.182182
9/1/1923,172.182182
10/1/1923,172.182182
11/1/1923,172.182182
12/1/1923,172.182182
1/1/1924,172.182182
2/1/1924,172.182182
3/1/1924,172.182182
4/1/1924,172.182182
5/1/1924,172.182182
6/1/1924,172.182182
7/1/1924,172.182182
8/1/1924,172.182182
9/1/1924,172.182182
10/1/1924,172.182182
11/1/1924,172.182182
12/1/1924,172.182182
1/1/1925,172.182182
2/1/1925,172.182182
3/1/1925,172.182182
4/1/1925,172.182182
5/1/1925,172.182182
6/1/1925,172.182182
7/1/1925,172.182182
8/1/1925,172.182182
9/1/1925,172.182182
10/1/1925,172.182182
11/1/1925,172.182182
12/1/1925,172.182182
1/1/1926,172.182182
2/1/1926,172.182182
3/1/1926,172.182182
4/1/1926,172.182182
5/1/1926,172.182182
6/1/1926,172.182182
7/1/1926,172.182182
8/1/1926,172.182182
9/1/1926,172.182182
10/1/1926,172.182182
11/1/1926,172.182182
12/1/1926,172.182182
1/1/1927,172.182182
2/1/1927,172.182182
3/1/1927,172.182182
4/1/1927,172.182182
5/1/1927,172.182182
6/1/1927,172.182182
7/1/1927,172.182182
8/1/1927,172.182182
9/1/1927,172.182182
10/1/1927,172.182182
11/1/1927,172.182182
12/1/1927,172.182182
1/1/1928,172.182182
2/1/1928,172.182182
3/1/1928,172.182182
4/1/1928,172.182182
5/1/1928,172.182182
6/1/1928,172.182182
7/1/1928,172.182182
8/1/1928,172.182182
9/1/1928,172.182182
10/1/1928,172.182182
11/1/1928,172.182182
12/1/1928,172.182182
1/1/1929,172.182182
2/1/1929,172.182182
3/1/1929,172.182182
4/1/1929,172.182182
5/1/1929,172.182182
6/1/1929,172.182182
7/1/1929,172.182182
8/1/1929,172.182182
9/1/1929,172.182182
10/1/1929,172.182182
11/1/1929,172.182182
12/1/1929,172.182182
1/1/1930,172.182182
2/1/1930,172.182182
3/1/1930,172.182182
4/1/1930,172.182182
5/1/1930,172.182182
6/1/1930,172.182182
7/1/1930,172.182182
8/1/1930,172.182182
9/1/1930,172.182182
10/1/1930,172.182182
11/1/1930,172.182182
12/1/1930,172.182182
1/1/1931,172.182182
2/1/1931,172.182182
3/1/1931,172.182182
4/1/1931,172.182182
5/1/1931,172.182182
6/1/1931,172.182182
7/1/1931,172.182182
8/1/1931,172.182182
9/1/1931,172.182182
10/1/1931,172.182182
11/1/1931,172.182182
12/1/1931,172.182182
1/1/1932,172.182182
2/1/1932,172.182182
3/1/1932,172.182182
4/1/1932,172.182182
5/1/1932,172.182182
6/1/1932,172.182182
7/1/1932,172.182182
8/1/1932,172.182182
9/1/1932,172.182182
10/1/1932,172.182182
11/1/1932,172.182182
12/1/1932,172.182182
1/1/1933,172.182182
2/1/1933,172.182182
3/1/1933,172.182182
4/1/1933,172.182182
5/1/1933,172.182182
6/1/1933,172.182182
7/1/1933,172.182182
8/1/1933,172.182182
9/1/1933,172.182182
10/1/1933,172.182182
11/1/1933,172.182182
12/1/1933,172.182182
1/1/1934,172.182182
2/1/1934,172.182182
3/1/1934,172.182182
4/1/1934,172.182182
5/1/1934,172.182182
6/1/1934,172.182182
7/1/1934,172.182182
8/1/1934,172.182182
9/1/1934,172.182182
10/1/1934,172.182182
11/1/1934,172.182182
12/1/1934,172.182182
1/1/1935,172.182182
2/1/1935,172.182182
3/1/1935,172.182182
4/1/1935,172.182182
5/1/1935,172.182182
6/1/1935,172.182182
7/1/1935,172.182182
8/1/1935,172.182182
9/1/1935,172.182182
10/1/1935,172.182182
11/1/1935,172.182182
12/1/1935,172.182182
1/1/1936,172.182182
2/1/1936,172.182182
3/1/1936,172.182182
4/1/1936,172.182182
5/1/1936,172.182182
6/1/1936,172.182182
7/1/1936,172.182182
8/1/1936,172.182182
9/1/1936,172.182182
10/1/1936,172.182182
11/1/1936,172.182182
12/1/1936,172.182182
1/1/1937,172.182182
2/1/1937,172.182182
3/1/1937,172.182182
4/1/1937,172.182182
5/1/1937,172.182182
6/1/1937,172.182182
7/1/1937,172.182182
8/1/1937,172.182182
9/1/1937,172.182182
10/1/1937,172.182182
11/1/1937,172.182182
12/1/1937,172.182182
1/1/1938,172.182182
2/1/1938,172.182182
3/1/1938,172.182182
4/1/1938,172.182182
5/1/1938,172.182182
6/1/1938,172.182182
7/1/1938,172.182182
8/1/1938,172.182182
9/1/1938,172.182182
10/1/1938,172.182182
11/1/1938,172.182182
12/1/1938,172.182182
1/1/1939,172.182182
2/1/1939,172.182182
3/1/1939,172.182182
4/1/1939,172.182182
5/1/1939,172.182182
6/1/1939,172.182182
7/1/1939,172.182182
8/1/1939,172.182182
9/1/1939,172.182182
10/1/1939,172.182182
11/1/1939,172.182182
12/1/1939,172.182182
1/1/1940,172.182182
2/1/1940,172.182182
3/1/1940,172.182182
4/1/1940,172.182182
5/1/1940,172.182182
6/1/1940,172.182182
7/1/1940,172.182182
8/1/1940,172.182182
9/1/1940,172.182182
10/1/1940,172.182182
11/1/1940,172.182182
12/1/1940,172.182182
1/1/1941,172.182182
2/1/1941,172.182182
3/1/1941,172.182182
4/1/1941,172.182182
5/1/1941,172.182182
6/1/1941,172.182182
7/1/1941,172.182182
8/1/1941,172.182182
9/1/1941,172.182182
10/1/1941,172.182182
11/1/1941,172.182182
12/1/1941,172.182182
1/1/1942,172.182182
2/1/1942,172.182182
3/1/1942,172.182182
4/1/1942,172.182182
5/1/1942,172.182182
6/1/1942,172.182182
7/1/1942,172.182182
8/1/1942,172.182182
9/1/1942,172.182182
10/1/1942,172.182182
11/1/1942,172.182182
12/1/1942,172.182182
1/1/1943,172.182182
2/1/1943,172.182182
3/1/1943,172.182182
4/1/1943,172.1666729
5/1/1943,172.1666729
6/1/1943,172.1666729
7/1/1943,172.1666729
8/1/1943,172.1666729
9/1/1943,172.1666729
10/1/1943,172.1666729
11/1/1943,172.1800041
12/1/1943,172.1800041
1/1/1944,172.1800041
2/1/1944,172.1800041
3/1/1944,172.1800041
4/1/1944,172.1800041
5/1/1944,172.1800041
6/1/1944,172.1800041
7/1/1944,172.1800041
8/1/1944,172.1800041
9/1/1944,172.1926482
10/1/1944,172.2175213
11/1/1944,172.2297708
12/1/1944,172.2426958
1/1/1945,172.2426958
2/1/1945,172.2425687
3/1/1945,172.2425061
4/1/1945,172.2423619
5/1/1945,172.2418725
6/1/1945,172.2409087
7/1/1945,172.2650766
8/1/1945,172.2680253
9/1/1945,172.2282608
10/1/1945,172.1337357
11/1/1945,171.9750583
12/1/1945,171.9305925
1/1/1946,171.9402511
2/1/1946,171.9126327
3/1/1946,171.8996146
4/1/1946,171.898278
5/1/1946,171.8982094
6/1/1946,171.8978854
7/1/1946,171.9103322
8/1/1946,171.9102472
9/1/1946,171.910199
10/1/1946,171.9099991
11/1/1946,171.9098931
12/1/1946,171.9098601
1/1/1947,171.9098529
2/1/1947,171.9098529
3/1/1947,171.9098529
4/1/1947,171.9098529
5/1/1947,171.9098529
6/1/1947,171.9098529
7/1/1947,171.9098529
8/1/1947,171.9098529
9/1/1947,171.9098529
10/1/1947,171.9098529
11/1/1947,171.9098529
12/1/1947,171.9098529
1/1/1948,171.9098529
2/1/1948,171.9098529
3/1/1948,171.9098529
4/1/1948,171.9221343
5/1/1948,171.9124937
6/1/1948,171.9124937
7/1/1948,171.9124937
8/1/1948,171.892363
9/1/1948,171.882277
10/1/1948,171.8952143
11/1/1948,171.9205484
12/1/1948,171.9205484
1/1/1949,171.9205484
2/1/1949,171.9205484
3/1/1949,171.9205484
4/1/1949,171.909889
5/1/1949,171.908233
6/1/1949,171.8912331
7/1/1949,171.8723993
8/1/1949,171.8622624
9/1/1949,171.850715
10/1/1949,171.8361425
11/1/1949,171.8333559
12/1/1949,171.831165
1/1/1950,171.8136465
2/1/1950,171.800684
3/1/1950,171.7924582
4/1/1950,171.75167
5/1/1950,171.4819855
6/1/1950,170.9162917
7/1/1950,170.7687484
8/1/1950,170.2475608
9/1/1950,170.0423653
10/1/1950,169.6300846
11/1/1950,168.5998636
12/1/1950,167.5850539
1/1/1951,167.1737253
2/1/1951,166.7955359
3/1/1951,166.5891429
4/1/1951,166.4630012
5/1/1951,166.4256551
6/1/1951,166.4051931
7/1/1951,166.3514819
8/1/1951,166.31824
9/1/1951,166.2416193
10/1/1951,166.1154905
11/1/1951,164.8813886
12/1/1951,163.8063161
1/1/1952,163.2864954
2/1/1952,162.9149941
3/1/1952,162.6785722
4/1/1952,162.4957052
5/1/1952,162.394434
6/1/1952,162.3497036
7/1/1952,162.3055107
8/1/1952,162.2665116
9/1/1952,162.2255619
10/1/1952,162.1975446
11/1/1952,162.1851734
