Date,BLS,Alt,Aquifer
12/10/1948,,184.25,Upper
3/18/1949,,185.45,Upper
12/16/1949,,180.35,Upper
3/20/1950,,179.75,Upper
10/20/1950,,174.65,Upper
3/16/1951,,180.85,Upper
10/22/1951,,173.65,Upper
3/12/1952,,176.75,Upper
10/13/1952,,166.85,Upper
6/15/1953,,165.15,Upper
10/12/1953,,164.35,Upper
10/3/1955,,159.85,Upper
12/3/1956,,164.85,Upper
3/5/1957,,171.15,Upper
12/4/1957,,165.55,Upper
3/21/1958,,169.75,Upper
11/24/1958,,171.25,Upper
3/2/1959,,172.25,Upper
12/4/1959,,160.95,Upper
3/1/1960,,169.35,Upper
12/2/1960,,164.65,Upper
2/21/1961,,163.85,Upper
12/8/1961,,159.25,Upper
2/18/1963,,163.35,Upper
12/1/1964,,155.01,Upper
2/17/1965,,160.95,Upper
2/3/1966,,161.05,Upper
2/6/1967,,150.65,Upper
2/9/1968,,160.85,Upper
2/14/1969,,156.45,Upper
2/6/1970,,161.85,Upper
10/8/1970,,146.35,Upper
2/12/1971,,154.55,Upper
10/8/1971,,139.45,Upper
2/11/1972,,158.45,Upper
10/13/1972,,138.25,Upper
2/6/1973,,153.75,Upper
10/12/1973,,147.55,Upper
2/11/1974,,155.15,Upper
10/7/1974,,146.05,Upper
2/6/1975,,154.15,Upper
10/8/1975,,138.15,Upper
1/30/1976,,147.25,Upper
7/19/1976,,127.75,Upper
10/8/1976,,129.85,Upper
1/28/1977,,142.25,Upper
6/1/1977,,125.45,Upper
8/1/1977,,114.45,Upper
10/4/1977,,113.15,Upper
1/30/1978,,130.25,Upper
7/11/1978,,130.15,Upper
10/10/1978,,132.05,Upper
1/29/1979,,140.25,Upper
9/27/1979,,129.65,Upper
1/25/1980,,141.45,Upper
9/26/1980,,131.15,Upper
1/22/1981,,140.95,Upper
9/18/1981,,124.85,Upper
1/27/1982,,136.45,Upper
10/1/1982,,123.45,Upper
1/21/1983,,141.45,Upper
9/28/1983,,131.65,Upper
2/3/1984,,145.25,Upper
10/5/1984,,127.95,Upper
2/1/1985,,142.75,Upper
10/4/1985,,119.75,Upper
1/24/1986,,138.65,Upper
10/3/1986,,131.35,Upper
1/29/1987,,148.65,Upper
10/9/1987,,116.65,Upper
2/5/1988,,129.35,Upper
10/3/1988,,107.95,Upper
1/27/1989,,118.65,Upper
10/6/1989,,102.55,Upper
1/29/1990,,110.25,Upper
10/2/1990,,76.65,Upper
2/1/1991,,106.45,Upper
10/4/1991,,70.45,Upper
1/31/1992,,102.65,Upper
10/9/1992,,69.95,Upper
1/29/1993,,99.35,Upper
10/8/1993,,73.55,Upper
1/28/1994,,96.95,Upper
10/7/1994,,68.25,Upper
1/30/1995,,96.75,Upper
10/6/1995,,76.25,Upper
1/11/1996,,99.75,Upper
10/4/1996,,76.65,Upper
1/15/1997,,99.45,Upper
10/10/1997,,64.45,Upper
1/26/1998,,98.95,Upper
2/26/1998,,88.22,Upper
2/3/2003,,77.72,Upper
9/17/2003,,45.72,Upper
3/11/2004,,77.72,Upper
1/28/2005,,61.72,Upper
2/27/2007,,36.72,Upper
11/16/2007,,29.72,Upper
3/4/2009,,13.72,Upper
3/30/2010,,17.72,Upper
3/2/2011,,12.72,Upper
2/14/2013,,-1.28,Upper
2/20/2014,,-30.28,Upper
12/2/1937,,191.22,Lower
3/28/1939,,196.12,Lower
9/14/1939,,189.12,Lower
1/5/1940,,193.92,Lower
12/2/1940,,191.92,Lower
3/26/1942,,195.42,Lower
12/3/1942,,194.02,Lower
3/31/1943,,194.32,Lower
12/6/1943,,190.82,Lower
3/22/1944,,191.82,Lower
12/6/1944,,188.72,Lower
3/7/1945,,189.92,Lower
9/7/1945,,172.92,Lower
3/13/1946,,188.12,Lower
3/6/1947,,185.02,Lower
12/5/1947,,178.42,Lower
12/10/1948,,177.42,Lower
3/1/1949,,178.04,Lower
3/18/1949,,178.52,Lower
12/15/1949,,174.12,Lower
3/21/1950,,168.62,Lower
10/19/1950,,162.32,Lower
3/15/1951,,172.72,Lower
10/17/1951,,158.72,Lower
3/12/1952,,169.12,Lower
10/20/1952,,156.82,Lower
1/5/1953,,170.92,Lower
10/12/1953,,154.32,Lower
10/13/1954,,139.72,Lower
1/31/1955,,161.72,Lower
10/24/1955,,152.32,Lower
3/1/1956,,167.92,Lower
12/4/1956,,163.92,Lower
3/5/1957,,169.62,Lower
11/29/1957,,164.72,Lower
2/21/1958,,167.12,Lower
1/2/1959,,166.32,Lower
3/3/1959,,171.32,Lower
12/3/1959,,160.52,Lower
3/2/1960,,170.52,Lower
12/5/1960,,164.32,Lower
2/22/1961,,163.12,Lower
12/4/1961,,147.22,Lower
2/24/1962,,148.72,Lower
2/19/1963,,160.92,Lower
2/13/1964,,158.72,Lower
10/6/1964,,122.12,Lower
2/8/1965,,149.42,Lower
2/7/1966,,159.12,Lower
2/6/1967,,155.22,Lower
2/22/1968,,159.72,Lower
2/12/1969,,150.92,Lower
2/11/1970,,159.02,Lower
11/16/1970,,152.42,Lower
2/15/1971,,154.52,Lower
11/15/1971,,150.02,Lower
2/9/1972,,157.72,Lower
10/11/1972,,126.42,Lower
2/13/1973,,150.42,Lower
10/16/1973,,131.22,Lower
2/6/1974,,148.22,Lower
10/9/1974,,137.42,Lower
2/5/1975,,139.22,Lower
10/2/1975,,137.02,Lower
10/8/1976,,128.52,Lower
1/26/1977,,129.72,Lower
1/31/1978,,120.22,Lower
7/12/1978,,119.72,Lower
10/11/1978,,124.22,Lower
1/19/1979,,132.22,Lower
9/24/1979,,133.02,Lower
1/31/1980,,135.22,Lower
2/6/1981,,147.72,Lower
10/5/1981,,114.22,Lower
1/21/1982,,148.72,Lower
10/5/1982,,133.72,Lower
1/27/1983,,150.22,Lower
11/4/1983,,147.22,Lower
1/31/1984,,151.22,Lower
11/10/1984,,135.62,Lower
1/30/1985,,138.22,Lower
10/10/1985,,118.22,Lower
1/27/1986,,133.12,Lower
9/30/1986,,128.62,Lower
1/27/1987,,142.22,Lower
10/6/1987,,111.22,Lower
2/2/1988,,127.22,Lower
10/9/1988,,88.22,Lower
1/27/1989,,113.12,Lower
9/30/1989,,72.22,Lower
11/30/1990,,92.22,Lower
2/21/1991,,104.72,Lower
10/14/1991,,73.22,Lower
10/2/1992,,62.22,Lower
2/5/1993,,76.22,Lower
11/3/1993,,49.22,Lower
2/14/1994,,62.22,Lower
10/20/1994,,47.32,Lower
1/28/1995,,64.22,Lower
10/22/1998,,60.22,Lower
2/19/1999,,38.22,Lower
1/26/2001,,66.22,Lower
2/3/2003,,57.22,Lower
9/25/2003,,17.22,Lower
3/11/2004,,51.22,Lower
1/28/2005,,92.22,Lower
10/18/2005,,24.22,Lower
1/30/2006,,39.22,Lower
10/23/2006,,29.22,Lower
2/27/2007,,18.22,Lower
11/16/2007,,29.22,Lower
3/3/2009,,29.22,Lower
3/4/2010,,14.22,Lower
3/2/2011,,4.22,Lower
2/15/2013,,-7.78,Lower
2/20/2014,,-21.78,Lower
10/30/2015,,-55,Lower
3/10/2016,,-45,Lower
10/19/2016,,-64.11,Lower
3/21/2017,,-53,Lower
10/13/2017,,-59.16,Lower
3/15/2018,,-54.54,Lower
10/22/2018,,-73.9,Lower
3/18/2019,,-53.91,Lower
10/17/2019,,-58.51,Lower
10/23/2019,,-56.8,Lower
3/9/2020,,-55.5,Lower
10/12/2020,,-69.6,Lower
3/19/2021,,-59.9,Lower
10/14/2021,,-85.9,Lower
10/18/2022,,-98.8,Lower
