datetime,Mean CH - layer 3 (Lower Aquifer)
4/1/1905,295.4091341
5/1/1905,291.3548928
6/1/1905,287.5275213
7/1/1905,284.6839023
8/1/1905,282.3381077
9/1/1905,280.4160841
10/1/1905,279.0426749
11/1/1905,277.813421
12/1/1905,276.7025477
1/1/1906,276.0076854
2/1/1906,275.3078894
3/1/1906,274.6723806
4/1/1906,274.025657
5/1/1906,273.5165194
6/1/1906,273.0454257
7/1/1906,272.5003412
8/1/1906,271.9413598
9/1/1906,271.4491978
10/1/1906,270.9732477
11/1/1906,270.5508062
12/1/1906,270.2327514
1/1/1907,269.8770018
2/1/1907,269.584151
3/1/1907,269.3454332
4/1/1907,269.0770438
5/1/1907,268.9190704
6/1/1907,268.7238322
7/1/1907,268.5473272
8/1/1907,268.4535136
9/1/1907,268.325819
10/1/1907,268.1883044
11/1/1907,268.123043
12/1/1907,268.0575844
1/1/1908,267.9525765
2/1/1908,267.8687576
3/1/1908,267.83411
4/1/1908,267.7314451
5/1/1908,267.6870959
6/1/1908,267.6390823
7/1/1908,267.6319083
8/1/1908,267.6100611
9/1/1908,267.5324439
10/1/1908,267.4527891
11/1/1908,267.3931303
12/1/1908,267.35675
1/1/1909,267.2844365
2/1/1909,267.2227242
3/1/1909,267.1386505
4/1/1909,267.0340213
5/1/1909,266.9614841
6/1/1909,266.8849979
7/1/1909,266.8516188
8/1/1909,266.7883251
9/1/1909,266.75293
10/1/1909,266.6999344
11/1/1909,266.6279029
12/1/1909,266.5902191
1/1/1910,266.5141097
2/1/1910,266.5081515
3/1/1910,266.4741461
4/1/1910,266.4245489
5/1/1910,266.3536968
6/1/1910,266.2762555
7/1/1910,266.2133786
8/1/1910,266.1576731
9/1/1910,266.0815248
10/1/1910,265.9665828
11/1/1910,265.8057114
12/1/1910,265.6594911
1/1/1911,265.5583465
2/1/1911,265.4066961
3/1/1911,265.2719483
4/1/1911,265.2086908
5/1/1911,265.1686847
6/1/1911,265.1166609
7/1/1911,265.0982471
8/1/1911,265.0242828
9/1/1911,264.9722849
10/1/1911,264.9451511
11/1/1911,264.8719578
12/1/1911,264.7665851
1/1/1912,264.7191706
2/1/1912,264.6167072
3/1/1912,264.5241382
4/1/1912,264.4169267
5/1/1912,264.3404046
6/1/1912,264.185357
7/1/1912,264.1199447
8/1/1912,263.9952706
9/1/1912,263.8190097
10/1/1912,263.6995307
11/1/1912,263.6069679
12/1/1912,263.5583407
1/1/1913,263.5092254
2/1/1913,263.4399105
3/1/1913,263.4180373
4/1/1913,263.3503615
5/1/1913,263.3226299
6/1/1913,263.2740209
7/1/1913,263.2667256
8/1/1913,263.1816103
9/1/1913,263.1133722
10/1/1913,263.0665508
11/1/1913,262.9976703
12/1/1913,262.9298513
1/1/1914,262.8935205
2/1/1914,262.8444137
3/1/1914,262.8001911
4/1/1914,262.7339945
5/1/1914,262.6868947
6/1/1914,262.6148037
7/1/1914,262.5666935
8/1/1914,262.4737226
9/1/1914,262.4229091
10/1/1914,262.4067034
11/1/1914,262.3390002
12/1/1914,262.2906122
1/1/1915,262.2397633
2/1/1915,262.2167939
3/1/1915,262.1657702
4/1/1915,262.1100602
5/1/1915,262.0529112
6/1/1915,262.0188672
7/1/1915,261.9864012
8/1/1915,261.9254553
9/1/1915,261.8605139
10/1/1915,261.7573312
11/1/1915,261.7379108
12/1/1915,261.6611066
1/1/1916,261.5950462
2/1/1916,261.5157778
3/1/1916,261.4650079
4/1/1916,261.4225113
5/1/1916,261.3726189
6/1/1916,261.3208354
7/1/1916,261.3007153
8/1/1916,261.2488943
9/1/1916,261.1981743
10/1/1916,261.1353084
11/1/1916,261.085154
12/1/1916,261.0368544
1/1/1917,260.967775
2/1/1917,260.9049335
3/1/1917,260.8612399
4/1/1917,260.8129033
5/1/1917,260.7662959
6/1/1917,260.718317
7/1/1917,260.6721172
8/1/1917,260.6240034
