Aquifer,Top,Bot,Thick_ft,Description
Upper,0,3,3,sand
Upper,3,7,4,clay
Upper,7,11,4,sand
Upper,11,16,5,clay
Upper,16,17,1,sand
Upper,17,19,2,clay
Upper,19,23,4,sand
Upper,23,27,4,clay
Upper,27,29,2,sand
Upper,29,31,2,clay
Upper,31,38,7,sand
Upper,38,45,7,clay
Upper,45,48,3,sand
Upper,48,52,4,clay
Upper,52,58,6,sand
Upper,58,64,6,clay
Upper,65,68,3,sand
Upper,68,71,3,clay
Upper,71,74,3,sand
Upper,74,77,3,clay
Upper,77,87,10,sand
Upper,87,98,11,clay
Upper,98,109,11,sand
Upper,109,120,11,clay
Upper,120,127,7,sand
Upper,127,134,7,clay
Upper,134,158,24,sand
Upper,158,182,24,clay
Upper,182,188,6,sand
Upper,188,195,7,clay
Upper,195,202,7,sand
Upper,202,209,7,clay
Upper,209,229,20,sand
Upper,229,250,21,clay
Upper,250,256,6,sand
Upper,256,266,10,sand
Upper,266,267,1,sand
Upper,267,269,2,clay
Upper,269,273,4,clay
Upper,273,276,3,sand
Upper,276,279,3,clay
Upper,279,281,2,sand
Upper,281,284,3,clay
Upper,284,292,8,sand
Upper,292,300,8,clay
Upper,300,305,5,clay
Upper,305,308,3,sand
Upper,308,311,3,clay
Upper,311,315,4,clay
Upper,315,318,3,sand
Upper,318,322,4,clay
Upper,322,330,8,clay
Upper,330,333,3,sand
Upper,333,337,4,clay
Upper,337,345,8,clay
Upper,345,356,11,sand
Upper,356,359,3,clay
Upper,359,361,2,sand
Upper,361,374,13,clay
Upper,374,378,4,sand
Corcoran,378,414,36,clay
Lower,414,427,13,sand
Lower,427,435,8,clay
Lower,435,450,15,sand
Lower,450,453,3,sand
Lower,453,457,4,clay
Lower,457,465,8,clay
Lower,465,480,15,sand
Lower,480,495,15,sand
Lower,495,510,15,sand
Lower,510,513,3,sand
Lower,513,517,4,clay
Lower,517,525,8,clay
Lower,525,540,15,sand
Lower,540,555,15,sand
Lower,555,570,15,sand
Lower,570,573,3,sand
Lower,573,573,0,sand
Lower,573,574,1,clay
Lower,574,574,0,sand
Lower,574,575,1,clay
Lower,575,579,4,sand
Lower,579,585,6,clay
Lower,585,600,15,sand
Lower,600,615,15,sand
Lower,615,630,15,sand
Lower,630,633,3,sand
Lower,633,637,4,clay
Lower,637,645,8,clay
Lower,645,654,9,sand
Lower,654,664,10,clay
Lower,664,672,8,clay
Lower,672,675,3,sand
Lower,675,679,4,clay
Lower,679,683,4,sand
Lower,683,687,4,clay
Lower,687,690,3,sand
Lower,690,694,4,clay
Lower,694,698,4,sand
Lower,698,702,4,clay
Lower,702,705,3,sand
Lower,705,709,4,clay
Lower,709,713,4,sand
Lower,713,717,4,clay
Lower,717,720,3,sand
Lower,720,724,4,clay
Lower,724,727,3,sand
Lower,727,731,4,clay
Lower,731,731,0,sand
Lower,731,732,1,clay
Lower,732,739,7,sand
Lower,739,747,8,clay
