Date,BLS,Alt,Aquifer
10/21/1949,,209.97,Upper
9/26/1950,,203.47,Upper
10/8/1951,,200.77,Upper
10/2/1952,,202.57,Upper
10/20/1953,,203.77,Upper
9/29/1954,,194.47,Upper
9/22/1955,,188.27,Upper
3/7/1956,,203.77,Upper
11/5/1956,,194.77,Upper
2/16/1957,,205.67,Upper
10/15/1957,,190.27,Upper
2/28/1958,,205.37,Upper
10/20/1958,,201.97,Upper
2/26/1959,,205.47,Upper
10/20/1959,,191.97,Upper
2/19/1960,,202.07,Upper
11/2/1960,,186.17,Upper
11/21/1961,,172.29,Upper
2/12/1964,,169.7,Upper
9/30/1964,,151.3,Upper
2/3/1965,,169.4,Upper
10/11/1965,,152.2,Upper
2/22/1966,,171.2,Upper
10/5/1966,,148.8,Upper
2/11/1967,,168.7,Upper
10/2/1967,,154,Upper
1/30/1968,,173.9,Upper
9/24/1968,,160.2,Upper
2/27/1969,,170.5,Upper
10/9/1969,,168.2,Upper
2/20/1970,,176.9,Upper
10/18/1970,,170.3,Upper
2/18/1971,,173.6,Upper
10/5/1971,,144.9,Upper
2/7/1972,,163.1,Upper
10/7/1972,,147,Upper
2/26/1973,,166,Upper
2/11/1974,,173.8,Upper
9/26/1974,,152.8,Upper
9/25/1975,,148.4,Upper
1/22/1976,,159.6,Upper
10/1/1976,,118.8,Upper
1/27/1977,,159.6,Upper
2/22/1978,,153,Upper
10/9/1978,,153.7,Upper
2/12/1979,,163,Upper
10/1/1979,,129.5,Upper
2/10/1980,,159.4,Upper
10/7/1980,,158.4,Upper
2/6/1981,,170,Upper
9/25/1981,,156.2,Upper
3/5/1982,,156,Upper
9/23/1982,,150.9,Upper
2/18/1983,,169.6,Upper
12/12/1983,,181.4,Upper
2/21/1984,,181.8,Upper
10/9/1984,,169.9,Upper
2/26/1985,,184,Upper
10/7/1985,,159.4,Upper
1/29/1986,,171.4,Upper
9/22/1986,,170.9,Upper
2/12/1987,,188.2,Upper
10/22/1987,,161.8,Upper
2/18/1988,,177.9,Upper
11/15/1988,,159.6,Upper
2/24/1989,,169.7,Upper
11/28/1989,,141.4,Upper
2/13/1990,,152.9,Upper
10/5/1990,,128,Upper
2/20/1991,,146.6,Upper
10/22/1991,,140.3,Upper
1/15/1992,,142.6,Upper
10/7/1992,,139,Upper
2/23/1993,,148,Upper
10/30/1993,,144.6,Upper
1/30/1994,,146.5,Upper
10/22/1994,,125.9,Upper
11/3/1994,,126,Upper
2/10/1995,,138.3,Upper
3/5/1995,,144.5,Upper
10/8/1995,,133.6,Upper
10/28/1995,,142.7,Upper
2/28/1996,,126.5,Upper
10/25/1996,,130.7,Upper
12/27/1996,,146.6,Upper
2/1/1997,,149.6,Upper
2/28/1997,,149.6,Upper
10/4/1997,,134.6,Upper
1/17/1998,,143.1,Upper
3/21/1998,,152.6,Upper
11/14/1998,,153.6,Upper
10/17/1999,,126.6,Upper
1/22/2000,,145.6,Upper
3/3/2001,,145.6,Upper
10/13/2001,,131.6,Upper
