Date,Subsidence_ft,Source
3/17/1905,0,Leveling
3/15/1933,0.272,Leveling
1/29/1945,0.416,Leveling
6/1/1947,0.416,Leveling
4/1/1954,1.542,Leveling
11/1/1955,1.883,Leveling
3/1/1957,2.126,Leveling
2/1/1958,2.382,Leveling
1/1/1959,2.555,Leveling
2/1/1960,2.808,Leveling
2/1/1962,3.861,Leveling
2/12/1966,5.308,Leveling
12/1/1969,6.436313684,Leveling
5/8/2004,8.28488737,Leveling
2/12/2015,11.3671496,Leveling
2/18/2015,11.36321259,InSAR
2/23/2015,11.36025984,InSAR
3/1/2015,11.35632283,InSAR
3/7/2015,11.3527139,InSAR
3/13/2015,11.35304199,InSAR
3/20/2015,11.35435432,InSAR
3/26/2015,11.35566666,InSAR
4/1/2015,11.35665091,InSAR
4/7/2015,11.35993175,InSAR
4/13/2015,11.36321259,InSAR
4/19/2015,11.36649343,InSAR
4/25/2015,11.36944619,InSAR
5/1/2015,11.37666404,InSAR
5/7/2015,11.38388188,InSAR
5/13/2015,11.39109973,InSAR
5/20/2015,11.3979895,InSAR
5/26/2015,11.39831758,InSAR
6/1/2015,11.39831758,InSAR
6/7/2015,11.39831758,InSAR
6/13/2015,11.39831758,InSAR
6/19/2015,11.3979895,InSAR
6/25/2015,11.39536482,InSAR
7/1/2015,11.39306824,InSAR
7/7/2015,11.39109973,InSAR
7/13/2015,11.3917559,InSAR
7/20/2015,11.39339632,InSAR
7/26/2015,11.39405249,InSAR
8/1/2015,11.39634908,InSAR
8/7/2015,11.39766141,InSAR
8/13/2015,11.399958,InSAR
8/20/2015,11.39831758,InSAR
8/26/2015,11.40159842,InSAR
9/1/2015,11.41111286,InSAR
9/7/2015,11.4183307,InSAR
9/13/2015,11.42423622,InSAR
9/19/2015,11.42817322,InSAR
9/25/2015,11.43243832,InSAR
10/1/2015,11.43342257,InSAR
10/7/2015,11.43440682,InSAR
10/13/2015,11.43670341,InSAR
10/20/2015,11.43834383,InSAR
10/26/2015,11.442937,InSAR
11/1/2015,11.44654593,InSAR
11/7/2015,11.44884252,InSAR
11/13/2015,11.45081102,InSAR
11/19/2015,11.45606036,InSAR
11/25/2015,11.46130971,InSAR
12/1/2015,11.46524672,InSAR
12/7/2015,11.47049606,InSAR
12/13/2015,11.47082414,InSAR
12/20/2015,11.4718084,InSAR
12/26/2015,11.47312073,InSAR
1/1/2016,11.48066666,InSAR
1/7/2016,11.48690026,InSAR
1/13/2016,11.49575853,InSAR
1/20/2016,11.49674278,InSAR
1/26/2016,11.50067979,InSAR
2/1/2016,11.5065853,InSAR
2/7/2016,11.51085039,InSAR
2/13/2016,11.50592913,InSAR
2/18/2016,11.50264829,InSAR
2/24/2016,11.50330446,InSAR
3/1/2016,11.50002362,InSAR
3/7/2016,11.49674278,InSAR
3/13/2016,11.49674278,InSAR
3/20/2016,11.49772703,InSAR
3/26/2016,11.50133596,InSAR
4/1/2016,11.50199212,InSAR
4/7/2016,11.50166404,InSAR
4/13/2016,11.50067979,InSAR
4/19/2016,11.50133596,InSAR
4/25/2016,11.50527296,InSAR
5/1/2016,11.50953806,InSAR
5/7/2016,11.51117848,InSAR
5/13/2016,11.51347506,InSAR
