datetime,Mean CH - layer 2 (Principal Aquifer)
2/1/1901,411.5552281
3/1/1901,392.7949627
4/1/1901,384.7766583
5/1/1901,380.8303578
6/1/1901,377.3254288
7/1/1901,375.0946093
8/1/1901,374.3644066
9/1/1901,373.8573969
10/1/1901,373.4216213
11/1/1901,373.0497328
12/1/1901,372.4339549
1/1/1902,371.5982569
2/1/1902,370.5489243
3/1/1902,370.0410037
4/1/1902,369.8401235
5/1/1902,369.9204517
6/1/1902,369.8202482
7/1/1902,369.5293654
8/1/1902,369.201491
9/1/1902,366.2912645
10/1/1902,365.4213669
11/1/1902,363.7410419
12/1/1902,362.6688338
1/1/1903,357.6922518
2/1/1903,357.0255464
3/1/1903,356.6933174
4/1/1903,353.6971266
5/1/1903,353.5737962
6/1/1903,353.513764
7/1/1903,353.4764669
8/1/1903,353.404396
9/1/1903,353.3372783
10/1/1903,353.3652786
11/1/1903,353.3905428
12/1/1903,353.3665854
1/1/1904,353.4185491
2/1/1904,353.3954238
3/1/1904,353.4220917
4/1/1904,353.441636
5/1/1904,353.3641399
6/1/1904,353.342072
7/1/1904,353.3980262
8/1/1904,353.3756032
9/1/1904,353.3530157
10/1/1904,353.3310238
11/1/1904,353.3082824
12/1/1904,353.28583
1/1/1905,353.2618934
2/1/1905,353.2372363
3/1/1905,353.2143888
4/1/1905,353.1884015
5/1/1905,353.1953977
6/1/1905,353.1682472
7/1/1905,353.2225571
8/1/1905,353.1483824
9/1/1905,353.2022207
10/1/1905,353.1750172
11/1/1905,353.1463027
12/1/1905,353.0609895
1/1/1906,353.0875245
2/1/1906,353.0564784
3/1/1906,353.0280075
4/1/1906,352.9959812
5/1/1906,352.9645339
6/1/1906,353.0146758
7/1/1906,352.9358259
8/1/1906,352.787112
9/1/1906,352.7526471
10/1/1906,352.7189169
11/1/1906,352.6836769
12/1/1906,352.6492276
1/1/1907,352.6132763
2/1/1907,352.5769862
3/1/1907,352.5439418
4/1/1907,352.4653283
5/1/1907,352.4646633
6/1/1907,352.3351683
7/1/1907,352.1459066
8/1/1907,351.3888002
9/1/1907,350.8471725
10/1/1907,348.7248618
11/1/1907,346.4912487
12/1/1907,344.9205242
1/1/1908,342.6457519
2/1/1908,341.7599926
3/1/1908,341.2859771
4/1/1908,340.522418
5/1/1908,340.0253125
6/1/1908,339.7137495
7/1/1908,339.3552543
8/1/1908,339.1434745
9/1/1908,338.5235114
10/1/1908,338.1947712
11/1/1908,337.2124472
12/1/1908,336.7643738
1/1/1909,336.5691686
2/1/1909,336.3312222
3/1/1909,336.295593
4/1/1909,336.1773715
5/1/1909,336.0058743
6/1/1909,335.5980159
7/1/1909,335.3126469
8/1/1909,334.8590569
9/1/1909,334.5967074
10/1/1909,334.414426
11/1/1909,334.2239406
12/1/1909,334.0792106
1/1/1910,333.9699038
2/1/1910,333.6300457
3/1/1910,333.3157043
4/1/1910,333.1572371
5/1/1910,332.9389986
6/1/1910,332.808026
7/1/1910,332.8927754
8/1/1910,332.7395445
9/1/1910,332.6547942
10/1/1910,332.6296382
11/1/1910,332.5159671
12/1/1910,332.4432601
1/1/1911,332.3673562
2/1/1911,332.2954219
3/1/1911,332.2349692
4/1/1911,332.2599835
5/1/1911,332.2901682
6/1/1911,332.162282
7/1/1911,332.1952979
8/1/1911,332.1336197
9/1/1911,332.0711947
10/1/1911,332.0102612
11/1/1911,331.9465545
12/1/1911,331.9845855
1/1/1912,331.9496831
2/1/1912,331.8715147
3/1/1912,331.8458331
4/1/1912,331.7806663
5/1/1912,331.7179111
6/1/1912,331.6951769
7/1/1912,331.672878
8/1/1912,331.6049889
9/1/1912,331.536882
10/1/1912,331.4705429
11/1/1912,331.4012787
12/1/1912,331.3342571
1/1/1913,331.2650355
2/1/1913,331.1956041
3/1/1913,331.1327548
4/1/1913,331.0630891
5/1/1913,330.9955562
6/1/1913,330.9257695
7/1/1913,330.8584998
8/1/1913,330.7890139
9/1/1913,330.7197488
10/1/1913,330.6529623
11/1/1913,330.5839956
12/1/1913,330.5171471
1/1/1914,330.3773886
