Aquifer,Top,Bot,Thick_ft,Description
Upper,0,30,30,conductor
Upper,30,40,10,clay
Upper,40,70,30,sand
Upper,70,110,40,clay
Upper,110,160,50,sand
Upper,160,170,10,clay
Upper,170,180,10,sand
Upper,180,200,20,clay
Upper,200,300,100,sand
Lower,300,330,30,clay
Lower,330,340,10,sand
Lower,340,360,20,clay
Lower,360,390,30,sand
Lower,390,400,10,clay
Lower,400,420,20,sand
Lower,420,450,30,clay
Lower,450,460,10,sand
Lower,460,470,10,clay
Lower,470,480,10,sand
Lower,480,490,10,clay
Lower,490,500,10,sand
Lower,500,510,10,clay
Lower,510,520,10,sand
Lower,520,540,20,clay
Lower,540,560,20,sand
Lower,560,580,20,clay
Lower,580,595,15,sand
Lower,595,610,15,clay
Lower,610,620,10,sand
Lower,620,625,5,clay
Lower,625,630,5,sand
Lower,630,640,10,clay
Lower,640,660,20,sand
Lower,660,680,20,clay
Lower,680,690,10,sand
Lower,690,700,10,clay
Lower,700,720,20,sand
Lower,720,730,10,clay
Lower,730,740,10,sand
Lower,740,750,10,clay
Lower,750,770,20,sand
Lower,770,790,20,clay
Lower,790,800,10,sand
Lower,800,830,30,clay
Lower,830,850,20,sand
Lower,850,860,10,clay
Lower,860,870,10,sand
Lower,870,890,20,clay
Lower,890,905,15,sand
Lower,905,920,15,clay
Lower,920,940,20,clay
Lower,940,960,20,sand
Lower,960,980,20,clay
Lower,980,990,10,sand
Lower,990,1015,25,clay
Lower,1015,1088,73,clay
Lower,1088,1098,10,sand
Lower,1098,1118,20,clay
Lower,1118,1128,10,sand
Lower,1128,1148,20,clay
Lower,1148,1158,10,sand
Lower,1158,1168,10,sand
Lower,1168,1178,10,clay
Lower,1178,1200,22,sand
