Date,Subsidence_ft,Source
1/1/1901,0,Leveling
1/1/1931,0.71,Leveling
1/1/1940,1.11,Leveling
1/1/1943,1.12,Leveling
1/1/1947,1.11,Leveling
1/1/1948,1.17,Leveling
1/1/1953,1.28,Leveling
1/1/1957,1.13,Leveling
1/1/1959,1.13,Leveling
1/1/1962,1.11,Leveling
1/1/1970,1.05,Leveling
8/1/2004,2.056382307,Leveling
9/1/2004,2.066382307,InSAR
10/1/2004,2.066382307,InSAR
11/1/2004,2.066382307,InSAR
12/1/2004,2.066382307,InSAR
1/1/2005,2.066382307,InSAR
2/1/2005,2.066382307,InSAR
3/1/2005,2.066382307,InSAR
4/1/2005,2.056382307,InSAR
1/1/2006,2.076382307,InSAR
2/1/2006,2.076382307,InSAR
3/1/2006,2.066382307,InSAR
4/1/2006,2.066382307,InSAR
5/1/2006,2.066382307,InSAR
6/1/2006,2.076382307,InSAR
12/1/2006,2.096382307,InSAR
1/1/2007,2.096382307,InSAR
2/1/2007,2.096382307,InSAR
8/1/2007,2.116382307,InSAR
9/1/2007,2.116382307,InSAR
2/1/2008,2.116382307,InSAR
3/1/2008,2.116382307,InSAR
5/1/2009,2.136382307,InSAR
6/1/2009,2.136382307,InSAR
7/1/2009,2.146382307,InSAR
8/1/2009,2.146382307,InSAR
9/1/2009,2.146382307,InSAR
10/1/2009,2.146382307,InSAR
11/1/2009,2.146382307,InSAR
12/1/2009,2.146382307,InSAR
1/1/2010,2.146382307,InSAR
2/1/2010,2.146382307,InSAR
3/1/2010,2.146382307,InSAR
4/1/2010,2.136382307,InSAR
5/1/2010,2.136382307,InSAR
6/1/2010,2.146382307,Leveling
7/1/2015,2.375200069,Leveling
8/1/2015,2.365200069,InSAR
9/1/2015,2.380159101,InSAR
10/1/2015,2.382558633,InSAR
11/1/2015,2.385038148,InSAR
12/1/2015,2.395038148,InSAR
1/1/2016,2.395038148,InSAR
2/1/2016,2.415038148,InSAR
3/1/2016,2.415038148,InSAR
4/1/2016,2.415038148,InSAR
5/1/2016,2.425038148,InSAR
6/1/2016,2.435038148,InSAR
7/1/2016,2.435038148,InSAR
8/1/2016,2.435038148,InSAR
9/1/2016,2.445038148,InSAR
10/1/2016,2.435038148,InSAR
11/1/2016,2.445038148,InSAR
12/1/2016,2.435038148,InSAR
1/1/2017,2.445038148,InSAR
2/1/2017,2.465038148,InSAR
3/1/2017,2.465038148,InSAR
4/1/2017,2.465038148,InSAR
5/1/2017,2.475038148,InSAR
6/1/2017,2.465038148,InSAR
7/1/2017,2.465038148,InSAR
8/1/2017,2.475038148,InSAR
9/1/2017,2.465038148,InSAR
10/1/2017,2.455038148,InSAR
11/1/2017,2.465038148,InSAR
12/1/2017,2.455038148,InSAR
1/1/2018,2.465038148,InSAR
2/1/2018,2.465038148,InSAR
3/1/2018,2.455038148,InSAR
4/1/2018,2.475038148,InSAR
5/1/2018,2.475038148,InSAR
6/1/2018,2.465038148,InSAR
7/1/2018,2.475038148,InSAR
8/1/2018,2.475038148,InSAR
9/1/2018,2.465038148,InSAR
10/1/2018,2.475038148,InSAR
11/1/2018,2.475038148,InSAR
12/1/2018,2.475038148,InSAR
1/1/2019,2.485038148,InSAR
2/1/2019,2.495038148,InSAR
3/1/2019,2.505038148,InSAR
4/1/2019,2.525038148,InSAR
5/1/2019,2.505038148,InSAR
6/1/2019,2.495038148,InSAR
7/1/2019,2.495038148,InSAR
8/1/2019,2.505038148,InSAR
9/1/2019,2.495038148,InSAR
10/1/2019,2.505038148,InSAR
11/1/2019,2.505038148,InSAR
12/1/2019,2.505038148,InSAR
1/1/2020,2.525038148,InSAR
2/1/2020,2.535038148,InSAR
3/1/2020,2.535038148,InSAR
4/1/2020,2.545038148,InSAR
5/1/2020,2.535038148,InSAR
6/1/2020,2.535038148,InSAR
7/1/2020,2.535038148,InSAR
8/1/2020,2.545038148,InSAR
9/1/2020,2.565038148,InSAR
10/1/2020,2.565038148,InSAR
11/1/2020,2.555038148,InSAR
12/1/2020,2.545038148,InSAR
1/1/2021,2.545038148,InSAR
2/1/2021,2.545038148,InSAR
3/1/2021,2.555038148,InSAR
4/1/2021,2.565038148,InSAR
5/1/2021,2.565038148,InSAR
6/1/2021,2.595038148,InSAR
7/1/2021,2.605038148,InSAR
8/1/2021,2.635038148,InSAR
9/1/2021,2.625038148,InSAR
10/1/2021,2.615038148,InSAR
11/1/2021,2.615038148,InSAR
12/1/2021,2.605038148,InSAR
1/1/2022,2.595038148,InSAR
2/1/2022,2.605038148,InSAR
3/1/2022,2.605038148,InSAR
4/1/2022,2.595038148,InSAR
5/1/2022,2.635038148,InSAR
6/1/2022,2.645038148,InSAR
7/1/2022,2.685038148,InSAR
8/1/2022,2.705038148,InSAR
9/1/2022,2.685038148,InSAR
10/1/2022,2.685038148,InSAR
11/1/2022,2.675038148,InSAR
12/1/2022,2.675038148,InSAR
1/1/2023,2.675038148,InSAR
2/1/2023,2.675038148,InSAR
3/1/2023,2.675038148,InSAR
4/1/2023,2.695038148,InSAR
5/1/2023,2.675038148,InSAR
6/1/2023,2.675038148,InSAR
7/1/2023,2.665038148,InSAR
8/1/2023,2.675038148,InSAR
9/1/2023,2.655038148,InSAR
10/1/2023,2.655038148,InSAR
11/1/2023,2.675038148,InSAR
12/1/2023,2.665038148,InSAR
1/1/2024,2.665038148,InSAR
2/1/2024,2.675038148,InSAR
3/1/2024,2.675038148,InSAR
4/1/2024,2.655038148,InSAR
4/26/2024,2.63,Leveling
