datetime,Mean CH - layer 3 (Lower Aquifer)
1/1/1931,284.6878597
2/1/1931,283.5411666
3/1/1931,282.7234774
4/1/1931,279.6602316
5/1/1931,275.5014357
6/1/1931,268.8772823
7/1/1931,263.5723406
8/1/1931,259.3798513
9/1/1931,254.8752581
10/1/1931,251.8600357
11/1/1931,250.392047
12/1/1931,250.0286515
1/1/1932,249.8377811
2/1/1932,249.6090496
3/1/1932,249.3787362
4/1/1932,249.3340621
5/1/1932,249.324642
6/1/1932,249.3431935
7/1/1932,249.3405632
8/1/1932,249.3401063
9/1/1932,249.3401063
10/1/1932,249.3401063
11/1/1932,249.3401063
12/1/1932,249.3401063
1/1/1933,249.3401063
2/1/1933,249.3401063
3/1/1933,249.3401063
4/1/1933,249.3401063
5/1/1933,249.3401063
6/1/1933,249.3401063
7/1/1933,249.3401063
8/1/1933,249.3401063
9/1/1933,249.3401063
10/1/1933,249.3401063
11/1/1933,249.3401063
12/1/1933,249.3401063
1/1/1934,249.3401063
2/1/1934,249.3401063
3/1/1934,249.3401063
4/1/1934,249.3401063
5/1/1934,249.3401063
6/1/1934,249.3401063
7/1/1934,249.3401063
8/1/1934,249.3401063
9/1/1934,249.3401063
10/1/1934,249.3401063
11/1/1934,249.3401063
12/1/1934,249.3401063
1/1/1935,249.3401063
2/1/1935,249.3401063
3/1/1935,249.3401063
4/1/1935,249.3401063
5/1/1935,249.3401063
6/1/1935,249.3401063
7/1/1935,249.3401063
8/1/1935,249.3401063
9/1/1935,249.3401063
10/1/1935,249.3401063
11/1/1935,249.3401063
12/1/1935,249.3285759
1/1/1936,249.3340684
2/1/1936,249.2800963
3/1/1936,249.2430767
4/1/1936,249.1643969
5/1/1936,249.156243
6/1/1936,249.1460762
7/1/1936,249.1168151
8/1/1936,249.1361122
9/1/1936,249.1551072
10/1/1936,249.1525716
11/1/1936,249.1507886
12/1/1936,249.1490394
1/1/1937,249.1482946
2/1/1937,249.1477716
3/1/1937,249.1474397
4/1/1937,249.1474397
5/1/1937,249.1474397
6/1/1937,249.1474397
7/1/1937,249.1474397
8/1/1937,249.1474397
9/1/1937,249.1474397
10/1/1937,249.1474397
11/1/1937,249.1474397
12/1/1937,249.1474397
1/1/1938,249.1474397
2/1/1938,249.1474397
3/1/1938,249.1474397
4/1/1938,249.1474397
5/1/1938,249.1474397
6/1/1938,249.1474397
7/1/1938,249.1474397
8/1/1938,249.1474397
9/1/1938,249.1474397
10/1/1938,249.1474397
11/1/1938,249.1474397
12/1/1938,249.1474397
1/1/1939,249.1474397
2/1/1939,249.1474397
3/1/1939,249.1474397
4/1/1939,249.1474397
5/1/1939,249.1474397
6/1/1939,249.1474397
7/1/1939,249.1474397
8/1/1939,249.1474397
9/1/1939,249.1474397
10/1/1939,249.1474397
11/1/1939,249.1474397
12/1/1939,249.1474397
1/1/1940,249.1474397
2/1/1940,249.1474397
3/1/1940,249.1474397
4/1/1940,249.1474397
5/1/1940,249.1474397
6/1/1940,249.1474397
7/1/1940,249.1474397
8/1/1940,249.1474397
9/1/1940,249.1474397
10/1/1940,249.1474397
11/1/1940,249.1474397
12/1/1940,249.1474397
1/1/1941,249.1474397
2/1/1941,249.1474397
3/1/1941,249.1474397
4/1/1941,249.1474397
5/1/1941,249.1474397
6/1/1941,249.1474397
7/1/1941,249.1474397
8/1/1941,249.1474397
9/1/1941,249.1474397
10/1/1941,249.1474397
11/1/1941,249.1474397
12/1/1941,249.1474397
1/1/1942,249.1474397
2/1/1942,249.1474397
3/1/1942,249.1474397
4/1/1942,249.1474397
5/1/1942,249.1474397
6/1/1942,249.1474397
7/1/1942,249.1474397
8/1/1942,249.1474397
9/1/1942,249.1474397
10/1/1942,249.1474397
11/1/1942,249.1474397
12/1/1942,249.1474397
1/1/1943,249.1474397
2/1/1943,249.1474397
3/1/1943,249.1474397
4/1/1943,249.1474397
5/1/1943,249.1474397
6/1/1943,249.1474397
7/1/1943,249.1474397
8/1/1943,249.1474397
9/1/1943,249.1474397
10/1/1943,249.1474397
11/1/1943,249.1474397
12/1/1943,249.1474397
1/1/1944,249.1474397
2/1/1944,249.1474397
3/1/1944,249.1474397
4/1/1944,249.1474397
5/1/1944,249.1474397
6/1/1944,249.1474397
7/1/1944,249.1474397
8/1/1944,249.1474397
9/1/1944,249.1474397
10/1/1944,249.1474397
11/1/1944,249.1474397
12/1/1944,249.1474397
1/1/1945,249.1474397
2/1/1945,249.1474397
3/1/1945,249.1474397
4/1/1945,249.1474397
5/1/1945,249.1474397
6/1/1945,249.1474397
7/1/1945,249.1474397
8/1/1945,249.1474397
9/1/1945,249.1474397
10/1/1945,249.1474397
11/1/1945,249.1474397
12/1/1945,249.1474397
1/1/1946,249.1474397
2/1/1946,249.1474397
3/1/1946,249.1474397
4/1/1946,249.1474397
5/1/1946,249.1474397
6/1/1946,249.1474397
7/1/1946,249.1474397
8/1/1946,249.1474397
9/1/1946,249.1474397
10/1/1946,249.1474397
11/1/1946,249.1474397
12/1/1946,249.1474397
1/1/1947,249.1474397
2/1/1947,249.1474397
3/1/1947,249.1474397
4/1/1947,249.1474397
5/1/1947,249.1474397
6/1/1947,249.1474397
7/1/1947,249.1474397
8/1/1947,249.1474397
9/1/1947,249.1474397
10/1/1947,249.1474397
11/1/1947,249.1474397
12/1/1947,249.1474397
1/1/1948,249.1474397
2/1/1948,249.1474397
3/1/1948,249.1474397
4/1/1948,249.1474397
5/1/1948,249.1474397
6/1/1948,249.1474397
7/1/1948,249.1474397
8/1/1948,249.1474397
9/1/1948,249.1474397
10/1/1948,249.1441836
