Date,BLS,Alt,Aquifer
10/24/1944,,245.51,Upper
11/28/1944,,244.51,Upper
10/30/1945,,247.21,Upper
10/21/1946,,242.51,Upper
12/11/1946,,241.71,Upper
3/12/1947,,242.91,Upper
11/13/1947,,234.01,Upper
1/7/1948,,233.01,Upper
6/1/1948,,230.61,Upper
9/16/1948,,221.31,Upper
2/16/1949,,224.11,Upper
10/4/1949,,217.11,Upper
2/16/1950,,216.51,Upper
10/13/1950,,212.11,Upper
2/2/1951,,212.31,Upper
10/10/1951,,209.11,Upper
2/19/1952,,209.11,Upper
10/9/1952,,212.71,Upper
2/13/1953,,212.61,Upper
10/10/1953,,211.71,Upper
2/17/1954,,213.21,Upper
9/27/1954,,213.91,Upper
2/18/1955,,211.41,Upper
9/29/1955,,211.71,Upper
2/16/1956,,211.21,Upper
10/11/1956,,220.91,Upper
2/13/1957,,213.91,Upper
10/21/1957,,213.11,Upper
2/27/1958,,212.61,Upper
10/6/1958,,224.31,Upper
2/19/1959,,217.61,Upper
9/29/1959,,210.61,Upper
2/17/1960,,212.51,Upper
10/6/1960,,201.21,Upper
2/20/1961,,199.81,Upper
7/26/1961,,195.71,Upper
8/31/1961,,194.41,Upper
9/20/1961,,193.71,Upper
10/24/1961,,191.51,Upper
10/25/1961,,192.00,Upper
2/7/1962,,198.41,Upper
2/6/1963,,201.31,Upper
2/11/1964,,201.91,Upper
2/1/1965,,201.71,Upper
2/2/1966,,207.51,Upper
2/6/1967,,201.71,Upper
2/1/1968,,219.21,Upper
2/6/1969,,213.51,Upper
2/21/1969,,210.61,Upper
10/7/1969,,214.71,Upper
2/11/1970,,226.91,Upper
9/29/1970,,199.71,Upper
1/22/1971,,224.81,Upper
9/24/1971,,198.71,Upper
2/4/1972,,211.41,Upper
10/4/1972,,181.71,Upper
2/15/1973,,206.21,Upper
10/8/1973,,202.21,Upper
1/31/1974,,219.21,Upper
10/8/1974,,206.21,Upper
2/24/1975,,217.21,Upper
10/1/1975,,192.21,Upper
1/27/1976,,200.21,Upper
7/27/1976,,149.21,Upper
10/7/1976,,193.21,Upper
1/21/1977,,203.21,Upper
