Date,Subsidence_ft,Source
12/30/1930,0,Leveling
2/15/1935,0.023,Leveling
9/1/1940,0.023,Leveling
2/16/1943,0.053,Leveling
6/15/1947,0.158,Leveling
2/25/1954,0.716,Leveling
4/1/1957,0.998,Leveling
2/15/1959,1.221,Leveling
2/15/1962,2.169,Leveling
1/1/1970,3.639898997,Leveling
8/1/2004,4.684721353,Leveling
9/1/2004,4.734721353,InSAR
10/1/2004,4.764721353,InSAR
11/1/2004,4.794721353,InSAR
12/1/2004,4.804721353,InSAR
1/1/2005,4.804721353,InSAR
2/1/2005,4.804721353,InSAR
3/1/2005,4.814721353,InSAR
4/1/2005,4.824721353,InSAR
1/1/2006,4.974721353,InSAR
2/1/2006,4.964721353,InSAR
3/1/2006,4.954721353,InSAR
4/1/2006,4.964721353,InSAR
5/1/2006,4.984721353,InSAR
6/1/2006,5.014721353,InSAR
2/1/2007,5.134721353,InSAR
3/1/2007,5.134721353,InSAR
8/1/2007,5.314721353,InSAR
9/1/2007,5.354721353,InSAR
2/1/2008,5.424721353,InSAR
3/1/2008,5.434721353,InSAR
5/1/2009,5.924721353,InSAR
6/1/2009,5.964721353,InSAR
7/1/2009,6.024721353,InSAR
8/1/2009,6.084721353,InSAR
9/1/2009,6.134721353,InSAR
10/1/2009,6.174721353,InSAR
11/1/2009,6.194721353,InSAR
12/1/2009,6.214721353,InSAR
1/1/2010,6.224721353,InSAR
2/1/2010,6.244721353,InSAR
3/1/2010,6.264721353,InSAR
4/1/2010,6.284721353,InSAR
5/1/2010,6.314721353,InSAR
6/1/2010,6.354721353,Leveling
7/1/2015,8.661621948,InSAR
8/1/2015,8.737460102,InSAR
9/1/2015,8.822911543,InSAR
10/1/2015,8.909431128,InSAR
11/1/2015,8.97779228,InSAR
12/1/2015,9.04508529,InSAR
1/1/2016,9.095288012,InSAR
2/1/2016,9.148695163,InSAR
3/1/2016,9.173262452,InSAR
4/1/2016,9.222397031,InSAR
5/1/2016,9.276872325,InSAR
6/1/2016,9.361255623,InSAR
7/1/2016,9.440298206,InSAR
8/1/2016,9.534294791,InSAR
