datetime,Mean CH - layer 3 (Principal Aquifer)
11/1/1928,162.294139
12/1/1928,162.2206456
1/1/1929,162.0524441
2/1/1929,161.7838272
3/1/1929,161.7097017
4/1/1929,161.3187111
5/1/1929,160.8898104
6/1/1929,159.5680039
7/1/1929,159.0066711
8/1/1929,158.7866624
9/1/1929,158.6119047
10/1/1929,158.5034458
11/1/1929,158.4181389
12/1/1929,158.3432769
1/1/1930,158.2859918
2/1/1930,158.2441074
3/1/1930,158.1917569
4/1/1930,158.1379969
5/1/1930,158.0413574
6/1/1930,157.9627045
7/1/1930,157.8556623
8/1/1930,157.7180469
9/1/1930,157.5989484
10/1/1930,157.5268105
11/1/1930,157.4510968
12/1/1930,157.4328898
1/1/1931,157.3993127
2/1/1931,157.2381843
3/1/1931,157.1416213
4/1/1931,156.915749
5/1/1931,156.555004
6/1/1931,156.1757644
7/1/1931,155.9016754
8/1/1931,155.5545849
9/1/1931,155.3916163
10/1/1931,155.0749712
11/1/1931,154.9125039
12/1/1931,154.7763816
1/1/1932,154.6571692
2/1/1932,154.5352357
3/1/1932,154.4256028
4/1/1932,154.1173223
5/1/1932,154.0103569
6/1/1932,153.8976883
7/1/1932,153.7888863
8/1/1932,153.6956083
9/1/1932,153.6427115
10/1/1932,153.5984454
11/1/1932,153.5483633
12/1/1932,153.4859769
1/1/1933,153.4347007
2/1/1933,153.3902582
3/1/1933,153.3380211
4/1/1933,153.2775754
5/1/1933,153.2265837
6/1/1933,153.1926394
7/1/1933,153.1317908
8/1/1933,153.0802347
9/1/1933,153.0437044
10/1/1933,152.9957452
11/1/1933,152.9474607
12/1/1933,152.9007996
1/1/1934,152.8533347
2/1/1934,152.8079665
3/1/1934,152.7674971
4/1/1934,152.7157981
5/1/1934,152.6713586
6/1/1934,152.6112324
7/1/1934,152.5691396
8/1/1934,152.5398227
9/1/1934,152.4770656
10/1/1934,152.4317172
11/1/1934,152.3981209
12/1/1934,152.3471073
1/1/1935,152.210461
2/1/1935,152.0197313
3/1/1935,151.7747134
4/1/1935,151.6831962
5/1/1935,151.5721002
6/1/1935,150.7257472
7/1/1935,150.5588326
8/1/1935,150.3579397
9/1/1935,150.1853127
10/1/1935,150.071874
11/1/1935,149.9925042
12/1/1935,149.9017153
1/1/1936,149.8304632
2/1/1936,149.7469828
3/1/1936,149.6749694
4/1/1936,149.6070928
5/1/1936,149.5554993
6/1/1936,149.5045894
7/1/1936,149.45423
8/1/1936,149.3946084
9/1/1936,149.3429488
10/1/1936,149.2910514
11/1/1936,149.2443124
12/1/1936,149.1946603
1/1/1937,149.1375142
2/1/1937,149.0807893
3/1/1937,149.0365853
4/1/1937,148.994432
5/1/1937,148.9344896
6/1/1937,148.8845049
7/1/1937,148.8577452
8/1/1937,148.8167684
9/1/1937,148.7772962
10/1/1937,148.7403182
11/1/1937,148.6873891
12/1/1937,148.6647874
1/1/1938,148.6227996
2/1/1938,148.5896605
3/1/1938,148.560844
4/1/1938,148.5303694
5/1/1938,148.5022704
6/1/1938,148.4817343
7/1/1938,148.4682945
8/1/1938,148.4241768
9/1/1938,148.4072429
10/1/1938,148.3863375
11/1/1938,148.3731863
12/1/1938,148.355196
1/1/1939,148.3377715
2/1/1939,148.321409
3/1/1939,148.307398
4/1/1939,148.2927013
5/1/1939,148.2791648
6/1/1939,148.2658629
7/1/1939,148.2535971
8/1/1939,148.2415411
9/1/1939,148.2300609
10/1/1939,148.219464
11/1/1939,148.209042
12/1/1939,148.1929034
1/1/1940,148.1834614
