Aquifer,Top,Bot,Thick_ft,Description
Upper,0,5,5,sand
Upper,5,7,2,sand
Upper,7,10,3,clay
Upper,10,13,3,sand
Upper,13,16,3,clay
Upper,16,17,1,sand
Upper,17,19,2,clay
Upper,19,27,8,sand
Upper,27,36,9,clay
Upper,36,53,17,clay
Upper,57,65,8,sand
Upper,65,74,9,clay
Upper,74,91,17,clay
Upper,91,100,9,sand
Upper,100,110,10,clay
Upper,110,129,19,clay
Upper,129,133,4,sand
Upper,133,138,5,clay
Upper,138,142,4,sand
Upper,142,147,5,clay
Upper,147,150,3,clay
Corcoran,150,159,9,clay
Corcoran,159,180,21,clay
Corcoran,180,186,6,sand
Corcoran,186,193,7,clay
Corcoran,193,194,1,sand
Corcoran,194,196,2,clay
Corcoran,196,198,2,sand
Corcoran,198,200,2,clay
Corcoran,200,205,5,sand
Corcoran,205,210,5,clay
Lower,210,221,11,clay
Lower,221,243,22,clay
Lower,243,246,3,sand
Lower,246,250,4,clay
Lower,250,257,7,clay
Lower,257,270,13,sand
Lower,270,284,14,clay
Lower,284,285,1,sand
Lower,285,286,1,clay
Lower,286,287,1,sand
Lower,287,289,2,clay
Lower,289,290,1,sand
Lower,290,292,2,clay
Lower,292,293,1,sand
Lower,293,294,1,clay
Lower,294,316,22,clay
Lower,324,328,4,sand
Lower,328,332,4,clay
Lower,332,333,1,sand
Lower,333,335,2,clay
Lower,335,336,1,sand
Lower,336,338,2,clay
Lower,338,340,2,sand
Lower,340,342,2,clay
Lower,342,344,2,sand
Lower,344,346,2,clay
Lower,346,353,7,sand
Lower,353,360,7,clay
Lower,360,375,15,clay
Lower,375,400,25,clay
Lower,400,425,25,clay
Lower,435,441,6,sand
Lower,441,447,6,clay
Lower,447,448,1,sand
Lower,448,449,1,clay
Lower,449,450,1,sand
Lower,450,452,2,clay
Lower,452,453,1,sand
Lower,453,468,15,clay
Lower,468,469,1,sand
Lower,469,470,1,clay
Lower,470,472,2,sand
Lower,472,474,2,clay
Lower,474,478,4,sand
Lower,478,510,32,clay
Lower,510,522,12,sand
Lower,522,528,6,clay
Lower,528,541,13,sand
Lower,541,583,42,clay
Lower,583,585,2,sand
Lower,585,587,2,clay
Lower,587,589,2,sand
Lower,589,591,2,clay
Lower,591,620,29,clay
Lower,620,634,14,clay
Lower,634,639,5,sand
Lower,639,644,5,clay
Lower,644,665,21,sand
Lower,665,671,6,sand
Lower,671,673,2,sand
Lower,673,675,2,clay
Lower,675,677,2,sand
Lower,677,679,2,clay
Lower,679,691,12,clay
Lower,691,692,1,sand
Lower,692,694,2,clay
Lower,694,697,3,clay
Lower,697,709,12,sand
Lower,709,717,8,sand
Lower,717,729,12,sand
Lower,729,731,2,sand
Lower,731,737,6,clay
Lower,737,745,8,sand
Lower,745,749,4,clay
Lower,749,771,22,clay
Lower,771,773,2,sand
Lower,773,777,4,clay
Lower,777,786,9,clay
Lower,786,795,9,clay
Lower,795,804,9,sand
Lower,804,807,3,clay
Lower,807,812,5,clay
Lower,812,815,3,sand
Lower,815,854,39,clay
Lower,854,855,1,sand
Lower,855,857,2,clay
Lower,857,857,0,sand
Lower,857,858,1,clay
Lower,858,864,6,sand
Lower,864,923,59,clay
Lower,923,941,18,clay
Lower,941,966,25,clay
Lower,966,970,4,sand
Lower,970,974,4,clay
Lower,974,983,9,clay
Lower,983,994,11,clay
Lower,994,995,1,sand
Lower,995,996,1,clay
Lower,996,997,1,sand
Lower,997,999,2,clay
Lower,999,1032,33,clay
Lower,1032,1045,13,clay
Lower,1045,1061,16,clay
Lower,1061,1070,9,sand
Lower,1070,1098,28,clay
Lower,1098,1100,2,sand
Lower,1100,1103,3,clay
Lower,1103,1123,20,clay
Lower,1123,1141,18,sand
Lower,1141,1149,8,sand
Lower,1149,1152,3,sand
Lower,1152,1156,4,clay
Lower,1156,1160,4,sand
Lower,1160,1164,4,clay
Lower,1164,1171,7,sand
Lower,1171,1179,8,clay
