Date,BLS,Alt,Aquifer
11/15/1932,,124.82,Upper
2/2/1934,,125.42,Upper
12/28/1934,,119.72,Upper
12/20/1935,,125.12,Upper
11/20/1936,,128.32,Upper
6/1/1937,,138.32,Upper
11/29/1937,,130.32,Upper
11/8/1939,,131.12,Upper
12/1/1939,,131.82,Upper
1/2/1940,,132.72,Upper
11/28/1940,,128.22,Upper
11/22/1941,,127.12,Upper
4/27/1942,,138.52,Upper
12/1/1942,,125.62,Upper
3/30/1943,,130.12,Upper
12/7/1943,,119.92,Upper
3/21/1944,,126.92,Upper
3/5/1945,,122.42,Upper
6/4/1945,,111.82,Upper
3/5/1947,,110.42,Upper
12/3/1947,,87.02,Upper
12/16/1948,,99.52,Upper
3/23/1949,,102.02,Upper
12/14/1949,,99.62,Upper
3/23/1950,,100.62,Upper
10/17/1950,,93.02,Upper
12/4/1950,,95.22,Upper
3/13/1951,,99.92,Upper
10/12/1951,,94.72,Upper
3/20/1952,,99.52,Upper
10/22/1952,,106.92,Upper
10/12/1953,,89.52,Upper
10/20/1954,,95.32,Upper
2/3/1955,,98.72,Upper
10/31/1955,,92.92,Upper
2/28/1956,,99.92,Upper
12/7/1956,,98.72,Upper
2/25/1958,,101.82,Upper
12/29/1958,,110.02,Upper
3/2/1959,,109.72,Upper
12/10/1959,,90.72,Upper
2/29/1960,,99.02,Upper
12/9/1960,,90.02,Upper
2/24/1961,,91.82,Upper
12/8/1961,,82.92,Upper
2/28/1962,,96.6,Upper
2/18/1963,,92.8,Upper
2/10/1964,,89,Upper
10/13/1964,,81.9,Upper
2/9/1965,,88.8,Upper
2/14/1966,,93.1,Upper
2/8/1967,,89.5,Upper
2/19/1968,,98.5,Upper
2/20/1969,,90,Upper
2/13/1970,,97.5,Upper
11/18/1970,,86.1,Upper
2/12/1971,,110.7,Upper
11/17/1971,,91.7,Upper
2/8/1972,,107.9,Upper
10/9/1972,,95.4,Upper
2/19/1973,,91,Upper
10/12/1973,,82.3,Upper
2/6/1974,,84.5,Upper
10/8/1974,,74.5,Upper
3/7/1975,,75.7,Upper
10/9/1975,,76.8,Upper
2/4/1976,,79.5,Upper
10/12/1976,,71.2,Upper
2/2/1977,,70,Upper
10/10/1977,,64.5,Upper
2/1/1978,,69,Upper
10/6/1978,,70.8,Upper
1/22/1979,,91.2,Upper
9/20/1979,,92.6,Upper
1/25/1980,,93.8,Upper
11/10/1980,,93.5,Upper
1/29/1981,,93,Upper
9/23/1981,,95,Upper
1/26/1982,,91,Upper
10/1/1982,,102.5,Upper
1/26/1983,,114.5,Upper
10/26/1983,,126,Upper
1/20/1984,,120.5,Upper
11/8/1984,,133.5,Upper
1/23/1985,,134.6,Upper
10/22/1985,,124,Upper
1/27/1986,,126.8,Upper
11/13/1990,,76,Upper
2/8/1991,,105,Upper
10/1/1991,,41,Upper
1/27/1992,,63,Upper
9/21/1992,,81,Upper
1/21/1993,,106.4,Upper
10/21/1993,,72,Upper
2/3/1994,,75,Upper
10/10/1994,,66.5,Upper
1/30/1995,,98.4,Upper
10/11/1995,,96,Upper
1/17/1996,,97.4,Upper
10/15/1997,,119,Upper
10/12/1998,,-103,Upper
2/1/1999,,107,Upper
10/20/1999,,33.5,Upper
1/26/2000,,66,Upper
2/12/2001,,47,Upper
1/27/2003,,59,Upper
9/15/2003,,6,Upper
3/9/2004,,64,Upper
1/11/2005,,109,Upper
1/17/2006,,-5,Upper
10/11/2006,,2,Upper
3/9/2011,,46,Upper
10/28/2011,,27,Upper
2/28/2013,,-25,Upper
2/11/2014,,-14,Upper
2/11/2015,,3,Upper
10/14/2015,,-41,Upper
3/14/2016,,-1,Upper
10/1/2016,,-19,Upper
3/8/2017,,3,Upper
10/16/2017,,15.22,Upper
3/15/2018,,1,Upper
10/18/2019,,18.74,Upper
10/28/2020,,-90,Upper
3/18/2021,,-90,Upper
3/8/2022,,-114,Upper
3/20/2023,,-11,Upper
10/13/2023,,-22,Upper
3/12/2024,,-15,Upper
10/1/1928,,144.11,Lower
10/23/1929,,138.21,Lower
11/10/1930,,136.61,Lower
11/19/1931,,131.61,Lower
2/2/1934,,133.81,Lower
12/28/1934,,130.51,Lower
12/20/1935,,134.91,Lower
11/20/1936,,137.51,Lower
2/16/1939,,144.61,Lower
10/16/1939,,136.11,Lower
1/2/1940,,138.91,Lower
11/28/1940,,133.81,Lower
11/22/1941,,131.11,Lower
3/24/1942,,132.51,Lower
12/1/1942,,129.01,Lower
12/7/1943,,129.71,Lower
12/5/1944,,123.81,Lower
3/5/1945,,127.11,Lower
7/6/1945,,119.91,Lower
11/14/1945,,118.51,Lower
1/24/1946,,121.71,Lower
12/10/1946,,116.81,Lower
3/5/1947,,118.41,Lower
12/3/1947,,110.91,Lower
3/19/1948,,108.51,Lower
12/16/1948,,109.31,Lower
3/23/1949,,111.31,Lower
12/14/1949,,108.01,Lower
12/12/1950,,107.61,Lower
12/28/1950,,99.53,Lower
3/13/1951,,104.13,Lower
10/12/1951,,87.73,Lower
3/20/1952,,102.03,Lower
10/21/1952,,89.53,Lower
7/27/1953,,72.13,Lower
10/14/1953,,73.93,Lower
12/22/1953,,89.83,Lower
10/20/1954,,62.53,Lower
2/4/1955,,83.03,Lower
11/1/1955,,65.93,Lower
3/1/1956,,83.53,Lower
12/6/1956,,88.13,Lower
12/2/1957,,83.93,Lower
2/23/1958,,92.23,Lower
1/2/1959,,87.73,Lower
3/4/1959,,107.23,Lower
3/2/1960,,98.53,Lower
12/9/1960,,71.73,Lower
2/23/1961,,79.73,Lower
7/21/1961,,71.34,Lower
8/25/1961,,70.54,Lower
9/20/1961,,71.84,Lower
10/26/1961,,74.14,Lower
11/21/1961,,75.14,Lower
12/20/1961,,79.74,Lower
1/17/1962,,81.54,Lower
2/27/1962,,84.24,Lower
3/22/1962,,84.14,Lower
4/25/1962,,82.34,Lower
5/21/1962,,79.24,Lower
6/19/1962,,74.04,Lower
7/25/1962,,70.24,Lower
8/24/1962,,68.54,Lower
9/20/1962,,70.54,Lower
10/18/1962,,73.54,Lower
11/21/1962,,78.54,Lower
12/21/1962,,79.84,Lower
1/24/1963,,81.74,Lower
2/14/1963,,83.24,Lower
3/28/1963,,80.94,Lower
4/25/1963,,82.54,Lower
5/23/1963,,81.04,Lower
6/26/1963,,77.14,Lower
7/24/1963,,71.54,Lower
8/28/1963,,67.24,Lower
10/1/1963,,60.34,Lower
10/23/1963,,73.74,Lower
12/6/1963,,78.94,Lower
12/24/1963,,80.74,Lower
1/22/1964,,82.34,Lower
2/12/1964,,82.64,Lower
3/27/1964,,76.74,Lower
4/24/1964,,76.14,Lower
5/21/1964,,72.14,Lower
6/26/1964,,65.14,Lower
9/21/1964,,63.64,Lower
10/1/1964,,68.06,Lower
1/26/1965,,77.14,Lower
7/27/1965,,62.74,Lower
8/24/1965,,61.54,Lower
10/1/1965,,64.94,Lower
10/27/1965,,67.94,Lower
12/1/1965,,74.24,Lower
12/21/1965,,73.94,Lower
1/26/1966,,77.74,Lower
2/24/1966,,79.54,Lower
3/24/1966,,71.24,Lower
4/27/1966,,70.44,Lower
5/26/1966,,68.04,Lower
6/28/1966,,60.84,Lower
7/26/1966,,56.94,Lower
8/24/1966,,56.04,Lower
9/20/1966,,58.44,Lower
10/25/1966,,63.54,Lower
11/22/1966,,63.24,Lower
12/20/1966,,70.94,Lower
1/24/1967,,72.24,Lower
2/28/1967,,74.44,Lower
3/29/1967,,73.54,Lower
4/27/1967,,75.44,Lower
5/23/1967,,72.54,Lower
6/30/1967,,65.14,Lower
7/25/1967,,59.74,Lower
8/24/1967,,55.94,Lower
9/20/1967,,59.74,Lower
10/24/1967,,66.74,Lower
11/28/1967,,71.84,Lower
12/20/1967,,75.14,Lower
1/24/1968,,77.34,Lower
