Date,Subsidence_ft,Source
3/1/1933,0,Leveling
9/1/1948,0.46,Leveling
1/20/1958,1.26,Leveling
1/1/1965,1.96,Leveling
7/1/1972,2.21,Leveling
4/8/1989,3.7,Leveling
6/15/2003,3.79,Leveling
11/1/2004,4.279296899,InSAR
1/1/2005,4.259296899,InSAR
2/1/2005,4.249296899,InSAR
3/1/2005,4.239296899,InSAR
4/1/2005,4.239296899,InSAR
1/1/2006,4.309296899,InSAR
2/1/2006,4.299296899,InSAR
3/1/2006,4.279296899,InSAR
4/1/2006,4.259296899,InSAR
5/1/2006,4.279296899,InSAR
6/1/2006,4.319296899,InSAR
7/1/2006,4.349296899,InSAR
8/1/2006,4.369296899,InSAR
9/1/2006,4.419296899,InSAR
10/1/2006,4.419296899,InSAR
11/1/2006,4.399296899,InSAR
12/1/2006,4.399296899,InSAR
1/1/2007,4.399296899,InSAR
2/1/2007,4.389296899,InSAR
12/1/2007,4.579296899,InSAR
1/1/2008,4.579296899,InSAR
2/1/2008,4.589296899,InSAR
3/1/2008,4.599296899,InSAR
3/25/2008,4.6,Leveling
4/1/2008,4.599296899,InSAR
5/1/2008,4.619296899,InSAR
6/1/2008,4.649296899,InSAR
7/1/2008,4.699296899,InSAR
7/1/2009,4.959296899,InSAR
8/1/2009,5.009296899,InSAR
9/1/2009,5.049296899,InSAR
10/1/2009,5.069296899,InSAR
11/1/2009,5.079296899,InSAR
12/1/2009,5.079296899,InSAR
1/1/2010,5.079296899,InSAR
2/1/2010,5.089296899,InSAR
3/1/2010,5.089296899,InSAR
4/1/2010,5.079296899,InSAR
5/1/2010,5.079296899,InSAR
6/1/2010,5.109296899,InSAR
7/1/2010,5.129296899,InSAR
8/1/2010,5.159296899,InSAR
12/1/2011,5.19,Leveling
7/1/2012,5.41,Leveling
12/1/2012,5.43,Leveling
7/1/2013,5.85,Leveling
12/1/2013,6.07,Leveling
7/1/2014,6.53,Leveling
12/1/2014,6.66,Leveling
7/1/2015,7.42,Leveling
7/1/2015,7.420220339,InSAR
8/1/2015,7.519220339,InSAR
9/1/2015,7.613220339,InSAR
10/1/2015,7.672220339,InSAR
11/1/2015,7.714220339,InSAR
12/1/2015,7.61,Leveling
12/1/2015,7.740220339,InSAR
1/1/2016,7.745220339,InSAR
2/1/2016,7.755220339,InSAR
3/1/2016,7.754220339,InSAR
4/1/2016,7.773220339,InSAR
5/1/2016,7.814220339,InSAR
6/1/2016,7.887220339,InSAR
7/1/2016,7.79,Leveling
7/1/2016,7.958220339,InSAR
8/1/2016,8.032220339,InSAR
9/1/2016,8.100220339,InSAR
10/1/2016,8.124220339,InSAR
11/1/2016,8.140220339,InSAR
12/1/2016,8.03,Leveling
12/1/2016,8.139220339,InSAR
1/1/2017,8.132220339,InSAR
2/1/2017,8.131220339,InSAR
3/1/2017,8.121220339,InSAR
4/1/2017,8.121220339,InSAR
5/1/2017,8.158220339,InSAR
6/1/2017,8.195220339,InSAR
7/1/2017,8.16,Leveling
7/1/2017,8.252220339,InSAR
8/1/2017,8.328220339,InSAR
9/1/2017,8.382220339,InSAR
10/1/2017,8.408220339,InSAR
11/1/2017,8.440220339,InSAR
12/1/2017,8.2,Leveling
12/1/2017,8.430220339,InSAR
1/1/2018,8.414220339,InSAR
2/1/2018,8.401220339,InSAR
3/1/2018,8.382220339,InSAR
4/1/2018,8.410220339,InSAR
5/1/2018,8.445220339,InSAR
6/1/2018,8.479220339,InSAR
7/1/2018,8.52,Leveling
7/1/2018,8.536220339,InSAR
8/1/2018,8.598220339,InSAR
9/1/2018,8.643220339,InSAR
10/1/2018,8.691220339,InSAR
11/1/2018,8.704220339,InSAR
12/1/2018,8.51,Leveling
12/1/2018,8.695220339,InSAR
1/1/2019,8.684220339,InSAR
2/1/2019,8.674220339,InSAR
3/1/2019,8.672220339,InSAR
4/1/2019,8.697220339,InSAR
5/1/2019,8.707220339,InSAR
6/1/2019,8.738220339,InSAR
7/1/2019,8.7,Leveling
7/1/2019,8.801220339,InSAR
8/1/2019,8.862220339,InSAR
9/1/2019,8.908220339,InSAR
10/1/2019,8.933220339,InSAR
11/1/2019,8.930220339,InSAR
12/1/2019,8.67,Leveling
12/1/2019,8.907220339,InSAR
1/1/2020,8.912220339,InSAR
2/1/2020,8.902220339,InSAR
3/1/2020,8.909220339,InSAR
4/1/2020,8.937220339,InSAR
5/1/2020,8.975220339,InSAR
6/1/2020,9.038220339,InSAR
7/1/2020,9.091220339,InSAR
8/1/2020,9.146220339,InSAR
9/1/2020,9.183220339,InSAR
10/1/2020,9.221220339,InSAR
11/1/2020,9.186220339,InSAR
12/1/2020,8.98,Leveling
12/1/2020,9.168220339,InSAR
1/1/2021,9.166220339,InSAR
2/1/2021,9.173220339,InSAR
3/1/2021,9.201220339,InSAR
4/1/2021,9.251220339,InSAR
5/1/2021,9.311220339,InSAR
6/1/2021,9.399220339,InSAR
7/1/2021,9.37,Leveling
7/1/2021,9.472220339,InSAR
8/1/2021,9.551220339,InSAR
9/1/2021,9.592220339,InSAR
10/1/2021,9.612220339,InSAR
11/1/2021,9.662220339,InSAR
12/1/2021,9.41,Leveling
12/1/2021,9.649220339,InSAR
1/1/2022,9.636220339,InSAR
2/1/2022,9.653220339,InSAR
3/1/2022,9.665220339,InSAR
4/1/2022,9.691220339,InSAR
