datetime,Mean CH - layer 2 (Intermediate Aquifer)
2/1/1935,24.39933094
3/1/1935,23.99690629
4/1/1935,23.73732817
5/1/1935,23.61021779
6/1/1935,23.45486432
7/1/1935,23.36354407
8/1/1935,23.21737933
9/1/1935,23.08606448
10/1/1935,22.99539513
11/1/1935,22.92168893
12/1/1935,22.83556704
1/1/1936,22.79066963
2/1/1936,22.73729477
3/1/1936,22.6575387
4/1/1936,22.60183117
5/1/1936,22.55132119
6/1/1936,22.48691124
7/1/1936,22.4512185
8/1/1936,22.38039008
9/1/1936,22.35000763
10/1/1936,22.29799295
11/1/1936,22.24515936
12/1/1936,22.20833403
1/1/1937,22.15880559
2/1/1937,22.13636604
3/1/1937,22.09479093
4/1/1937,22.08601765
5/1/1937,22.01158773
6/1/1937,21.97290412
7/1/1937,21.93667916
8/1/1937,21.92656806
9/1/1937,21.89126124
10/1/1937,21.88336161
11/1/1937,21.86561518
12/1/1937,21.85243609
1/1/1938,21.81091592
2/1/1938,21.77191675
3/1/1938,21.746546
4/1/1938,21.7176871
5/1/1938,21.68838887
6/1/1938,21.66383
7/1/1938,21.64327448
8/1/1938,21.62466695
9/1/1938,21.60752268
10/1/1938,21.57909794
11/1/1938,21.56160063
12/1/1938,21.5436874
1/1/1939,21.51421282
2/1/1939,21.50777813
3/1/1939,21.50439113
4/1/1939,21.48771683
5/1/1939,21.47109303
6/1/1939,21.45841693
7/1/1939,21.43468689
8/1/1939,21.42398829
9/1/1939,21.41423755
10/1/1939,21.40514574
11/1/1939,21.39351511
12/1/1939,21.38109403
1/1/1940,21.35721736
2/1/1940,21.35809614
3/1/1940,21.36098367
4/1/1940,21.35041016
5/1/1940,21.33965355
6/1/1940,21.3275218
7/1/1940,21.31524714
8/1/1940,21.30209012
9/1/1940,21.28859682
10/1/1940,21.27505716
11/1/1940,21.26070065
12/1/1940,21.22171878
1/1/1941,21.20661321
2/1/1941,21.18007347
3/1/1941,21.16526497
4/1/1941,21.14847792
5/1/1941,21.1321205
6/1/1941,21.11501109
7/1/1941,21.09792809
8/1/1941,21.0800124
9/1/1941,21.06178434
10/1/1941,21.04364393
11/1/1941,21.02436225
12/1/1941,21.00363291
1/1/1942,20.98132503
2/1/1942,20.96080675
3/1/1942,20.94298696
4/1/1942,20.92460502
5/1/1942,20.91908242
6/1/1942,20.90138132
7/1/1942,20.88447501
8/1/1942,20.87810995
9/1/1942,20.86165787
10/1/1942,20.84712561
11/1/1942,20.83251804
12/1/1942,20.81839164
1/1/1943,20.80449379
2/1/1943,20.79187105
3/1/1943,20.78306943
4/1/1943,20.78675083
5/1/1943,20.77680555
6/1/1943,20.76628242
7/1/1943,20.74442618
8/1/1943,20.74299213
9/1/1943,20.73155325
10/1/1943,20.72007773
11/1/1943,20.71958919
12/1/1943,20.70765767
1/1/1944,20.69581167
2/1/1944,20.69577349
3/1/1944,20.68458925
4/1/1944,20.67226956
5/1/1944,20.65996931
6/1/1944,20.64706181
7/1/1944,20.63439097
8/1/1944,20.62141359
9/1/1944,20.6091292
10/1/1944,20.60913792
11/1/1944,20.59847341
12/1/1944,20.57730795
1/1/1945,20.56663775
2/1/1945,20.56752204
3/1/1945,20.54692164
4/1/1945,20.53705878
5/1/1945,20.52770053
6/1/1945,20.51858148
7/1/1945,20.50999143
8/1/1945,20.500574
9/1/1945,20.49068791
10/1/1945,20.4707535
11/1/1945,20.4602927
12/1/1945,20.46137803
1/1/1946,20.45029577
2/1/1946,20.43869454
