Date,Subsidence_ft,Source
1/25/1935,0.00,Leveling
5/15/1942,0.00,Leveling
4/6/1964,0.90,Leveling
4/1/1967,1.49,Leveling
10/20/1992,5.168588792,Extensometer
11/18/1992,5.138588792,Extensometer
12/21/1992,5.118588792,Extensometer
1/19/1993,5.103588792,Extensometer
2/11/1993,5.086588792,Extensometer
3/5/1993,5.053588792,Extensometer
4/2/1993,5.040588792,Extensometer
4/28/1993,5.052588792,Extensometer
5/27/1993,5.150588792,Extensometer
6/22/1993,5.201588792,Extensometer
7/13/1993,5.268588792,Extensometer
8/13/1993,5.241588792,Extensometer
9/10/1993,5.193588792,Extensometer
10/6/1993,5.143588792,Extensometer
10/29/1993,5.122588792,Extensometer
11/19/1993,5.104588792,Extensometer
12/15/1993,5.090588792,Extensometer
1/7/1994,5.081588792,Extensometer
2/4/1994,5.071588792,Extensometer
2/28/1994,5.063588792,Extensometer
3/18/1994,5.065588792,Extensometer
4/11/1994,5.147588792,Extensometer
5/5/1994,5.146588792,Extensometer
5/26/1994,5.161588792,Extensometer
6/22/1994,5.158588792,Extensometer
7/14/1994,5.158588792,Extensometer
8/2/1994,5.162588792,Extensometer
8/30/1994,5.130588792,Extensometer
9/27/1994,5.089588792,Extensometer
10/15/1994,5.059588792,Extensometer
11/18/1994,5.039588792,Extensometer
12/13/1994,5.024588792,Extensometer
1/9/1995,5.009588792,Extensometer
2/3/1995,4.976588792,Extensometer
2/27/1995,4.971588792,Extensometer
3/24/1995,4.936588792,Extensometer
4/19/1995,4.943588792,Extensometer
5/12/1995,4.977588792,Extensometer
5/30/1995,5.032588792,Extensometer
6/22/1995,5.092588792,Extensometer
7/13/1995,5.177588792,Extensometer
8/10/1995,5.179588792,Extensometer
9/8/1995,5.134588792,Extensometer
10/2/1995,5.092588792,Extensometer
11/1/1995,5.059588792,Extensometer
11/29/1995,5.040588792,Extensometer
12/6/1995,5.035588792,Extensometer
12/19/1995,5.028588792,Extensometer
1/11/1996,5.017588792,Extensometer
2/7/1996,4.995588792,Extensometer
3/1/1996,4.985588792,Extensometer
4/5/1996,4.985588792,Extensometer
4/30/1996,5.017588792,Extensometer
5/29/1996,5.077588792,Extensometer
6/20/1996,5.170588792,Extensometer
7/17/1996,5.213588792,Extensometer
8/7/1996,5.202588792,Extensometer
9/5/1996,5.160588792,Extensometer
10/3/1996,5.113588792,Extensometer
10/22/1996,5.100588792,Extensometer
11/21/1996,5.079588792,Extensometer
12/21/1996,5.064588792,Extensometer
1/21/1997,5.051588792,Extensometer
2/20/1997,5.033588792,Extensometer
3/21/1997,5.060588792,Extensometer
4/22/1997,5.140588792,Extensometer
5/14/1997,5.222588792,Extensometer
6/11/1997,5.299588792,Extensometer
7/10/1997,5.353588792,Extensometer
8/4/1997,5.333588792,Extensometer
8/27/1997,5.299588792,Extensometer
9/19/1997,5.295588792,Extensometer
10/20/1997,5.246588792,Extensometer
10/28/1997,5.242588792,Extensometer
11/15/1997,5.222588792,Extensometer
12/15/1997,5.202588792,Extensometer
1/15/1998,5.168588792,Extensometer
2/15/1998,5.153588792,Extensometer
3/15/1998,5.138588792,Extensometer
4/2/1998,5.120588792,Extensometer
5/15/1998,5.190588792,Extensometer
6/4/1998,5.212588792,Extensometer
7/7/1998,5.319588792,Extensometer
8/6/1998,5.350588792,Extensometer
9/8/1998,5.314588792,Extensometer
10/6/1998,5.280588792,Extensometer
11/3/1998,5.252588792,Extensometer
11/23/1998,5.239588792,Extensometer
12/15/1998,5.228588792,Extensometer
1/12/1999,5.218588792,Extensometer
2/10/1999,5.211588792,Extensometer
3/9/1999,5.205588792,Extensometer
3/30/1999,5.203588792,Extensometer
4/20/1999,5.213588792,Extensometer
5/18/1999,5.226588792,Extensometer
6/16/1999,5.262588792,Extensometer
7/15/1999,5.322588792,Extensometer
8/1/1999,5.32,Leveling
8/5/1999,5.324588792,Extensometer
8/25/1999,5.290588792,Extensometer
9/2/1999,5.277588792,Extensometer
9/28/1999,5.231588792,Extensometer
10/26/1999,5.191588792,Extensometer
11/23/1999,5.161588792,Extensometer
12/22/1999,5.142588792,Extensometer
1/18/2000,5.147588792,Extensometer
2/15/2000,5.133588792,Extensometer
3/14/2000,5.117588792,Extensometer
4/6/2000,5.137588792,Extensometer
4/26/2000,5.147588792,Extensometer
5/22/2000,5.162588792,Extensometer
6/19/2000,5.284588792,Extensometer
7/18/2000,5.323588792,Extensometer
8/10/2000,5.300588792,Extensometer
9/7/2000,5.249588792,Extensometer
10/2/2000,5.219588792,Extensometer
11/1/2000,5.178588792,Extensometer
12/1/2000,5.156588792,Extensometer
12/20/2000,5.145588792,Extensometer
1/18/2001,5.136588792,Extensometer
2/9/2001,5.129588792,Extensometer
3/13/2001,5.116588792,Extensometer
4/11/2001,5.123588792,Extensometer
5/9/2001,5.194588792,Extensometer
6/8/2001,5.319588792,Extensometer
7/10/2001,5.350588792,Extensometer
8/10/2001,5.347588792,Extensometer
9/7/2001,5.313588792,Extensometer
10/9/2001,5.277588792,Extensometer
11/6/2001,5.246588792,Extensometer
12/7/2001,5.217588792,Extensometer
1/8/2002,5.196588792,Extensometer
2/8/2002,5.184588792,Extensometer
3/8/2002,5.177588792,Extensometer
4/8/2002,5.183588792,Extensometer
5/6/2002,5.266588792,Extensometer
6/7/2002,5.342588792,Extensometer
7/9/2002,5.428588792,Extensometer
7/11/2002,5.432588792,Extensometer
7/20/2002,5.45,Leveling
7/25/2002,5.439588792,Extensometer
8/9/2002,5.430588792,Extensometer
9/11/2002,5.397588792,Extensometer
10/7/2002,5.372588792,Extensometer
11/7/2002,5.326588792,Extensometer
12/6/2002,5.296588792,Extensometer
1/8/2003,5.273588792,Extensometer
2/7/2003,5.258588792,Extensometer
3/7/2003,5.249588792,Extensometer
4/7/2003,5.247588792,Extensometer
5/8/2003,5.254588792,Extensometer
6/6/2003,5.379588792,Extensometer
7/8/2003,5.466588792,Extensometer
8/8/2003,5.469588792,Extensometer
9/9/2003,5.419588792,Extensometer
10/10/2003,5.382588792,Extensometer
11/1/2003,5.48700341,InSAR
11/10/2003,5.334588792,Extensometer
12/1/2003,5.44700341,InSAR
12/9/2003,5.311588792,Extensometer
1/1/2004,5.41700341,InSAR
1/9/2004,5.299588792,Extensometer
2/1/2004,5.40700341,InSAR
2/11/2004,5.288588792,Extensometer
3/1/2004,5.40700341,InSAR
3/12/2004,5.273588792,Extensometer
