datetime,Mean CH - layer 3 (Principal Aquifer)
3/1/1935,126.1658873
4/1/1935,125.3123508
5/1/1935,124.4486406
6/1/1935,124.0274254
7/1/1935,123.2233262
8/1/1935,123.5333751
9/1/1935,123.2625791
10/1/1935,123.0974715
11/1/1935,123.7254316
12/1/1935,123.3470692
1/1/1936,123.2470761
2/1/1936,123.1495635
3/1/1936,123.3084541
4/1/1936,123.2096007
5/1/1936,123.1025545
6/1/1936,123.0178033
7/1/1936,122.965325
8/1/1936,122.9255926
9/1/1936,123.1234003
10/1/1936,123.3123402
11/1/1936,122.986882
12/1/1936,122.9056253
1/1/1937,122.8342603
2/1/1937,122.8991596
3/1/1937,123.0524913
4/1/1937,122.9740415
5/1/1937,122.893648
6/1/1937,122.8093879
7/1/1937,122.7326261
8/1/1937,122.6615495
9/1/1937,122.7822065
10/1/1937,122.5233398
11/1/1937,122.4509405
12/1/1937,122.1780958
1/1/1938,122.1104972
2/1/1938,122.0501465
3/1/1938,122.0078414
4/1/1938,121.9631231
5/1/1938,121.9122308
6/1/1938,121.856824
7/1/1938,121.8109496
8/1/1938,121.7759348
9/1/1938,121.7489605
10/1/1938,121.7277953
11/1/1938,121.7095034
12/1/1938,121.6944189
1/1/1939,121.6815986
2/1/1939,121.8578805
3/1/1939,121.8451159
4/1/1939,121.830018
5/1/1939,121.817043
6/1/1939,121.8054282
7/1/1939,121.7960421
8/1/1939,121.7876012
9/1/1939,121.7797412
10/1/1939,121.7725838
11/1/1939,121.8846786
12/1/1939,121.8782519
1/1/1940,121.8721371
2/1/1940,121.8527751
3/1/1940,121.8440771
4/1/1940,121.8383878
5/1/1940,121.8339891
6/1/1940,121.8288816
7/1/1940,121.8247137
8/1/1940,121.8209189
9/1/1940,121.8172716
10/1/1940,121.8139338
11/1/1940,121.811024
12/1/1940,121.8087633
1/1/1941,121.8069629
2/1/1941,121.8054569
3/1/1941,121.8039725
4/1/1941,121.7549222
5/1/1941,121.7054894
6/1/1941,121.7035011
7/1/1941,121.6890487
8/1/1941,121.662744
9/1/1941,121.6370386
10/1/1941,121.6231803
11/1/1941,121.6155858
12/1/1941,121.6099488
1/1/1942,121.6062101
2/1/1942,121.5962906
3/1/1942,121.5843968
4/1/1942,121.3992764
5/1/1942,121.3968225
6/1/1942,121.2301136
7/1/1942,121.2276076
8/1/1942,121.3904355
9/1/1942,121.3887588
10/1/1942,121.3872725
11/1/1942,121.3858316
12/1/1942,121.3843168
1/1/1943,121.537509
2/1/1943,121.6409931
3/1/1943,121.6350038
4/1/1943,121.6285205
5/1/1943,121.6229044
6/1/1943,121.6177069
7/1/1943,121.612874
8/1/1943,121.6081465
9/1/1943,121.6030222
10/1/1943,121.5982603
11/1/1943,121.5929553
12/1/1943,121.5829346
1/1/1944,121.5772795
2/1/1944,121.5712814
3/1/1944,121.5655918
4/1/1944,121.559883
5/1/1944,121.5549252
6/1/1944,121.5504445
7/1/1944,121.5466064
8/1/1944,121.5431938
9/1/1944,121.540132
10/1/1944,121.5374094
11/1/1944,121.5349973
12/1/1944,121.5326718
1/1/1945,121.379243
2/1/1945,121.5141711
3/1/1945,121.4986243
4/1/1945,121.4781959
5/1/1945,121.4652642
6/1/1945,121.4616382
7/1/1945,121.4607151
8/1/1945,121.4536639
9/1/1945,121.444389
10/1/1945,121.4366956
11/1/1945,121.4314201
12/1/1945,121.4287783
1/1/1946,121.2808087
2/1/1946,121.279942
3/1/1946,121.2784126
4/1/1946,121.2761342
5/1/1946,121.27345
6/1/1946,121.2707004
7/1/1946,121.2680997
8/1/1946,121.2655116
9/1/1946,121.2603736
10/1/1946,121.251091
11/1/1946,121.2430879
12/1/1946,121.2364743
1/1/1947,121.231009
2/1/1947,121.2272152
3/1/1947,121.2247982
4/1/1947,121.2227066
5/1/1947,121.2210569
6/1/1947,121.219996
7/1/1947,121.2191909
8/1/1947,121.2182282
9/1/1947,121.2174324
10/1/1947,121.2166779
11/1/1947,121.2159192
12/1/1947,121.2151967
1/1/1948,121.3165455
2/1/1948,121.3158084
3/1/1948,121.3151262
4/1/1948,121.314405
5/1/1948,121.3137144
6/1/1948,121.3130082
7/1/1948,121.4157883
8/1/1948,121.4150887
9/1/1948,121.4143951
10/1/1948,121.4137293
11/1/1948,121.4130464
12/1/1948,121.4123901
1/1/1949,121.4117161
2/1/1949,121.4110459
3/1/1949,121.4104433
4/1/1949,121.4097793
5/1/1949,121.4091393
6/1/1949,121.4084806
7/1/1949,121.4078455
8/1/1949,121.4071918
9/1/1949,121.4065408
10/1/1949,121.4059133
11/1/1949,121.405268
12/1/1949,121.4046466
1/1/1950,121.4040081
2/1/1950,121.403374
3/1/1950,121.4028055
4/1/1950,121.4021828
5/1/1950,121.4015887
6/1/1950,121.4009873
7/1/1950,121.400421
8/1/1950,121.3998578
9/1/1950,121.3989172
10/1/1950,121.3968029
11/1/1950,121.3946534
12/1/1950,121.3926084
1/1/1951,121.3905362
2/1/1951,121.3885102
3/1/1951,121.2516801
4/1/1951,121.2497412
5/1/1951,121.3499825
6/1/1951,121.3481727
7/1/1951,121.3465093
8/1/1951,121.3448984
9/1/1951,121.343409
10/1/1951,121.3416297
11/1/1951,121.3404217
12/1/1951,121.3392193
1/1/1952,121.336755
2/1/1952,121.3360371
3/1/1952,121.3355031
4/1/1952,121.335075
5/1/1952,121.3347796
6/1/1952,121.3345866
7/1/1952,121.3344514
8/1/1952,121.3342919
9/1/1952,121.3341143
10/1/1952,121.3339282
11/1/1952,121.3337247
12/1/1952,121.3335217
1/1/1953,121.3333103
2/1/1953,121.4603307
3/1/1953,121.4584035
4/1/1953,121.3280383
5/1/1953,121.3260755
6/1/1953,121.3241108
7/1/1953,121.3196011
8/1/1953,121.4402427
9/1/1953,121.4358451
10/1/1953,121.4328525
11/1/1953,121.4305331
12/1/1953,121.4282848
1/1/1954,121.4259632
2/1/1954,121.4236577
3/1/1954,121.4216004
4/1/1954,121.4193643
5/1/1954,121.4172409
6/1/1954,121.4150818
7/1/1954,121.4130111
8/1/1954,121.4108717
9/1/1954,121.4087128
10/1/1954,121.5265994
11/1/1954,121.5209079
12/1/1954,121.5157277
1/1/1955,121.5106113
2/1/1955,121.5055746
3/1/1955,121.501
4/1/1955,121.3769265
