Date,BLS,Alt,Aquifer
11/12/1942,,200.06,Upper
11/27/1942,,201.26,Upper
11/11/1943,,200.36,Upper
11/30/1943,,201.56,Upper
11/20/1944,,185.46,Upper
12/2/1944,,188.66,Upper
12/1/1945,,189.76,Upper
1/16/1959,,180.8,Upper
2/24/1959,,175.68,Upper
9/4/1959,,162.44,Upper
2/17/1960,,169.54,Upper
10/7/1960,,166.64,Upper
2/9/1961,,176.54,Upper
10/13/1961,,165.74,Upper
3/19/1962,,175.84,Upper
10/11/1962,,163.94,Upper
2/6/1963,,174.54,Upper
9/30/1963,,168.54,Upper
1/31/1964,,176.54,Upper
9/29/1964,,167.04,Upper
2/4/1965,,179.54,Upper
10/4/1965,,174.54,Upper
1/28/1966,,173.54,Upper
10/3/1966,,172.54,Upper
2/1/1967,,177.54,Upper
9/29/1967,,174.54,Upper
2/1/1968,,171.54,Upper
9/25/1968,,174.54,Upper
4/1/1969,,182.54,Upper
9/30/1969,,182.54,Upper
2/10/1972,,184.54,Upper
10/16/1973,,177.54,Upper
9/26/1974,,170.54,Upper
1/29/1975,,173.54,Upper
9/24/1975,,169.54,Upper
1/28/1976,,173.54,Upper
10/7/1976,,182.54,Upper
2/3/1977,,181.54,Upper
10/6/1977,,176.54,Upper
2/1/1978,,176.54,Upper
10/4/1978,,182.54,Upper
2/6/1979,,180.54,Upper
9/25/1979,,177.54,Upper
2/8/1980,,177.54,Upper
10/1/1980,,173.54,Upper
2/18/1981,,170.54,Upper
9/23/1981,,151.54,Upper
1/27/1982,,182.54,Upper
9/29/1982,,187.54,Upper
1/25/1983,,180.54,Upper
10/5/1983,,191.54,Upper
1/30/1984,,186.54,Upper
10/8/1984,,184.54,Upper
10/1/1985,,186.54,Upper
2/11/1986,,183.54,Upper
10/7/1986,,183.54,Upper
2/5/1987,,186.54,Upper
10/26/1988,,186.94,Upper
1/27/1989,,186.84,Upper
10/25/1989,,187.24,Upper
1/30/1990,,187.04,Upper
10/16/1990,,186.04,Upper
2/7/1991,,186.44,Upper
10/23/1991,,185.94,Upper
2/20/1992,,186.34,Upper
10/29/1992,,185.64,Upper
3/9/1993,,186.04,Upper
10/15/1993,,179.74,Upper
2/3/1994,,185.64,Upper
10/7/1994,,178.04,Upper
2/23/1995,,186.54,Upper
2/1/1996,,190.24,Upper
10/11/1996,,190.04,Upper
2/5/1997,,189.84,Upper
10/20/1997,,191.94,Upper
10/26/1998,,190.84,Upper
2/5/1999,,190.74,Upper
10/15/1999,,190.84,Upper
1/20/2000,,189.94,Upper
1/17/2001,,190.04,Upper
10/23/2001,,190.44,Upper
1/30/2002,,190.74,Upper
11/13/2003,,191.34,Upper
1/26/2004,,191.44,Upper
10/26/2004,,191.44,Upper
8/1/2005,,190.58,Upper
8/1/2006,,190.38,Upper
7/1/2007,,188.68,Upper
8/22/2008,,186.33,Upper
8/6/2009,,187.18,Upper
1/28/1958,,137.98,Lower
10/29/1958,,124.72,Lower
2/17/1960,,116.72,Lower
2/9/1961,,105.62,Lower
3/19/1962,,99.02,Lower
2/6/1963,,63.72,Lower
1/30/1964,,48.54,Lower
2/4/1965,,55.04,Lower
1/28/1966,,56.54,Lower
2/2/1967,,52.54,Lower
2/1/1968,,52.54,Lower
2/13/1969,,43.54,Lower
1/27/1970,,29.54,Lower
9/22/1970,,-17.46,Lower
2/3/1971,,25.54,Lower
9/28/1971,,-45.46,Lower
2/9/1972,,24.54,Lower
10/13/1972,,-40.46,Lower
10/11/1973,,-44.46,Lower
1/29/1974,,11.54,Lower
9/25/1974,,-49.46,Lower
1/27/1975,,57.54,Lower
9/22/1975,,-35.46,Lower
1/27/1976,,0.04,Lower
10/4/1976,,-61.46,Lower
2/1/1977,,-12.46,Lower
10/3/1977,,-73.46,Lower
2/1/1978,,-16.46,Lower
10/3/1978,,-10.46,Lower
2/7/1979,,25.54,Lower
9/26/1979,,-33.46,Lower
2/8/1980,,17.54,Lower
10/1/1980,,-30.46,Lower
2/18/1981,,13.54,Lower
9/23/1981,,-54.46,Lower
1/27/1982,,20.54,Lower
9/28/1982,,-32.46,Lower
2/2/1983,,22.54,Lower
10/7/1983,,28.54,Lower
1/24/1984,,55.54,Lower
10/5/1984,,2.54,Lower
2/8/1985,,52.54,Lower
10/2/1985,,1.54,Lower
2/4/1986,,32.54,Lower
10/7/1986,,4.54,Lower
1/28/1987,,50.54,Lower
10/16/1987,,19.54,Lower
3/3/1988,,60.54,Lower
10/18/1988,,26.54,Lower
2/14/1989,,30.54,Lower
10/24/1989,,27.54,Lower
2/7/1990,,38.84,Lower
10/15/1990,,-25.26,Lower
2/13/1991,,15.24,Lower
10/23/1991,,-37.86,Lower
2/24/1992,,8.54,Lower
10/29/1992,,-33.96,Lower
3/11/1993,,7.74,Lower
10/21/1993,,-9.66,Lower
2/10/1994,,19.34,Lower
10/13/1994,,-41.06,Lower
2/28/1995,,8.34,Lower
9/28/1995,,-3.16,Lower
2/9/1996,,25.24,Lower
10/17/1996,,-0.06,Lower
2/4/1997,,58.74,Lower
10/21/1997,,58.74,Lower
2/13/1998,,26.74,Lower
10/22/1998,,21.04,Lower
2/12/1999,,57.14,Lower
10/21/1999,,30.64,Lower
1/21/2000,,32.44,Lower
1/18/2001,,23.64,Lower
10/17/2001,,-17.96,Lower
1/31/2002,,1.74,Lower
3/11/2002,,-3,Lower
7/25/2002,,-41.5,Lower
1/31/2003,,6.5,Lower
6/3/2003,,-11.5,Lower
10/17/2006,,15.9,Lower
6/23/2008,,-62.8,Lower
10/29/2008,,-80.5,Lower
6/1/2009,,-81.3,Lower
10/18/2011,,-27,Lower
1/12/2012,,-12.9,Lower
2/17/2012,,-9.6,Lower
8/24/2012,,-83.3,Lower
2/15/2013,,-36.4,Lower
8/16/2013,,-36.4,Lower
2/4/2014,,-84.5,Lower
9/12/2014,,-120.55,Lower
1/9/2015,,-88.4,Lower
1/30/2015,,-79.9,Lower
6/19/2015,,-121,Lower
1/18/2016,,-97.92,Lower
2/11/2016,,-89.4,Lower
10/17/2016,,-110.93,Lower
5/2/2017,,-77.2,Lower
8/9/2017,,-99.3,Lower
8/15/2017,,-99.3,Lower
11/28/2017,,-73.5,Lower
3/27/2018,,-61.7,Lower
6/28/2018,,-110.3,Lower
