datetime,Mean CH - layer 2 (Transitional Aquifer)
3/1/1935,320.5112387
4/1/1935,317.684801
5/1/1935,315.7122937
6/1/1935,314.0079982
7/1/1935,312.7590213
8/1/1935,311.7410753
9/1/1935,310.6808077
10/1/1935,310.0783834
11/1/1935,309.5994608
12/1/1935,308.5353993
1/1/1936,307.5647897
2/1/1936,306.6231623
3/1/1936,305.8657353
4/1/1936,305.4577859
5/1/1936,305.1707531
6/1/1936,304.8733271
7/1/1936,304.6249857
8/1/1936,304.4123387
9/1/1936,304.2028831
10/1/1936,304.023837
11/1/1936,303.8180061
12/1/1936,303.69828
1/1/1937,303.5496232
2/1/1937,303.4032507
3/1/1937,303.3163682
4/1/1937,303.2280986
5/1/1937,303.1527301
6/1/1937,303.0930509
7/1/1937,303.0542137
8/1/1937,303.0258476
9/1/1937,303.0079799
10/1/1937,302.9991169
11/1/1937,302.9900415
12/1/1937,302.9823337
1/1/1938,302.9750429
2/1/1938,302.96904
3/1/1938,302.9640612
4/1/1938,302.9616258
5/1/1938,302.9593053
6/1/1938,302.9576906
7/1/1938,302.9563805
8/1/1938,302.9549331
9/1/1938,302.9535273
10/1/1938,302.9522894
11/1/1938,302.9509951
12/1/1938,302.9491008
1/1/1939,302.9456601
2/1/1939,302.9416825
3/1/1939,302.9392659
4/1/1939,302.9347273
5/1/1939,302.9260182
6/1/1939,302.9080499
7/1/1939,302.8912563
8/1/1939,302.8771953
9/1/1939,302.8700756
10/1/1939,302.8639319
11/1/1939,302.8579181
12/1/1939,302.8539124
1/1/1940,302.8504722
2/1/1940,302.8464187
3/1/1940,302.8433902
4/1/1940,302.8399129
5/1/1940,302.8371674
6/1/1940,302.8348279
7/1/1940,302.8317895
8/1/1940,302.8280563
9/1/1940,302.8247973
10/1/1940,302.8224874
11/1/1940,302.819242
12/1/1940,302.8175386
1/1/1941,302.8165207
2/1/1941,302.8156206
3/1/1941,302.8148419
4/1/1941,302.8139438
5/1/1941,302.8130933
6/1/1941,302.8121877
7/1/1941,302.8112901
8/1/1941,302.8103525
9/1/1941,302.80939
10/1/1941,302.8084468
11/1/1941,302.8074535
12/1/1941,302.8064736
1/1/1942,302.8054433
2/1/1942,302.8043969
3/1/1942,302.8034376
4/1/1942,302.802357
5/1/1942,302.8012805
6/1/1942,302.8001702
7/1/1942,302.7990852
8/1/1942,302.7977634
9/1/1942,302.796219
10/1/1942,302.7943901
11/1/1942,302.7929905
12/1/1942,302.7914603
1/1/1943,302.7897725
2/1/1943,302.7882013
3/1/1943,302.786844
4/1/1943,302.785367
5/1/1943,302.7836233
6/1/1943,302.7817654
7/1/1943,302.7797981
8/1/1943,302.7775998
9/1/1943,302.7751048
10/1/1943,302.7723509
11/1/1943,302.7699662
12/1/1943,302.7679018
1/1/1944,302.7659042
2/1/1944,302.7628911
3/1/1944,302.7588872
4/1/1944,302.7522373
5/1/1944,302.7435107
6/1/1944,302.7319668
7/1/1944,302.7244758
8/1/1944,302.7098805
9/1/1944,302.6992714
10/1/1944,302.6860187
11/1/1944,302.6728202
12/1/1944,302.6598359
1/1/1945,302.6476847
2/1/1945,302.6361571
3/1/1945,302.6325066
4/1/1945,302.6264947
5/1/1945,302.6219936
6/1/1945,302.6116097
7/1/1945,302.5991415
8/1/1945,302.5805227
9/1/1945,302.5756104
10/1/1945,302.5684099
11/1/1945,302.5648508
12/1/1945,302.562608
1/1/1946,302.5594848
2/1/1946,302.5572467
3/1/1946,302.5513934
4/1/1946,302.5465393
5/1/1946,302.5388574
6/1/1946,302.5330454
7/1/1946,302.5303952
8/1/1946,302.5284176
9/1/1946,302.5262992
10/1/1946,302.5238732
11/1/1946,302.5211727
12/1/1946,302.5181126
1/1/1947,302.5158193
2/1/1947,302.5138267
3/1/1947,302.5119488
4/1/1947,302.5099316
5/1/1947,302.5079235
6/1/1947,302.5059501
7/1/1947,302.5041272
8/1/1947,302.5022279
9/1/1947,302.5003331
10/1/1947,302.4984895
11/1/1947,302.4965336
12/1/1947,302.4946467
1/1/1948,302.4926755
2/1/1948,302.4907215
3/1/1948,302.4888476
4/1/1948,302.4867976
5/1/1948,302.4847915
6/1/1948,302.4824783
7/1/1948,302.4804905
8/1/1948,302.478407
9/1/1948,302.4763465
10/1/1948,302.4743551
11/1/1948,302.4722964
12/1/1948,302.4703188
1/1/1949,302.4682541
2/1/1949,302.4661967
3/1/1949,302.4643348
4/1/1949,302.4622726
5/1/1949,302.460274
6/1/1949,302.4581928
7/1/1949,302.456169
8/1/1949,302.4540726
9/1/1949,302.4519724
10/1/1949,302.4499139
11/1/1949,302.447772
12/1/1949,302.4457085
1/1/1950,302.4435733
2/1/1950,302.4414344
3/1/1950,302.4392551
4/1/1950,302.4368081
5/1/1950,302.4344318
6/1/1950,302.4308549
7/1/1950,302.4263635
8/1/1950,302.4168803
9/1/1950,302.4068069
10/1/1950,302.3941643
11/1/1950,302.3873319
12/1/1950,302.379786
1/1/1951,302.3656298
2/1/1951,302.3609436
3/1/1951,302.3588474
4/1/1951,302.3567182
5/1/1951,302.3546554
6/1/1951,302.3480976
7/1/1951,302.3459194
8/1/1951,302.3435052
9/1/1951,302.3405028
10/1/1951,302.329824
