Date,Subsidence_ft,Source
2/15/1935,0,Leveling
9/1/1940,0,Leveling
6/1/1947,0,Leveling
3/1/1954,0.036,Leveling
4/1/1957,0.036,Leveling
2/1/1958,0.036,Leveling
1/15/1959,0.095,Leveling
2/1/1960,0.095,Leveling
5/8/2004,2,Leveling
7/1/2004,2.007657049,InSAR
8/1/2004,2.007328965,InSAR
9/1/2004,2.008641301,InSAR
10/1/2004,2.012250225,InSAR
11/1/2004,2.016187233,InSAR
12/1/2004,2.027342089,InSAR
1/1/2005,2.037840777,InSAR
2/1/2005,2.048011381,InSAR
3/1/2005,2.048995633,InSAR
4/1/2005,2.041121617,InSAR
1/1/2006,2.066712169,InSAR
2/1/2006,2.069008757,InSAR
3/1/2006,2.074258101,InSAR
4/1/2006,2.076882773,InSAR
5/1/2006,2.078523193,InSAR
6/1/2006,2.077867025,InSAR
2/1/2007,2.128391961,InSAR
3/1/2007,2.123142617,InSAR
8/1/2007,2.144796161,InSAR
9/1/2007,2.147420833,InSAR
2/1/2008,2.187118997,InSAR
3/1/2008,2.185150493,InSAR
5/1/2009,2.254048133,InSAR
6/1/2009,2.255688553,InSAR
7/1/2009,2.255032385,InSAR
8/1/2009,2.259625561,InSAR
9/1/2009,2.266187241,InSAR
10/1/2009,2.272092753,InSAR
11/1/2009,2.280622937,InSAR
12/1/2009,2.291121625,InSAR
1/1/2010,2.310150497,InSAR
2/1/2010,2.311134749,InSAR
3/1/2010,2.314087505,InSAR
4/1/2010,2.312119001,InSAR
5/1/2010,2.309494329,InSAR
6/1/2010,2.312775169,InSAR
2/12/2015,2.532133824,InSAR
2/18/2015,2.539351672,InSAR
2/23/2015,2.545257184,InSAR
3/1/2015,2.552475032,InSAR
3/7/2015,2.55969288,InSAR
3/13/2015,2.552803116,InSAR
3/20/2015,2.54164826,InSAR
3/26/2015,2.542499043,InSAR
4/1/2015,2.532984607,InSAR
4/7/2015,2.536921615,InSAR
4/13/2015,2.540858623,InSAR
4/19/2015,2.545123715,InSAR
4/25/2015,2.549060723,InSAR
