datetime,Mean CH - layer 3 (Pliocene)
2/1/1905,491.3664038
3/1/1905,491.3664036
4/1/1905,491.3664017
5/1/1905,491.3663941
6/1/1905,491.3663685
7/1/1905,491.3663096
8/1/1905,491.366188
9/1/1905,491.3659761
10/1/1905,491.3656583
11/1/1905,491.3651778
12/1/1905,491.3645439
1/1/1906,491.3636802
2/1/1906,491.3625805
3/1/1906,491.3613754
4/1/1906,491.359756
5/1/1906,491.3578987
6/1/1906,491.3556481
7/1/1906,491.3531394
8/1/1906,491.3501679
9/1/1906,491.3465116
10/1/1906,491.3423054
11/1/1906,491.3372776
12/1/1906,491.331744
1/1/1907,491.325294
2/1/1907,491.318098
3/1/1907,491.3109743
4/1/1907,491.3022875
5/1/1907,491.2930942
6/1/1907,491.2827068
7/1/1907,491.2717876
8/1/1907,491.2596076
9/1/1907,491.2465541
10/1/1907,491.2331405
11/1/1907,491.2185002
12/1/1907,491.2036586
1/1/1908,491.1876658
2/1/1908,491.1710749
3/1/1908,491.1550699
4/1/1908,491.137443
5/1/1908,491.1199203
6/1/1908,491.101332
7/1/1908,491.082895
8/1/1908,491.0633583
9/1/1908,491.0433245
10/1/1908,491.0234607
11/1/1908,491.0024184
12/1/1908,490.9815676
1/1/1909,490.9594992
2/1/1909,490.936904
3/1/1909,490.9160597
4/1/1909,490.8924437
5/1/1909,490.8690765
6/1/1909,490.8443746
7/1/1909,490.8199456
8/1/1909,490.794145
9/1/1909,490.7677953
10/1/1909,490.7417931
11/1/1909,490.7143722
12/1/1909,490.5807985
1/1/1910,490.5525715
2/1/1910,490.5238724
3/1/1910,490.4975771
4/1/1910,490.4680199
5/1/1910,490.4390098
6/1/1910,490.4086076
7/1/1910,490.3787937
8/1/1910,490.3475688
9/1/1910,490.3159226
10/1/1910,490.2848932
11/1/1910,490.2523818
12/1/1910,490.2204807
1/1/1911,490.1870192
2/1/1911,490.1530245
3/1/1911,490.1218529
4/1/1911,490.0867191
5/1/1911,490.0520859
6/1/1911,490.0155638
7/1/1911,489.9794768
8/1/1911,489.9413335
9/1/1911,489.9022828
10/1/1911,489.8636035
11/1/1911,489.8226574
12/1/1911,489.782102
1/1/1912,489.7391944
2/1/1912,489.6952827
3/1/1912,489.6533213
4/1/1912,489.6071414
5/1/1912,489.56145
6/1/1912,489.4092117
7/1/1912,489.3617787
8/1/1912,489.311658
9/1/1912,489.2604094
10/1/1912,489.2097383
11/1/1912,489.156203
12/1/1912,489.1032617
1/1/1913,488.9760483
2/1/1913,488.9184326
3/1/1913,488.8653003
4/1/1913,488.7027398
5/1/1913,488.6436312
6/1/1913,488.5812023
7/1/1913,488.5195437
8/1/1913,488.4545307
9/1/1913,488.3882463
10/1/1913,488.3229302
11/1/1913,488.2542052
12/1/1913,488.1865572
1/1/1914,488.2197657
2/1/1914,488.1489278
3/1/1914,488.0839993
4/1/1914,488.0109617
5/1/1914,487.9392037
6/1/1914,487.8639002
7/1/1914,487.7899306
8/1/1914,487.7122952
9/1/1914,487.7400231
10/1/1914,487.6626648
11/1/1914,487.6905403
12/1/1914,487.6120475
1/1/1915,487.5293184
2/1/1915,487.4448541
3/1/1915,487.3670629
4/1/1915,487.2789904
5/1/1915,487.3038339
6/1/1915,487.2135887
7/1/1915,487.1244263
8/1/1915,486.9179866
9/1/1915,486.8219287
10/1/1915,486.7269374
11/1/1915,486.6265294
12/1/1915,486.4513883
1/1/1916,486.2332301
2/1/1916,486.1248227
3/1/1916,486.0210334
4/1/1916,485.9072308
5/1/1916,485.7943067
6/1/1916,485.6745279
7/1/1916,485.6714912
8/1/1916,485.5466488
9/1/1916,485.4185811
10/1/1916,485.2915935
11/1/1916,485.0388665
12/1/1916,484.9058664
1/1/1917,484.8848325
2/1/1917,484.7419106
3/1/1917,484.6101255
4/1/1917,484.4609276
5/1/1917,484.3134672
6/1/1917,484.1578143
7/1/1917,484.0041178
8/1/1917,483.8420157
9/1/1917,483.8056628
10/1/1917,483.6459163
11/1/1917,483.4773505
12/1/1917,483.3109396
1/1/1918,483.2708833
2/1/1918,483.0944635
3/1/1918,482.932274
4/1/1918,482.7492027
5/1/1918,482.5687317
6/1/1918,482.3786831
7/1/1918,482.1913917
8/1/1918,482.1396482
9/1/1918,482.0925518
10/1/1918,481.9011533
11/1/1918,481.6996409
12/1/1918,481.5010764
1/1/1919,481.2920437
2/1/1919,481.079115
3/1/1919,480.8835869
4/1/1919,480.6631571
5/1/1919,480.4461269
6/1/1919,480.2179017
7/1/1919,479.9933414
8/1/1919,479.7573716
9/1/1919,479.5175106
10/1/1919,479.1134014
11/1/1919,478.8657309
12/1/1919,478.62253
1/1/1920,478.3675103
2/1/1920,478.1088224
3/1/1920,478.0400537
4/1/1920,477.7762149
5/1/1920,477.5175599
6/1/1920,477.4316972
7/1/1920,477.1686897
8/1/1920,476.8934809
9/1/1920,476.6148903
10/1/1920,476.2324401
11/1/1920,475.945911
12/1/1920,475.6656463
1/1/1921,475.3729597
2/1/1921,475.2808119
3/1/1921,475.0145187
4/1/1921,474.71696
5/1/1921,474.4265695
6/1/1921,474.3368233
7/1/1921,474.0442604
8/1/1921,473.7397717
9/1/1921,473.4332812
10/1/1921,473.0161022
11/1/1921,472.7051196
12/1/1921,472.4027889
1/1/1922,472.0890864
2/1/1922,471.7742664
3/1/1922,471.4891279
4/1/1922,471.1726429
5/1/1922,470.8657654
6/1/1922,470.4228521
7/1/1922,470.1140751
8/1/1922,469.7947901
9/1/1922,469.2470269
10/1/1922,468.9379207
11/1/1922,468.6179773
12/1/1922,468.3079588
1/1/1923,468.4558479
2/1/1923,468.0078339
3/1/1923,467.7206974
4/1/1923,467.4031288
5/1/1923,467.0961372
6/1/1923,466.7792815
7/1/1923,466.4729965
8/1/1923,466.0209371
9/1/1923,465.704082
10/1/1923,465.3977768
11/1/1923,465.0815921
12/1/1923,464.7758961
1/1/1924,464.4602953
2/1/1924,464.1449554
3/1/1924,463.8501685
4/1/1924,463.5352657
5/1/1924,463.2307002
6/1/1924,462.9161498
7/1/1924,462.6118804
8/1/1924,462.2975857
9/1/1924,461.8396003
10/1/1924,461.5349396
11/1/1924,461.2201497
12/1/1924,460.9155018
1/1/1925,460.6006419
2/1/1925,460.2856787
3/1/1925,460.0010771
4/1/1925,459.685791
5/1/1925,459.3804567
6/1/1925,459.0646712
7/1/1925,458.7587852
8/1/1925,458.4423683
9/1/1925,458.1255954
10/1/1925,457.8186943
11/1/1925,457.5011838
12/1/1925,457.193556
1/1/1926,456.8752873
2/1/1926,456.5566299
3/1/1926,456.2684907
4/1/1926,455.9490812
5/1/1926,455.639593
6/1/1926,455.3193657
7/1/1926,455.0090555
8/1/1926,454.6879391
9/1/1926,454.3663371
10/1/1926,454.0546343
11/1/1926,453.7320147
12/1/1926,453.4192954
1/1/1927,453.0956031
2/1/1927,452.7713619
3/1/1927,452.4780567
4/1/1927,452.1528003
5/1/1927,451.8375654
6/1/1927,451.5113517
7/1/1927,451.1952539
8/1/1927,450.8682279
9/1/1927,450.5408567
10/1/1927,450.223767
11/1/1927,449.8958589
12/1/1927,449.578339
1/1/1928,449.2500767
2/1/1928,448.9216944
3/1/1928,448.6144195
4/1/1928,448.2858885
5/1/1928,447.9679113
6/1/1928,447.6393008
7/1/1928,447.3212655
8/1/1928,446.9926048
9/1/1928,446.6639173
10/1/1928,446.3458002
11/1/1928,446.0170304
12/1/1928,445.6988027
1/1/1929,445.3698746
2/1/1929,445.0408247
3/1/1929,444.7434958
4/1/1929,444.4141272
5/1/1929,444.0951819
6/1/1929,443.7653577
7/1/1929,443.4459135
