datetime,Mean CH - layer 3 (Lower Aquifer)
2/1/1901,369.1910911
3/1/1901,369.1858343
4/1/1901,369.1602232
5/1/1901,369.1420765
6/1/1901,369.0937997
7/1/1901,369.0566569
8/1/1901,368.8173152
9/1/1901,368.6018663
10/1/1901,368.3466915
11/1/1901,367.8298056
12/1/1901,367.1224698
1/1/1902,366.3426931
2/1/1902,365.3400148
3/1/1902,364.4741103
4/1/1902,363.5699089
5/1/1902,362.7874724
6/1/1902,362.0504847
7/1/1902,361.3247798
8/1/1902,360.6064859
9/1/1902,359.9060376
10/1/1902,359.2329493
11/1/1902,358.5552234
12/1/1902,358.0516659
1/1/1903,357.62485
2/1/1903,357.2418528
3/1/1903,356.8849317
4/1/1903,356.6038324
5/1/1903,356.3195479
6/1/1903,356.0820276
7/1/1903,355.8872196
8/1/1903,355.7135432
9/1/1903,355.5587997
10/1/1903,355.415908
11/1/1903,355.2068455
12/1/1903,355.0284063
1/1/1904,354.8790068
2/1/1904,354.7851236
3/1/1904,354.6837388
4/1/1904,354.5439246
5/1/1904,354.3798545
6/1/1904,354.1813538
7/1/1904,353.8668243
8/1/1904,353.4790191
9/1/1904,352.7206279
10/1/1904,351.8037204
11/1/1904,350.8498278
12/1/1904,350.2330323
1/1/1905,349.6600521
2/1/1905,349.1546208
3/1/1905,348.6830482
4/1/1905,348.1957991
5/1/1905,347.6313919
6/1/1905,346.815026
7/1/1905,346.056915
8/1/1905,345.5603361
9/1/1905,345.1170745
10/1/1905,344.7033593
11/1/1905,344.2960905
12/1/1905,343.9686716
1/1/1906,343.65699
2/1/1906,343.2927994
3/1/1906,343.0637575
4/1/1906,342.6422128
5/1/1906,342.078112
6/1/1906,341.3879083
7/1/1906,340.7310455
8/1/1906,340.0376101
9/1/1906,339.2100462
10/1/1906,338.0367755
11/1/1906,336.5458402
12/1/1906,335.1036505
1/1/1907,333.6546348
2/1/1907,332.5007822
3/1/1907,331.5164263
4/1/1907,330.5737171
5/1/1907,329.6565043
6/1/1907,328.9081993
7/1/1907,328.169666
8/1/1907,327.4387641
9/1/1907,326.5889978
10/1/1907,325.9226206
11/1/1907,325.2974776
12/1/1907,324.6787748
1/1/1908,324.0814885
2/1/1908,323.3103057
3/1/1908,322.8673971
4/1/1908,322.370794
5/1/1908,321.9472034
6/1/1908,321.3870371
7/1/1908,320.9418391
8/1/1908,320.5910967
9/1/1908,320.3119267
10/1/1908,320.0474511
11/1/1908,319.8082338
12/1/1908,319.5402034
1/1/1909,319.2948251
2/1/1909,319.0706216
3/1/1909,318.9363122
4/1/1909,318.7685775
5/1/1909,318.6169319
6/1/1909,318.4706873
7/1/1909,318.3698807
8/1/1909,318.2765762
9/1/1909,318.1334955
10/1/1909,318.0612266
11/1/1909,317.9635514
12/1/1909,317.874086
1/1/1910,317.7865217
2/1/1910,317.7653178
3/1/1910,317.6590423
4/1/1910,317.6074997
5/1/1910,317.52713
6/1/1910,317.4433095
7/1/1910,317.3873671
8/1/1910,317.2937351
9/1/1910,317.1593583
10/1/1910,317.0786542
11/1/1910,316.9731133
12/1/1910,316.8370969
1/1/1911,316.5665051
2/1/1911,316.3056268
3/1/1911,315.7547539
4/1/1911,314.8460057
5/1/1911,313.84512
6/1/1911,312.5019431
7/1/1911,311.301655
8/1/1911,310.3110421
9/1/1911,309.4242471
10/1/1911,308.6583149
11/1/1911,308.0535524
12/1/1911,307.4860058
1/1/1912,306.8127858
2/1/1912,306.2952163
3/1/1912,305.888233
4/1/1912,305.4392224
5/1/1912,305.0757232
6/1/1912,304.711526
7/1/1912,304.3482088
8/1/1912,303.9379571
9/1/1912,303.4903967
10/1/1912,302.8831013
11/1/1912,302.0366894
