Date,BLS,Alt,Aquifer
1/1/1905,0,260.0,Upper
1/1/1921,20,250.0,Upper
1/31/1930,64.4,234.3,Upper
10/18/1930,68.5,230.2,Upper
10/15/1931,70.2,228.5,Upper
10/28/1932,70.3,228.4,Upper
11/2/1934,77.8,220.9,Upper
11/2/1939,92.3,206.4,Upper
11/9/1942,95.7,203.0,Upper
11/13/1943,99,199.7,Upper
11/7/1944,103.5,195.2,Upper
10/29/1945,107,191.7,Upper
11/8/1945,105.4,193.3,Upper
11/8/1946,117.1,181.6,Upper
12/16/1946,116.3,182.4,Upper
10/6/1947,118,180.7,Upper
11/6/1947,116.3,182.4,Upper
12/15/1947,110.5,188.2,Upper
3/3/1948,111.5,187.2,Upper
6/10/1948,120.5,178.2,Upper
9/21/1948,127.9,170.8,Upper
11/17/1948,118.3,180.4,Upper
2/8/1949,107.1,191.6,Upper
9/28/1949,125.9,172.8,Upper
11/4/1949,120.7,178.0,Upper
2/6/1950,114.9,183.8,Upper
9/26/1950,130.7,168.0,Upper
11/9/1950,126.5,172.2,Upper
1/24/1951,120.7,178.0,Upper
10/5/1951,132,166.7,Upper
2/1/1952,123.9,174.8,Upper
9/23/1952,136.5,162.2,Upper
2/5/1953,123.5,175.2,Upper
9/25/1953,135.5,163.2,Upper
2/8/1954,126.5,172.2,Upper
9/27/1954,141,157.7,Upper
2/21/1955,129,169.7,Upper
9/27/1955,134,164.7,Upper
2/21/1956,124,174.7,Upper
10/2/1956,127,171.7,Upper
2/5/1957,118,180.7,Upper
10/2/1957,120,178.7,Upper
2/11/1958,113,185.7,Upper
10/6/1958,112,186.7,Upper
2/2/1959,106,192.7,Upper
2/17/1959,106.4,192.3,Upper
9/28/1959,115,183.7,Upper
2/10/1960,106,192.7,Upper
9/27/1960,117,181.7,Upper
2/8/1961,106,192.7,Upper
10/3/1961,119,179.7,Upper
2/6/1962,109,189.7,Upper
2/8/1962,106,192.7,Upper
10/9/1962,108,190.7,Upper
2/7/1963,104,194.7,Upper
9/23/1963,105,193.7,Upper
2/4/1964,98,200.7,Upper
9/29/1964,105,193.7,Upper
2/2/1965,95,203.7,Upper
2/4/1966,92,206.7,Upper
2/8/1967,93,205.7,Upper
2/2/1968,88,210.7,Upper
1/29/1969,92,206.7,Upper
9/26/1969,91,207.7,Upper
1/29/1970,83,215.7,Upper
9/24/1970,91,207.7,Upper
1/28/1971,66,207.7,Upper
9/22/1971,68,205.7,Upper
1/31/1972,67,206.7,Upper
9/28/1972,70,203.7,Upper
2/2/1973,70,203.7,Upper
9/28/1973,69,204.7,Upper
2/15/1974,65,208.7,Upper
10/8/1974,64,209.7,Upper
1/30/1975,61,212.7,Upper
9/29/1975,59,214.7,Upper
1/22/1976,58,215.7,Upper
7/27/1976,64,209.7,Upper
10/7/1976,65,208.7,Upper
1/28/1977,62,211.7,Upper
6/9/1977,68,205.7,Upper
8/2/1977,72,201.7,Upper
10/11/1977,73,200.7,Upper
1/27/1978,73,200.7,Upper
10/9/1978,68,205.7,Upper
1/26/1979,69,204.7,Upper
9/25/1979,68,205.7,Upper
1/25/1980,64,209.7,Upper
9/29/1980,61,212.7,Upper
1/26/1981,60,213.7,Upper
9/21/1981,63,210.7,Upper
1/25/1982,62,211.7,Upper
9/27/1982,65,208.7,Upper
1/2/1983,59,214.7,Upper
9/26/1983,56,217.7,Upper
1/30/1984,53,220.7,Upper
10/2/1984,62,211.7,Upper
1/28/1985,53,220.7,Upper
10/7/1985,58,215.7,Upper
1/28/1986,61,212.7,Upper
9/29/1986,53,220.7,Upper
2/2/1987,62,211.7,Upper
10/5/1987,57,216.7,Upper
2/2/1988,57,216.7,Upper
10/4/1988,62,211.7,Upper
1/24/1989,63,210.7,Upper
10/3/1989,68,205.7,Upper
2/8/1990,69,204.7,Upper
10/1/1990,74,199.7,Upper
1/28/1991,74,199.7,Upper
9/30/1991,79,194.7,Upper
1/27/1992,76,197.7,Upper
10/5/1992,81,192.7,Upper
