Date,Subsidence_ft,Source
1/1/1901,0,Leveling
12/1/1930,0.8,Leveling
9/1/1940,2.096,Leveling
2/20/1943,2.224,Leveling
6/15/1947,3.258,Leveling
3/1/1948,3.622,Leveling
2/1/1954,7.549,Leveling
4/1/1957,8.491,Leveling
2/15/1959,8.714,Leveling
2/15/1962,9.767,Leveling
2/15/1964,10,Leveling
2/1/1970,10.62077299,Leveling
6/16/2004,14.22645332,Leveling
7/1/2004,14.23738047,InSAR
8/1/2004,14.27150121,InSAR
9/1/2004,14.29479517,InSAR
10/1/2004,14.29118625,InSAR
11/1/2004,14.28724924,InSAR
12/1/2004,14.25476893,InSAR
1/1/2005,14.22392903,InSAR
2/1/2005,14.1937453,InSAR
3/1/2005,14.17241984,InSAR
4/1/2005,14.15798415,InSAR
1/1/2006,14.22983454,InSAR
2/1/2006,14.19210488,InSAR
3/1/2006,14.1835747,InSAR
4/1/2006,14.18685554,InSAR
5/1/2006,14.19243297,InSAR
6/1/2006,14.21933585,InSAR
2/1/2007,14.28921775,InSAR
3/1/2007,14.27182929,InSAR
2/1/2008,14.4378398,InSAR
3/1/2008,14.43193429,InSAR
5/1/2009,14.6694671,InSAR
6/1/2009,14.71310227,InSAR
7/1/2009,14.75411277,InSAR
8/1/2009,14.79807603,InSAR
9/1/2009,14.83219677,InSAR
10/1/2009,14.84827288,InSAR
11/1/2009,14.84761671,InSAR
12/1/2009,14.82760359,InSAR
1/1/2010,14.82268233,InSAR
2/1/2010,14.7924986,InSAR
3/1/2010,14.78101566,InSAR
4/1/2010,14.78560884,InSAR
5/1/2010,14.80496579,InSAR
6/1/2010,14.83777419,InSAR
2/12/2015,16.28583659,InSAR
2/18/2015,16.28813318,InSAR
2/23/2015,16.29010168,InSAR
3/1/2015,16.29239827,InSAR
3/7/2015,16.29469486,InSAR
3/13/2015,16.30060037,InSAR
3/20/2015,16.30847438,InSAR
3/26/2015,16.31503606,InSAR
4/1/2015,16.32192583,InSAR
4/7/2015,16.33504919,InSAR
4/13/2015,16.34817255,InSAR
4/19/2015,16.36129591,InSAR
4/25/2015,16.37409118,InSAR
5/1/2015,16.40525916,InSAR
5/7/2015,16.43609906,InSAR
5/13/2015,16.46693896,InSAR
5/20/2015,16.50171586,InSAR
5/26/2015,16.52533791,InSAR
6/1/2015,16.54895996,InSAR
6/7/2015,16.572582,InSAR
6/13/2015,16.59620405,InSAR
6/19/2015,16.61818568,InSAR
6/25/2015,16.63787072,InSAR
7/1/2015,16.65985235,InSAR
7/7/2015,16.68183398,InSAR
7/13/2015,16.70414369,InSAR
7/20/2015,16.73039041,InSAR
7/26/2015,16.75204395,InSAR
8/1/2015,16.77500983,InSAR
8/7/2015,16.79731954,InSAR
8/13/2015,16.81930117,InSAR
8/20/2015,16.83833004,InSAR
8/26/2015,16.85899934,InSAR
9/1/2015,16.88557414,InSAR
9/7/2015,16.9068996,InSAR
9/13/2015,16.92428805,InSAR
9/19/2015,16.93806758,InSAR
9/25/2015,16.9498786,InSAR
10/1/2015,16.96004921,InSAR
10/7/2015,16.97218832,InSAR
10/13/2015,16.98170275,InSAR
10/20/2015,16.98826443,InSAR
10/26/2015,16.99679462,InSAR
11/1/2015,17.00434055,InSAR
11/7/2015,17.00926181,InSAR
11/13/2015,17.01287073,InSAR
11/19/2015,17.01943241,InSAR
11/25/2015,17.02599409,InSAR
12/1/2015,17.02829068,InSAR
12/7/2015,17.03025918,InSAR
12/13/2015,17.0299311,InSAR
12/20/2015,17.03157152,InSAR
12/26/2015,17.03091535,InSAR
1/1/2016,17.03550853,InSAR
1/7/2016,17.03878937,InSAR
1/13/2016,17.04502296,InSAR
1/20/2016,17.04600722,InSAR
1/26/2016,17.05027231,InSAR
2/1/2016,17.0483038,InSAR
2/7/2016,17.04469488,InSAR
2/13/2016,17.0443668,InSAR
2/18/2016,17.04469488,InSAR
2/24/2016,17.05060039,InSAR
3/1/2016,17.05224081,InSAR
3/7/2016,17.0525689,InSAR
3/13/2016,17.05552165,InSAR
3/20/2016,17.06372375,InSAR
3/26/2016,17.07389436,InSAR
4/1/2016,17.08373688,InSAR
4/7/2016,17.09226706,InSAR
4/13/2016,17.10210958,InSAR
4/19/2016,17.11326444,InSAR
4/25/2016,17.12474738,InSAR
5/1/2016,17.13590223,InSAR
5/7/2016,17.15066601,InSAR
5/13/2016,17.16608596,InSAR
5/20/2016,17.19134843,InSAR
5/26/2016,17.21333006,InSAR
6/1/2016,17.23203084,InSAR
6/7/2016,17.25171588,InSAR
6/13/2016,17.27041667,InSAR
6/19/2016,17.28780512,InSAR
6/25/2016,17.30453741,InSAR
7/1/2016,17.32356628,InSAR
7/7/2016,17.34456366,InSAR
7/13/2016,17.36457678,InSAR
7/20/2016,17.38623032,InSAR
7/26/2016,17.40493111,InSAR
8/1/2016,17.42231956,InSAR
8/7/2016,17.44069227,InSAR
8/13/2016,17.4584088,InSAR
8/20/2016,17.48268702,InSAR
8/26/2016,17.49712272,InSAR
9/1/2016,17.51352692,InSAR
9/7/2016,17.52533794,InSAR
9/13/2016,17.53518046,InSAR
9/19/2016,17.54141406,InSAR
9/25/2016,17.55125658,InSAR
10/1/2016,17.56077101,InSAR
10/7/2016,17.56733269,InSAR
10/13/2016,17.57520671,InSAR
10/20/2016,17.58209647,InSAR
10/26/2016,17.5896424,InSAR
11/1/2016,17.5978445,InSAR
11/7/2016,17.6060466,InSAR
11/13/2016,17.60637469,InSAR
11/19/2016,17.60309385,InSAR
11/25/2016,17.60046918,InSAR
12/1/2016,17.59915684,InSAR
12/7/2016,17.5978445,InSAR
12/13/2016,17.59718834,InSAR
12/20/2016,17.59292324,InSAR
12/26/2016,17.58636156,InSAR
1/1/2017,17.5857054,InSAR
1/7/2017,17.5876739,InSAR
1/13/2017,17.5794718,InSAR
1/20/2017,17.58275264,InSAR
1/26/2017,17.57520671,InSAR
2/1/2017,17.58275264,InSAR
2/7/2017,17.58012797,InSAR
2/12/2017,17.58176839,InSAR
2/18/2017,17.57619096,InSAR
2/23/2017,17.57356629,InSAR
3/1/2017,17.57389437,InSAR
3/7/2017,17.56962928,InSAR
3/13/2017,17.57192587,InSAR
3/20/2017,17.57389437,InSAR
3/26/2017,17.57684713,InSAR
4/1/2017,17.5794718,InSAR
4/7/2017,17.58636156,InSAR
4/13/2017,17.58997049,InSAR
4/19/2017,17.59292324,InSAR
4/25/2017,17.60473427,InSAR
5/1/2017,17.61392062,InSAR
5/7/2017,17.62113847,InSAR
5/13/2017,17.62966865,InSAR
5/20/2017,17.63327758,InSAR
5/26/2017,17.64049542,InSAR
6/1/2017,17.64836944,InSAR
6/7/2017,17.65657154,InSAR
6/13/2017,17.66805448,InSAR
6/19/2017,17.68084976,InSAR
6/25/2017,17.69495737,InSAR
7/1/2017,17.7087369,InSAR
7/7/2017,17.72317259,InSAR
7/13/2017,17.73892062,InSAR
7/20/2017,17.75532482,InSAR
7/26/2017,17.76582351,InSAR
8/1/2017,17.77796262,InSAR
8/7/2017,17.79042981,InSAR
8/13/2017,17.80125658,InSAR
8/20/2017,17.81175527,InSAR
8/26/2017,17.81831695,InSAR
9/1/2017,17.82192588,InSAR
9/7/2017,17.82455055,InSAR
9/13/2017,17.82619097,InSAR
9/19/2017,17.82815947,InSAR
9/25/2017,17.83308073,InSAR
10/1/2017,17.83865816,InSAR
10/7/2017,17.84653218,InSAR
10/13/2017,17.8501411,InSAR
10/20/2017,17.85243769,InSAR
10/26/2017,17.85539044,InSAR
11/1/2017,17.85998362,InSAR
11/7/2017,17.85998362,InSAR
11/13/2017,17.8603117,InSAR
11/19/2017,17.8563747,InSAR
11/25/2017,17.84850068,InSAR
12/1/2017,17.84423559,InSAR
12/7/2017,17.84292325,InSAR
12/13/2017,17.8399705,InSAR
12/20/2017,17.83340882,InSAR
12/26/2017,17.82979989,InSAR
1/1/2018,17.82586288,InSAR
1/7/2018,17.82881564,InSAR
1/13/2018,17.82717522,InSAR
1/20/2018,17.82323821,InSAR
1/26/2018,17.81798887,InSAR
2/1/2018,17.81470803,InSAR
2/7/2018,17.81011485,InSAR
2/12/2018,17.80519359,InSAR
2/18/2018,17.79830383,InSAR
2/23/2018,17.79436682,InSAR
3/1/2018,17.79141406,InSAR
3/7/2018,17.79731958,InSAR
3/13/2018,17.80683401,InSAR
3/20/2018,17.81208336,InSAR
3/26/2018,17.81864504,InSAR
4/1/2018,17.82947181,InSAR
4/7/2018,17.83931433,InSAR
4/13/2018,17.8481726,InSAR
4/19/2018,17.85899937,InSAR
4/25/2018,17.86687338,InSAR
5/1/2018,17.87048231,InSAR
5/7/2018,17.87835632,InSAR
5/13/2018,17.88524609,InSAR
5/20/2018,17.88852693,InSAR
5/26/2018,17.89213585,InSAR
6/1/2018,17.89968178,InSAR
6/7/2018,17.91280514,InSAR
6/13/2018,17.92560042,InSAR
6/19/2018,17.93872378,InSAR
6/25/2018,17.95414373,InSAR
7/1/2018,17.97054793,InSAR
7/7/2018,17.98367129,InSAR
7/13/2018,17.99843507,InSAR
7/20/2018,18.01582352,InSAR
7/26/2018,18.02599412,InSAR
8/1/2018,18.04141407,InSAR
8/7/2018,18.0551936,InSAR
8/13/2018,18.06569229,InSAR
8/20/2018,18.07651906,InSAR
8/26/2018,18.08570541,InSAR
9/1/2018,18.09554793,InSAR
9/7/2018,18.10473428,InSAR
9/13/2018,18.11687339,InSAR
9/19/2018,18.13032484,InSAR
9/25/2018,18.14180778,InSAR
10/1/2018,18.14640095,InSAR
10/7/2018,18.14869754,InSAR
10/13/2018,18.1516503,InSAR
10/20/2018,18.15788389,InSAR
10/26/2018,18.16575791,InSAR
11/1/2018,18.17231959,InSAR
11/7/2018,18.1719915,InSAR
11/13/2018,18.16936683,InSAR
11/19/2018,18.16969492,InSAR
11/25/2018,18.16772641,InSAR
12/1/2018,18.16936683,InSAR
12/7/2018,18.16641408,InSAR
12/13/2018,18.16575791,InSAR
12/20/2018,18.15952431,InSAR
12/26/2018,18.15460305,InSAR
1/1/2019,18.1555873,InSAR
1/7/2019,18.15624347,InSAR
1/13/2019,18.15886814,InSAR
1/20/2019,18.1555873,InSAR
1/26/2019,18.15132221,InSAR
2/1/2019,18.14968179,InSAR
2/7/2019,18.14640095,InSAR
2/12/2019,18.14147969,InSAR
2/18/2019,18.13819885,InSAR
2/23/2019,18.1372146,InSAR
3/1/2019,18.13655843,InSAR
3/7/2019,18.14443245,InSAR
3/13/2019,18.15132221,InSAR
3/20/2019,18.15657156,InSAR
3/26/2019,18.15919623,InSAR
4/1/2019,18.16018048,InSAR
4/7/2019,18.1598524,InSAR
4/13/2019,18.15919623,InSAR
4/19/2019,18.16050856,InSAR
4/25/2019,18.16050856,InSAR
5/1/2019,18.16083665,InSAR
5/7/2019,18.16083665,InSAR
5/13/2019,18.16444557,InSAR
5/20/2019,18.17396001,InSAR
5/26/2019,18.18084977,InSAR
6/1/2019,18.18806762,InSAR
6/7/2019,18.19725397,InSAR
6/13/2019,18.20742458,InSAR
6/19/2019,18.2192356,Leveling
6/25/2019,18.22809387,InSAR
7/1/2019,18.24482615,InSAR
7/7/2019,18.25893376,InSAR
7/13/2019,18.26812012,InSAR
7/20/2019,18.28419623,InSAR
7/26/2019,18.29239833,InSAR
8/1/2019,18.30158468,InSAR
8/7/2019,18.31011487,InSAR
8/13/2019,18.31864505,InSAR
8/20/2019,18.32717524,InSAR
8/26/2019,18.33504925,InSAR
9/1/2019,18.34718836,InSAR
9/7/2019,18.35079728,InSAR
9/13/2019,18.35801513,InSAR
9/19/2019,18.36096789,InSAR
9/25/2019,18.36457681,InSAR
10/1/2019,18.36720148,InSAR
10/7/2019,18.36752957,InSAR
10/13/2019,18.36785765,InSAR
10/20/2019,18.377044,InSAR
10/26/2019,18.37277891,InSAR
11/1/2019,18.37573167,InSAR
11/7/2019,18.37245083,InSAR
11/13/2019,18.36523298,InSAR
11/19/2019,18.36326448,InSAR
11/25/2019,18.35932747,InSAR
12/1/2019,18.35703088,InSAR
12/7/2019,18.35473429,InSAR
12/13/2019,18.3586713,InSAR
12/20/2019,18.35473429,InSAR
12/26/2019,18.34784453,InSAR
1/1/2020,18.34390752,InSAR
1/7/2020,18.34915686,InSAR
1/13/2020,18.34456369,InSAR
1/20/2020,18.34325135,InSAR
1/26/2020,18.33931434,InSAR
2/1/2020,18.33242458,InSAR
2/7/2020,18.3278314,InSAR
2/13/2020,18.3258629,InSAR
2/18/2020,18.3278314,InSAR
2/24/2020,18.3258629,InSAR
3/1/2020,18.32881566,InSAR
3/7/2020,18.33111224,InSAR
3/13/2020,18.334065,InSAR
3/20/2020,18.3320965,InSAR
3/26/2020,18.33439308,InSAR
4/1/2020,18.33931434,InSAR
4/7/2020,18.34325135,InSAR
4/13/2020,18.34489177,InSAR
4/19/2020,18.34981303,InSAR
4/25/2020,18.35276579,InSAR
5/1/2020,18.36293639,InSAR
5/7/2020,18.37179466,InSAR
5/13/2020,18.38098101,InSAR
5/20/2020,18.39705713,InSAR
5/26/2020,18.40689965,InSAR
6/1/2020,18.41346133,InSAR
6/7/2020,18.42166343,InSAR
6/13/2020,18.43183403,InSAR
6/19/2020,18.44233272,InSAR
6/25/2020,18.45348758,InSAR
7/1/2020,18.46464243,InSAR
7/7/2020,18.47842196,InSAR
7/13/2020,18.4899049,InSAR
7/20/2020,18.50532485,InSAR
7/26/2020,18.52238522,InSAR
8/1/2020,18.53649283,InSAR
8/7/2020,18.55092852,InSAR
8/13/2020,18.56339572,InSAR
8/20/2020,18.57848758,InSAR
8/26/2020,18.58570543,InSAR
9/1/2020,18.5945637,InSAR
9/7/2020,18.60539047,InSAR
9/13/2020,18.61228023,InSAR
9/19/2020,18.61457682,InSAR
9/25/2020,18.62376317,InSAR
10/1/2020,18.62770018,InSAR
10/7/2020,18.6273721,InSAR
10/13/2020,18.62573168,InSAR
10/20/2020,18.63098102,InSAR
10/26/2020,18.62835635,InSAR
11/1/2020,18.62507551,InSAR
11/7/2020,18.62048233,InSAR
11/13/2020,18.61424874,InSAR
11/19/2020,18.61228023,InSAR
11/25/2020,18.61031173,InSAR
12/1/2020,18.61162406,InSAR
12/7/2020,18.61228023,InSAR
12/13/2020,18.60932748,InSAR
12/20/2020,18.6109679,InSAR
12/26/2020,18.6047343,InSAR
1/1/2021,18.60079729,InSAR
1/7/2021,18.59587603,InSAR
1/13/2021,18.58865818,InSAR
1/20/2021,18.58504926,InSAR
1/26/2021,18.58734585,InSAR
2/1/2021,18.58931435,InSAR
2/7/2021,18.59259519,InSAR
2/12/2021,18.59751645,InSAR
2/18/2021,18.60079729,InSAR
2/23/2021,18.60178154,InSAR
3/1/2021,18.60604664,InSAR
3/7/2021,18.60801514,InSAR
3/13/2021,18.61195215,InSAR
3/20/2021,18.61818574,InSAR
3/26/2021,18.62671593,InSAR
4/1/2021,18.63098102,InSAR
4/7/2021,18.63623036,InSAR
4/13/2021,18.64246396,InSAR
4/19/2021,18.65099414,InSAR
4/25/2021,18.66247708,InSAR
5/1/2021,18.67920937,InSAR
5/7/2021,18.69462932,InSAR
5/13/2021,18.71628286,InSAR
5/20/2021,18.73826449,InSAR
5/26/2021,18.75302827,InSAR
6/1/2021,18.7687763,InSAR
6/7/2021,18.78616475,InSAR
6/13/2021,18.80224087,InSAR
6/19/2021,18.81930124,InSAR
6/25/2021,18.83800202,InSAR
7/1/2021,18.8570309,InSAR
7/7/2021,18.8773721,InSAR
7/13/2021,18.89869756,InSAR
7/20/2021,18.92592854,InSAR
7/26/2021,18.94397316,InSAR
8/1/2021,18.96234586,InSAR
8/7/2021,18.98137473,InSAR
8/13/2021,18.99515426,InSAR
8/20/2021,19.00729337,InSAR
8/26/2021,19.01615164,InSAR
9/1/2021,19.02796266,InSAR
9/7/2021,19.03649284,InSAR
9/13/2021,19.0414141,InSAR
9/19/2021,19.04863195,InSAR
9/25/2021,19.05847447,InSAR
10/1/2021,19.06372382,InSAR
10/7/2021,19.06798891,InSAR
10/13/2021,19.07356634,InSAR
10/20/2021,19.0804561,InSAR
10/26/2021,19.08111227,InSAR
11/1/2021,19.09226712,InSAR
11/7/2021,19.09325138,InSAR
11/13/2021,19.0948918,InSAR
11/19/2021,19.09587605,InSAR
11/25/2021,19.09456371,InSAR
12/1/2021,19.08537736,InSAR
12/7/2021,19.08406502,InSAR
12/13/2021,19.07553484,InSAR
12/20/2021,19.06831699,InSAR
12/26/2021,19.06569232,InSAR
1/1/2022,19.06962933,InSAR
1/7/2022,19.07192592,InSAR
1/13/2022,19.07389442,InSAR
1/20/2022,19.07520676,InSAR
1/26/2022,19.07586292,InSAR
2/1/2022,19.07323825,InSAR
2/7/2022,19.06930124,InSAR
2/12/2022,19.06733274,InSAR
2/18/2022,19.06831699,InSAR
2/23/2022,19.06798891,InSAR
3/1/2022,19.07061358,InSAR
3/7/2022,19.07291017,InSAR
3/13/2022,19.07487867,InSAR
3/20/2022,19.07520676,InSAR
3/26/2022,19.0784876,InSAR
4/1/2022,19.08176844,InSAR
4/7/2022,19.0988288,InSAR
4/13/2022,19.11293642,InSAR
4/19/2022,19.1296687,InSAR
4/25/2022,19.1441044,InSAR
5/1/2022,19.16182093,InSAR
5/7/2022,19.17625663,InSAR
5/13/2022,19.19134849,InSAR
5/20/2022,19.20873694,InSAR
5/26/2022,19.22842198,InSAR
6/1/2022,19.24777894,InSAR
6/7/2022,19.26680781,InSAR
6/13/2022,19.28682094,InSAR
6/19/2022,19.3101149,InSAR
6/25/2022,19.33209653,InSAR
7/1/2022,19.35571858,InSAR
7/7/2022,19.3777002,InSAR
7/13/2022,19.39607291,InSAR
7/20/2022,19.41608603,InSAR
7/26/2022,19.43084981,InSAR
8/1/2022,19.44659784,InSAR
8/7/2022,19.46333013,InSAR
8/13/2022,19.47809391,InSAR
8/20/2022,19.48826451,InSAR
8/26/2022,19.49285769,InSAR
9/1/2022,19.49515428,InSAR
9/7/2022,19.50105979,InSAR
9/13/2022,19.50827764,InSAR
9/19/2022,19.51680782,InSAR
9/25/2022,19.52665034,InSAR
10/1/2022,19.53550861,InSAR
10/7/2022,19.54502304,InSAR
10/13/2022,19.5460073,InSAR
10/20/2022,19.5479758,InSAR
10/26/2022,19.55486556,InSAR
11/1/2022,19.56438,InSAR
11/7/2022,19.56667659,InSAR
11/13/2022,19.56930126,InSAR
11/19/2022,19.56831701,InSAR
11/25/2022,19.57028551,InSAR
12/1/2022,19.56438,InSAR
12/7/2022,19.55453748,InSAR
12/13/2022,19.54863197,InSAR
12/20/2022,19.54502304,InSAR
12/26/2022,19.54305454,InSAR
1/1/2023,19.54207029,InSAR
1/7/2023,19.54272646,InSAR
1/13/2023,19.5417422,InSAR
1/20/2023,19.54666346,InSAR
1/26/2023,19.54830388,InSAR
2/1/2023,19.54699155,InSAR
2/7/2023,19.54731963,InSAR
2/12/2023,19.54403879,InSAR
2/18/2023,19.54010178,InSAR
2/23/2023,19.54207029,InSAR
3/1/2023,19.5417422,InSAR
3/7/2023,19.54535113,InSAR
3/13/2023,19.5479758,InSAR
3/20/2023,19.55224089,InSAR
3/26/2023,19.55355323,InSAR
4/1/2023,19.5542094,InSAR
4/7/2023,19.55749024,InSAR
4/13/2023,19.55978682,InSAR
4/19/2023,19.56011491,InSAR
4/25/2023,19.56372383,InSAR
5/1/2023,19.56733276,InSAR
5/7/2023,19.57717528,InSAR
5/13/2023,19.58472121,InSAR
5/20/2023,19.59751648,InSAR
5/26/2023,19.607359,InSAR
6/1/2023,19.61063984,InSAR
6/7/2023,19.61457685,InSAR
6/13/2023,19.62868446,InSAR
6/19/2023,19.64082357,InSAR
6/25/2023,19.64476058,InSAR
7/1/2023,19.65099418,InSAR
7/7/2023,19.66018053,InSAR
7/13/2023,19.66805454,InSAR
7/20/2023,19.67461622,InSAR
7/26/2023,19.6811779,InSAR
8/1/2023,19.68577108,InSAR
8/7/2023,19.68970809,InSAR
8/13/2023,19.69233276,InSAR
8/20/2023,19.69528552,InSAR
8/26/2023,19.69626977,InSAR
9/1/2023,19.70119103,InSAR
9/7/2023,19.70709654,InSAR
9/13/2023,19.7139863,InSAR
9/19/2023,19.72153224,InSAR
9/25/2023,19.72809392,InSAR
10/1/2023,19.728422,InSAR
10/7/2023,19.73334326,InSAR
10/13/2023,19.73596793,InSAR
10/20/2023,19.74088919,InSAR
10/26/2023,19.74154536,InSAR
11/1/2023,19.74220153,InSAR
11/7/2023,19.73826452,InSAR
11/13/2023,19.73334326,InSAR
11/19/2023,19.72153224,InSAR
11/25/2023,19.71464247,InSAR
11/28/2023,19.7432356,Leveling
12/1/2023,19.70939313,InSAR
12/7/2023,19.70414378,InSAR
12/13/2023,19.69856636,InSAR
12/20/2023,19.69692594,InSAR
12/26/2023,19.6975821,InSAR
1/1/2024,19.69594168,InSAR
1/7/2024,19.69528552,InSAR
1/13/2024,19.69266084,InSAR
1/20/2024,19.69069234,InSAR
1/26/2024,19.69528552,InSAR
2/1/2024,19.70283145,InSAR
2/7/2024,19.70283145,InSAR
2/13/2024,19.70283145,InSAR
2/18/2024,19.70283145,InSAR
2/24/2024,19.7057842,InSAR
3/1/2024,19.70742462,InSAR
3/7/2024,19.70742462,InSAR
3/13/2024,19.70775271,InSAR
3/20/2024,19.70840888,InSAR
3/26/2024,19.71529864,InSAR
4/1/2024,19.72087607,InSAR
4/7/2024,19.72350074,InSAR
4/13/2024,19.72546924,InSAR
4/19/2024,19.72875008,InSAR
4/25/2024,19.73104667,InSAR
5/1/2024,19.73924877,InSAR
5/7/2024,19.74646662,InSAR
5/13/2024,19.75565297,InSAR
5/20/2024,19.76779208,InSAR
5/26/2024,19.77599418,InSAR
6/1/2024,19.7858367,InSAR
6/7/2024,19.79764772,InSAR
6/13/2024,19.81011492,InSAR
6/19/2024,19.81831702,InSAR
6/25/2024,19.82717528,InSAR
7/1/2024,19.83800206,InSAR
