datetime,Mean CH - layer 3 (Lower Aquifer)
3/1/1935,169.7345778
4/1/1935,169.587909
5/1/1935,169.6915798
6/1/1935,169.7026763
7/1/1935,169.6190339
8/1/1935,169.4125101
9/1/1935,169.3103696
10/1/1935,169.2152562
11/1/1935,168.9662285
12/1/1935,168.7319001
1/1/1936,168.4917343
2/1/1936,168.3378432
3/1/1936,168.1413208
4/1/1936,167.926347
5/1/1936,167.803879
6/1/1936,167.6266113
7/1/1936,167.505614
8/1/1936,167.4239752
9/1/1936,167.3284492
10/1/1936,167.2288835
11/1/1936,167.1393893
12/1/1936,167.0700923
1/1/1937,166.9282311
2/1/1937,166.8384969
3/1/1937,166.7264073
4/1/1937,166.4388741
5/1/1937,166.1958781
6/1/1937,166.0007863
7/1/1937,165.9089056
8/1/1937,165.7705298
9/1/1937,165.6799455
10/1/1937,165.576969
11/1/1937,165.470092
12/1/1937,165.3474464
1/1/1938,165.1687603
2/1/1938,165.0445449
3/1/1938,164.9457918
4/1/1938,164.828021
5/1/1938,164.775732
6/1/1938,164.7633955
7/1/1938,164.7200123
8/1/1938,164.6974443
9/1/1938,164.6695122
10/1/1938,164.6414818
11/1/1938,164.646229
12/1/1938,164.621621
1/1/1939,164.583221
2/1/1939,164.4620545
3/1/1939,164.405988
4/1/1939,164.2959757
5/1/1939,164.2301861
6/1/1939,164.2057171
7/1/1939,164.1507502
8/1/1939,164.0422697
9/1/1939,163.9875789
10/1/1939,163.9797876
11/1/1939,163.9645772
12/1/1939,163.8895639
1/1/1940,163.8359819
2/1/1940,163.7788186
3/1/1940,163.7936168
4/1/1940,163.7076798
5/1/1940,163.6278246
6/1/1940,163.6148665
7/1/1940,163.5926174
8/1/1940,163.5751642
9/1/1940,163.4815513
10/1/1940,163.4287976
11/1/1940,163.3369403
12/1/1940,163.2669041
1/1/1941,163.0714977
2/1/1941,162.9269625
3/1/1941,162.7156773
4/1/1941,162.5798702
5/1/1941,162.5179255
6/1/1941,162.4072328
7/1/1941,162.3032439
8/1/1941,162.2856049
9/1/1941,162.2428357
10/1/1941,162.1251718
11/1/1941,162.0492013
12/1/1941,161.955914
1/1/1942,161.9235196
2/1/1942,161.8161956
3/1/1942,161.8055875
4/1/1942,161.7368634
5/1/1942,161.6792022
6/1/1942,161.5470101
7/1/1942,161.4672537
8/1/1942,161.311522
9/1/1942,161.2549729
10/1/1942,161.2140818
11/1/1942,161.1934271
12/1/1942,161.1852296
1/1/1943,161.1536796
2/1/1943,161.1078174
3/1/1943,161.0517091
4/1/1943,160.988905
5/1/1943,160.9576542
6/1/1943,160.9574069
7/1/1943,160.9544624
8/1/1943,160.8590453
9/1/1943,160.8923411
10/1/1943,160.865829
11/1/1943,160.8270326
12/1/1943,160.7394932
1/1/1944,160.7051751
2/1/1944,160.6473495
3/1/1944,160.6585981
4/1/1944,160.6649792
5/1/1944,160.6203074
6/1/1944,160.565127
7/1/1944,160.520956
8/1/1944,160.4175319
9/1/1944,160.3177336
10/1/1944,160.2250475
11/1/1944,160.1244807
12/1/1944,160.0676584
1/1/1945,160.0315089
2/1/1945,159.9910004
3/1/1945,159.9739755
4/1/1945,159.9294676
5/1/1945,159.8647149
6/1/1945,159.8153126
7/1/1945,159.7718646
8/1/1945,159.6685883
9/1/1945,159.4768896
10/1/1945,159.4374428
11/1/1945,159.3521972
12/1/1945,159.3185845
1/1/1946,159.2663825
2/1/1946,159.2157566
3/1/1946,159.1914596
4/1/1946,159.2001447
5/1/1946,159.1491977
6/1/1946,159.0834314
7/1/1946,159.0364842
8/1/1946,158.9496313
9/1/1946,158.8409946
10/1/1946,158.86929
11/1/1946,158.8433564
12/1/1946,158.8042965
1/1/1947,158.7356324
2/1/1947,158.6788526
3/1/1947,158.6157459
4/1/1947,158.5727073
5/1/1947,158.5558638
6/1/1947,158.5198128
7/1/1947,158.4632158
8/1/1947,158.4462254
9/1/1947,158.4368008
10/1/1947,158.4014033
11/1/1947,158.3408117
12/1/1947,158.3801086
1/1/1948,158.2625823
2/1/1948,158.2714691
3/1/1948,158.2215697
4/1/1948,158.2539249
5/1/1948,158.2898918
6/1/1948,158.1952264
7/1/1948,158.1392046
8/1/1948,158.1106923
9/1/1948,158.0796154
10/1/1948,158.0414445
11/1/1948,158.0184683
12/1/1948,157.9937088
1/1/1949,157.9867409
2/1/1949,157.9594017
3/1/1949,157.8833152
4/1/1949,157.8601771
5/1/1949,157.8237531
6/1/1949,157.7744108
7/1/1949,157.7459261
8/1/1949,157.6995224
9/1/1949,157.5982192
10/1/1949,157.5481672
11/1/1949,157.4892266
12/1/1949,157.431072
1/1/1950,157.4140312
2/1/1950,157.4017238
3/1/1950,157.3766213
4/1/1950,157.3149941
5/1/1950,157.3114373
6/1/1950,157.2902963
7/1/1950,157.2501123
8/1/1950,157.1971685
9/1/1950,157.1734158
10/1/1950,157.1479687
11/1/1950,157.1231391
12/1/1950,157.0952006
1/1/1951,157.0264146
2/1/1951,156.7977992
3/1/1951,155.7573653
4/1/1951,154.1331934
5/1/1951,152.1190705
6/1/1951,149.6309849
7/1/1951,146.9756192
8/1/1951,144.8520907
9/1/1951,143.8244144
10/1/1951,143.2707818
11/1/1951,142.910583
12/1/1951,142.7012775
1/1/1952,142.4757029
