Aquifer,Top,Bot,Thick_ft,Description
upper aquifer,0,50,50,sand
upper aquifer,50,300,250,clay
upper aquifer,300,330,30,sand
upper aquifer,345,420,75,clay
upper aquifer,420,427,7,sand
corcoran,427,510,83,clay
lower aquifer,525,532,7,sand
lower aquifer,532,540,8,clay
lower aquifer,540,660,120,sand
lower aquifer,660,690,30,clay
lower aquifer,690,705,15,sand
lower aquifer,705,720,15,clay
lower aquifer,720,735,15,sand
lower aquifer,735,840,105,clay
lower aquifer,840,855,15,sand
lower aquifer,855,990,135,clay
lower aquifer,990,1010,20,sand
lower aquifer,1010,1030,20,clay
lower aquifer,1030,1080,50,sand
lower aquifer,1080,1330,250,clay
lower aquifer,1330,1360,30,sand
lower aquifer,1360,1435,75,clay
lower aquifer,1435,1442,7,sand
lower aquifer,1442,1525,83,clay
lower aquifer,1525,1532,7,sand
lower aquifer,1532,1540,8,clay
lower aquifer,1540,1660,120,sand
lower aquifer,1660,1690,30,clay
lower aquifer,1690,1705,15,sand
lower aquifer,1705,1720,15,clay
lower aquifer,1720,1735,15,sand
lower aquifer,1735,1840,105,clay
lower aquifer,1840,1855,15,sand
lower aquifer,1855,1990,135,clay
lower aquifer,1990,2010,20,sand
lower aquifer,2010,2030,20,clay
