Date,Subsidence_ft,Source
2/7/1935,0,Leveling
5/1/1948,0.036,Leveling
3/1/1954,0.423,Leveling
3/10/1957,0.61,Leveling
1/30/1959,0.702,Leveling
9/1/1962,1.118,Leveling
4/1/1966,2.372,Leveling
2/1/1970,2.68145,Leveling
1/1/1996,3.161863353,Leveling
1/1/2006,3.778774236,InSAR
2/1/2006,3.780086572,InSAR
3/1/2006,3.775165312,InSAR
4/1/2006,3.768275548,InSAR
5/1/2006,3.767291296,InSAR
12/1/2006,3.778118068,InSAR
9/1/2007,3.824377912,InSAR
10/1/2007,3.832251928,InSAR
11/1/2007,3.840125944,InSAR
12/1/2007,3.8430787,InSAR
1/1/2008,3.847343792,InSAR
2/1/2008,3.856530144,InSAR
3/1/2008,3.865060328,InSAR
4/1/2008,3.864732244,InSAR
5/1/2008,3.872934344,InSAR
6/1/2008,3.873262428,InSAR
7/1/2008,3.87916794,InSAR
7/1/2009,3.942816236,InSAR
8/1/2009,3.946753244,InSAR
9/1/2009,3.951018336,InSAR
10/1/2009,3.95298684,InSAR
11/1/2009,3.954955344,InSAR
12/1/2009,3.961845108,InSAR
1/1/2010,3.973328048,InSAR
2/1/2010,3.981530148,InSAR
3/1/2010,3.982186316,InSAR
4/1/2010,3.988091828,InSAR
5/1/2010,3.98087398,InSAR
6/1/2010,3.97267188,InSAR
7/1/2010,3.970047208,InSAR
8/1/2010,3.97103146,InSAR
2/12/2015,4.180448912,InSAR
2/18/2015,4.176511904,InSAR
2/23/2015,4.173559148,InSAR
3/1/2015,4.16962214,InSAR
3/7/2015,4.166013216,InSAR
3/13/2015,4.1663413,InSAR
3/20/2015,4.167653636,InSAR
3/26/2015,4.168965972,InSAR
4/1/2015,4.169950224,InSAR
4/7/2015,4.173231064,InSAR
4/13/2015,4.176511904,InSAR
4/19/2015,4.179792744,InSAR
4/25/2015,4.1827455,InSAR
5/1/2015,4.189963348,InSAR
5/7/2015,4.197181196,InSAR
5/13/2015,4.204399044,InSAR
5/20/2015,4.211288808,InSAR
5/26/2015,4.211616892,InSAR
6/1/2015,4.211616892,InSAR
6/7/2015,4.211616892,InSAR
6/13/2015,4.211616892,InSAR
6/19/2015,4.211288808,InSAR
6/25/2015,4.208664136,InSAR
7/1/2015,4.206367548,InSAR
7/7/2015,4.204399044,InSAR
7/13/2015,4.205055212,InSAR
7/20/2015,4.206695632,InSAR
7/26/2015,4.2073518,InSAR
8/1/2015,4.209648388,InSAR
8/7/2015,4.210960724,InSAR
8/13/2015,4.213257312,InSAR
8/20/2015,4.211616892,InSAR
8/26/2015,4.214897732,InSAR
9/1/2015,4.224412168,InSAR
9/7/2015,4.231630016,InSAR
9/13/2015,4.237535528,InSAR
9/19/2015,4.241472536,InSAR
9/25/2015,4.245737628,InSAR
10/1/2015,4.24672188,InSAR
10/7/2015,4.247706132,InSAR
10/13/2015,4.25000272,InSAR
10/20/2015,4.25164314,InSAR
10/26/2015,4.256236316,InSAR
11/1/2015,4.25984524,InSAR
11/7/2015,4.262141828,InSAR
11/13/2015,4.264110332,InSAR
11/19/2015,4.269359676,InSAR
11/25/2015,4.27460902,InSAR
12/1/2015,4.278546028,InSAR
12/7/2015,4.283795372,InSAR
12/13/2015,4.284123456,InSAR
12/20/2015,4.285107708,InSAR
12/26/2015,4.286420044,InSAR
1/1/2016,4.293965976,InSAR
1/7/2016,4.300199572,InSAR
1/13/2016,4.30905784,InSAR
1/20/2016,4.310042092,InSAR
1/26/2016,4.3139791,InSAR
2/1/2016,4.319884612,InSAR
2/7/2016,4.324149704,InSAR
2/13/2016,4.319228444,InSAR
2/18/2016,4.315947604,InSAR
2/24/2016,4.316603772,InSAR
3/1/2016,4.313322932,InSAR
3/7/2016,4.310042092,InSAR
3/13/2016,4.310042092,InSAR
3/20/2016,4.311026344,InSAR
3/26/2016,4.314635268,InSAR
4/1/2016,4.315291436,InSAR
4/7/2016,4.314963352,InSAR
4/13/2016,4.3139791,InSAR
4/19/2016,4.314635268,InSAR
4/25/2016,4.318572276,InSAR
5/1/2016,4.322837368,InSAR
5/7/2016,4.324477788,InSAR
5/13/2016,4.326774376,InSAR
5/20/2016,4.33202372,InSAR
5/26/2016,4.336616896,InSAR
6/1/2016,4.337273064,InSAR
6/7/2016,4.339241568,InSAR
6/13/2016,4.339569652,InSAR
6/19/2016,4.3385854,InSAR
6/25/2016,4.33694498,InSAR
7/1/2016,4.337929232,InSAR
7/7/2016,4.341210072,InSAR
7/13/2016,4.343834744,InSAR
7/20/2016,4.34514708,InSAR
7/26/2016,4.347443668,InSAR
8/1/2016,4.350396424,InSAR
8/7/2016,4.353677264,InSAR
8/13/2016,4.354333432,InSAR
8/20/2016,4.35991086,InSAR
8/26/2016,4.359254692,InSAR
9/1/2016,4.362863616,InSAR
9/7/2016,4.364504036,InSAR
9/13/2016,4.364504036,InSAR
9/19/2016,4.362207448,InSAR
9/25/2016,4.360895112,InSAR
10/1/2016,4.356301936,InSAR
10/7/2016,4.356301936,InSAR
10/13/2016,4.365816372,InSAR
10/20/2016,4.36811296,InSAR
10/26/2016,4.368441044,InSAR
11/1/2016,4.375658892,InSAR
11/7/2016,4.386485664,InSAR
11/13/2016,4.389110336,InSAR
11/19/2016,4.387469916,InSAR
11/25/2016,4.387469916,InSAR
12/1/2016,4.388782252,InSAR
12/7/2016,4.390422672,InSAR
12/13/2016,4.39271926,InSAR
12/20/2016,4.394031596,InSAR
12/26/2016,4.393047344,InSAR
1/1/2017,4.398952856,InSAR
1/7/2017,4.405186452,InSAR
1/13/2017,4.402889864,InSAR
1/20/2017,4.413060468,InSAR
1/26/2017,4.4124043,InSAR
2/1/2017,4.43044892,InSAR
2/7/2017,4.429464668,InSAR
2/12/2017,4.432417424,InSAR
2/18/2017,4.430120836,InSAR
2/23/2017,4.430777004,InSAR
3/1/2017,4.433073592,InSAR
3/7/2017,4.424543408,InSAR
3/13/2017,4.4206064,InSAR
3/20/2017,4.416997476,InSAR
3/26/2017,4.419294064,InSAR
4/1/2017,4.421262568,InSAR
4/7/2017,4.419950232,InSAR
4/13/2017,4.4206064,InSAR
4/19/2017,4.420934484,InSAR
4/25/2017,4.424215324,InSAR
5/1/2017,4.430120836,InSAR
5/7/2017,4.430777004,InSAR
5/13/2017,4.428152332,InSAR
5/20/2017,4.424215324,InSAR
5/26/2017,4.4206064,InSAR
6/1/2017,4.409779628,InSAR
6/7/2017,4.399937108,InSAR
6/13/2017,4.398952856,InSAR
6/19/2017,4.401249444,InSAR
6/25/2017,4.404858368,InSAR
7/1/2017,4.409451544,InSAR
7/7/2017,4.412732384,InSAR
7/13/2017,4.414700888,InSAR
7/20/2017,4.41568514,InSAR
7/26/2017,4.41404472,InSAR
8/1/2017,4.414372804,InSAR
8/7/2017,4.419622148,InSAR
8/13/2017,4.42388724,InSAR
8/20/2017,4.427824248,InSAR
8/26/2017,4.431105088,InSAR
9/1/2017,4.431105088,InSAR
9/7/2017,4.42716808,InSAR
9/13/2017,4.42224682,InSAR
