datetime,Mean CH - layer 3 (Lower Aquifer)
4/1/1933,153.4303661
5/1/1933,151.7210514
6/1/1933,150.6812336
7/1/1933,149.9595102
8/1/1933,149.2153736
9/1/1933,148.5939174
10/1/1933,148.1152314
11/1/1933,147.5005363
12/1/1933,147.1252731
1/1/1934,146.7964716
2/1/1934,146.4969
3/1/1934,146.2305717
4/1/1934,146.056393
5/1/1934,145.8544785
6/1/1934,145.3984713
7/1/1934,144.6162612
8/1/1934,144.1055314
9/1/1934,143.6463008
10/1/1934,143.3126095
11/1/1934,142.8379992
12/1/1934,142.3171206
1/1/1935,141.7796935
2/1/1935,141.3795917
3/1/1935,141.0302584
4/1/1935,140.5369243
5/1/1935,140.0842052
6/1/1935,139.6168947
7/1/1935,139.154254
8/1/1935,138.7943479
9/1/1935,138.4475348
10/1/1935,137.9701691
11/1/1935,137.5519584
12/1/1935,137.2701573
1/1/1936,137.0617485
2/1/1936,136.7411221
3/1/1936,136.4914525
4/1/1936,136.2171709
5/1/1936,135.9754955
6/1/1936,135.7933625
7/1/1936,135.5178303
8/1/1936,135.2112399
9/1/1936,134.9017346
10/1/1936,134.7291397
11/1/1936,134.4996578
12/1/1936,134.2179162
1/1/1937,133.9538574
2/1/1937,133.6931878
3/1/1937,133.4914278
4/1/1937,133.3052871
5/1/1937,133.1685521
6/1/1937,132.9784108
7/1/1937,132.7944869
8/1/1937,132.4618781
9/1/1937,132.1513201
10/1/1937,132.0037216
11/1/1937,131.7701192
12/1/1937,131.5601505
1/1/1938,131.3792492
2/1/1938,131.2731839
3/1/1938,131.1578979
4/1/1938,130.9036514
5/1/1938,130.6812068
6/1/1938,130.464187
7/1/1938,130.3268002
8/1/1938,130.2156787
9/1/1938,130.1134753
10/1/1938,129.9998339
11/1/1938,129.9313366
12/1/1938,129.8759721
1/1/1939,129.8098036
2/1/1939,129.7455938
3/1/1939,129.70019
4/1/1939,129.6477213
5/1/1939,129.5468178
6/1/1939,129.4352311
7/1/1939,129.3583757
8/1/1939,129.3107412
9/1/1939,129.1897582
10/1/1939,129.1109435
11/1/1939,129.0129236
12/1/1939,128.942218
1/1/1940,128.8862617
2/1/1940,128.8316554
3/1/1940,128.7687361
4/1/1940,128.5817977
5/1/1940,128.427518
6/1/1940,128.1082867
7/1/1940,127.9552614
