Date,BLS,Alt,Aquifer
8/1/1950,,171.67,Upper
10/1/1950,,118.96,Upper
5/8/1958,,129.86,Upper
5/10/1960,,11.96,Upper
10/13/1960,,63.06,Upper
5/1/1961,,-4.23,Upper
5/2/1961,,-0.14,Upper
3/22/1962,,27.56,Upper
12/16/1963,,37.06,Upper
12/22/1964,,14.86,Upper
12/16/1965,,14.86,Upper
12/28/1966,,-5.14,Upper
12/20/1967,,30.86,Upper
12/21/1968,,7.86,Upper
12/10/1969,,-26,Upper
12/17/1970,,-3,Upper
1/7/1972,,2,Upper
2/23/1973,,35,Upper
2/8/1974,,36,Upper
12/16/1974,,62,Upper
12/15/1975,,50,Upper
12/14/1976,,40,Upper
12/15/1977,,-35,Upper
1/3/1979,,49,Upper
12/20/1979,,63,Upper
12/5/1980,,95,Upper
12/7/1981,,85,Upper
2/2/1982,,84,Upper
10/12/1982,,107,Upper
10/17/1983,,114,Upper
2/17/1984,,136,Upper
2/11/1986,,138,Upper
10/8/1986,,144,Upper
2/25/1987,,141,Upper
2/17/1988,,132,Upper
10/13/1988,,138,Upper
10/18/1990,,11,Upper
1/18/1991,,-1,Upper
10/24/1991,,-20,Upper
10/28/1992,,49,Upper
10/21/1993,,24,Upper
10/24/1996,,78,Upper
10/23/1998,,99,Upper
10/20/1999,,80,Upper
10/26/2001,,5,Upper
2/26/2003,,8,Upper
3/9/2004,,8,Upper
3/14/2005,,31,Upper
3/2/2007,,53,Upper
2/19/2008,,-20,Upper
10/24/2008,,-72,Upper
2/25/2009,,-22,Upper
10/11/2010,,-10,Upper
2/7/2011,,33,Upper
10/14/2011,,54,Upper
1/24/2012,,38.86,Upper
10/25/2012,,-12.84,Upper
12/4/2012,,-4.2,Upper
2/20/2013,,-18.14,Upper
11/18/2013,,-65.14,Upper
2/25/2014,,-46.94,Upper
10/28/2014,,-73.14,Upper
11/18/2014,,-60.2,Upper
4/1/2015,,-69.14,Upper
11/18/2015,,-65.2,Upper
3/22/2016,,-31.14,Upper
10/9/2017,,-10.6,Upper
10/8/2018,,-75.2,Upper
10/23/2019,,5.8,Upper
11/25/2019,,29.89,Upper
10/19/2021,,-85.2,Upper
3/23/2022,,-42.9,Upper
10/11/2022,,-136.3,Upper
4/19/2023,,-42.6,Upper
3/14/2024,,-141.14,Upper
10/15/1945,,130.61,Lower
11/14/1945,,129.11,Lower
4/15/1946,,136.31,Lower
10/9/1946,,121.91,Lower
3/5/1947,,114.91,Lower
10/14/1947,,89.11,Lower
12/23/1947,,79.71,Lower
3/5/1948,,66.91,Lower
3/1/1949,,23.71,Lower
7/5/1950,,6.81,Lower
10/3/1950,,-25.29,Lower
11/1/1950,,-31.99,Lower
