Date,Subsidence_ft,Source
3/15/1933,0,Leveling
3/1/1947,0.236,Leveling
3/1/1954,2.467,Leveling
11/1/1955,3.133,Leveling
5/12/1957,3.349,Leveling
1/1/1958,3.631,Leveling
1/1/1959,3.714,Leveling
2/1/1960,4.009,Leveling
3/20/1962,4.954,Leveling
4/1/1963,5.259,Leveling
2/7/1966,6.033,Leveling
3/1/1969,6.285332064,Leveling
3/1/1972,6.768370137,Leveling
1/1/2004,8.457444994,Leveling
1/1/2006,8.670243146,InSAR
2/1/2006,8.64760535,InSAR
3/1/2006,8.632185402,InSAR
4/1/2006,8.611188026,InSAR
5/1/2006,8.57870771,InSAR
12/1/2006,8.613812698,InSAR
9/1/2007,8.86250037,InSAR
10/1/2007,8.882841578,InSAR
11/1/2007,8.90351087,InSAR
12/1/2007,8.933366514,InSAR
1/1/2008,8.95928515,InSAR
2/1/2008,8.984875702,InSAR
3/1/2008,9.016371766,InSAR
4/1/2008,9.041962318,InSAR
5/1/2008,9.080020062,InSAR
6/1/2008,9.117093554,InSAR
7/1/2008,9.157119802,InSAR
8/1/2008,9.19222479,InSAR
9/1/2008,9.230282534,InSAR
6/1/2009,9.442880966,InSAR
7/1/2009,9.469783854,InSAR
8/1/2009,9.491109314,InSAR
9/1/2009,9.502920338,InSAR
10/1/2009,9.51210669,InSAR
11/1/2009,9.521293042,InSAR
12/1/2009,9.52851089,InSAR
1/1/2010,9.527854722,InSAR
2/1/2010,9.519324538,InSAR
3/1/2010,9.516043698,InSAR
4/1/2010,9.529167058,InSAR
5/1/2010,9.527198554,InSAR
6/1/2010,9.524245798,InSAR
7/1/2010,9.517684118,InSAR
8/1/2010,9.50882585,InSAR
2/12/2015,9.149082882,InSAR
2/18/2015,9.166799418,InSAR
2/23/2015,9.181563198,InSAR
3/1/2015,9.199279734,InSAR
3/7/2015,9.217324354,InSAR
3/13/2015,9.22683879,InSAR
3/20/2015,9.236353226,InSAR
3/26/2015,9.244555326,InSAR
4/1/2015,9.252757426,InSAR
4/7/2015,9.270473962,InSAR
4/13/2015,9.287862414,InSAR
4/19/2015,9.30557895,InSAR
4/25/2015,9.322967402,InSAR
5/1/2015,9.336418846,InSAR
5/7/2015,9.34987029,InSAR
5/13/2015,9.363649818,InSAR
5/20/2015,9.379069766,InSAR
5/26/2015,9.392193126,InSAR
6/1/2015,9.404988402,InSAR
6/7/2015,9.418111762,InSAR
6/13/2015,9.429922786,InSAR
6/19/2015,9.42204877,InSAR
6/25/2015,9.41548709,InSAR
7/1/2015,9.428938534,InSAR
7/7/2015,9.443702314,InSAR
7/13/2015,9.467652446,InSAR
7/20/2015,9.49422725,InSAR
7/26/2015,9.512599954,InSAR
8/1/2015,9.528347986,InSAR
8/7/2015,9.535565834,InSAR
8/13/2015,9.54343985,InSAR
8/20/2015,9.54836111,InSAR
8/26/2015,9.554266622,InSAR
9/1/2015,9.56312489,InSAR
9/7/2015,9.568702318,InSAR
9/13/2015,9.571655074,InSAR
9/19/2015,9.575920166,InSAR
9/25/2015,9.584122266,InSAR
10/1/2015,9.590027778,InSAR
10/7/2015,9.597901794,InSAR
10/13/2015,9.599542214,InSAR
10/20/2015,9.592980534,InSAR
10/26/2015,9.590355862,InSAR
11/1/2015,9.586746938,InSAR
11/7/2015,9.587075022,InSAR
11/13/2015,9.590683946,InSAR
11/19/2015,9.59429287,InSAR
11/25/2015,9.596917542,InSAR
12/1/2015,9.60085455,InSAR
12/7/2015,9.606760062,InSAR
12/13/2015,9.603151138,InSAR
12/20/2015,9.595605206,InSAR
12/26/2015,9.59593329,InSAR
1/1/2016,9.60413539,InSAR
1/7/2016,9.610040902,InSAR
1/13/2016,9.619555338,InSAR
1/20/2016,9.617914918,InSAR
1/26/2016,9.61889917,InSAR
2/1/2016,9.626445102,InSAR
2/7/2016,9.632350614,InSAR
2/13/2016,9.628085522,InSAR
2/18/2016,9.625132766,InSAR
2/24/2016,9.638912294,InSAR
3/1/2016,9.651379486,InSAR
3/7/2016,9.657284998,InSAR
3/13/2016,9.664174762,InSAR
3/20/2016,9.668767938,InSAR
3/26/2016,9.674345366,InSAR
4/1/2016,9.685500222,InSAR
4/7/2016,9.696326994,InSAR
4/13/2016,9.70256059,InSAR
4/19/2016,9.709778438,InSAR
4/25/2016,9.719292874,InSAR
5/1/2016,9.728479226,InSAR
5/7/2016,9.736353242,InSAR
5/13/2016,9.744555342,InSAR
5/20/2016,9.776707574,InSAR
5/26/2016,9.802298126,InSAR
6/1/2016,9.813452982,InSAR
6/7/2016,9.826904426,InSAR
6/13/2016,9.841668206,InSAR
6/19/2016,9.85511965,InSAR
6/25/2016,9.86824301,InSAR
7/1/2016,9.88300679,InSAR
7/7/2016,9.89777057,InSAR
7/13/2016,9.911550098,InSAR
7/20/2016,9.925985794,InSAR
7/26/2016,9.938124902,InSAR
8/1/2016,9.94862359,InSAR
8/7/2016,9.961418866,InSAR
8/13/2016,9.97487031,InSAR
8/20/2016,9.99455535,InSAR
8/26/2016,10.00439787,InSAR
9/1/2016,10.01916165,InSAR
9/7/2016,10.03261309,InSAR
9/13/2016,10.04245561,InSAR
9/19/2016,10.04737687,InSAR
9/25/2016,10.05721939,InSAR
10/1/2016,10.06739,InSAR
10/7/2016,10.07460785,InSAR
10/13/2016,10.08280995,InSAR
10/20/2016,10.09462097,InSAR
10/26/2016,10.11004092,InSAR
11/1/2016,10.11266559,InSAR
11/7/2016,10.10905667,InSAR
11/13/2016,10.10741625,InSAR
11/19/2016,10.10708816,InSAR
11/25/2016,10.10643199,InSAR
12/1/2016,10.10676008,InSAR
12/7/2016,10.10511966,InSAR
12/13/2016,10.10315115,InSAR
12/20/2016,10.09363672,InSAR
12/26/2016,10.08182569,InSAR
1/1/2017,10.08149761,InSAR
1/7/2017,10.08018527,InSAR
1/13/2017,10.06837425,InSAR
1/20/2017,10.07099892,InSAR
1/26/2017,10.05754748,InSAR
2/1/2017,10.08313803,InSAR
2/7/2017,10.07395168,InSAR
2/12/2017,10.07001467,InSAR
2/18/2017,10.05590706,InSAR
2/23/2017,10.05820365,InSAR
3/1/2017,10.06509341,InSAR
3/7/2017,10.04311178,InSAR
3/13/2017,10.02375483,InSAR
3/20/2017,10.03556585,InSAR
3/26/2017,10.05361047,InSAR
4/1/2017,10.04245561,InSAR
4/7/2017,10.02473908,InSAR
4/13/2017,10.01850548,InSAR
4/19/2017,10.01555273,InSAR
4/25/2017,10.00931913,InSAR
5/1/2017,9.996523854,InSAR
5/7/2017,9.985368998,InSAR
5/13/2017,9.979463486,InSAR
5/20/2017,9.968964798,InSAR
5/26/2017,9.957809942,InSAR
6/1/2017,9.944030414,InSAR
6/7/2017,9.936484482,InSAR
6/13/2017,9.933531726,InSAR
6/19/2017,9.929922802,InSAR
6/25/2017,9.927626214,InSAR
7/1/2017,9.927626214,InSAR
7/7/2017,9.929922802,InSAR
7/13/2017,9.930907054,InSAR
7/20/2017,9.929922802,InSAR
7/26/2017,9.931563222,InSAR
8/1/2017,9.933531726,InSAR
8/7/2017,9.931891306,InSAR
8/13/2017,9.927626214,InSAR
8/20/2017,9.925985794,InSAR
8/26/2017,9.923689206,InSAR
9/1/2017,9.918439862,InSAR
9/7/2017,9.91253435,InSAR
9/13/2017,9.90761309,InSAR
9/19/2017,9.901379494,InSAR
9/25/2017,9.892193142,InSAR
10/1/2017,9.88792805,InSAR
10/7/2017,9.894817814,InSAR
10/13/2017,9.89777057,InSAR
10/20/2017,9.898426738,InSAR
10/26/2017,9.899739074,InSAR
11/1/2017,9.902035662,InSAR
11/7/2017,9.901707578,InSAR
11/13/2017,9.90269183,InSAR
11/19/2017,9.90105141,InSAR
11/25/2017,9.897114402,InSAR
12/1/2017,9.892521226,InSAR
12/7/2017,9.888584218,InSAR
12/13/2017,9.886615714,InSAR
12/20/2017,9.886615714,InSAR
12/26/2017,9.890224638,InSAR
1/1/2018,9.884975294,InSAR
1/7/2018,9.878413614,InSAR
1/13/2018,9.880054034,InSAR
1/20/2018,9.889896554,InSAR
1/26/2018,9.891865058,InSAR
2/1/2018,9.891865058,InSAR
2/7/2018,9.889896554,InSAR
2/12/2018,9.890552722,InSAR
2/18/2018,9.890224638,InSAR
2/23/2018,9.891865058,InSAR
3/1/2018,9.891536974,InSAR
3/7/2018,9.894161646,InSAR
3/13/2018,9.900067158,InSAR
3/20/2018,9.904988418,InSAR
3/26/2018,9.912206266,InSAR
4/1/2018,9.926641962,InSAR
4/7/2018,9.938452986,InSAR
4/13/2018,9.944686582,InSAR
4/19/2018,9.95026401,InSAR
4/25/2018,9.956169522,InSAR
5/1/2018,9.96010653,InSAR
5/7/2018,9.963059286,InSAR
5/13/2018,9.964699706,InSAR
5/20/2018,9.967980546,InSAR
5/26/2018,9.96994905,InSAR
6/1/2018,9.983400494,InSAR
6/7/2018,10.00669446,InSAR
6/13/2018,10.0201459,InSAR
6/19/2018,10.03097267,InSAR
6/25/2018,10.02998842,InSAR
7/1/2018,10.02441099,InSAR
7/7/2018,10.04672071,InSAR
7/13/2018,10.07887294,InSAR
7/20/2018,10.09757373,InSAR
7/26/2018,10.11069709,InSAR
8/1/2018,10.1166026,InSAR
8/7/2018,10.12874171,InSAR
8/13/2018,10.13103829,InSAR
8/20/2018,10.13825614,InSAR
8/26/2018,10.15597268,InSAR
9/1/2018,10.17040837,InSAR
9/7/2018,10.1677837,InSAR
9/13/2018,10.17237688,InSAR
9/19/2018,10.18287557,InSAR
9/25/2018,10.19337425,InSAR
10/1/2018,10.18057898,InSAR
10/7/2018,10.17893856,InSAR
10/13/2018,10.18517215,InSAR
10/20/2018,10.19698318,InSAR
10/26/2018,10.19731126,InSAR
11/1/2018,10.20190444,InSAR
11/7/2018,10.21076271,InSAR
11/13/2018,10.20945037,InSAR
11/19/2018,10.20420103,InSAR
11/25/2018,10.2005921,InSAR
12/1/2018,10.19140575,InSAR
12/7/2018,10.18320365,InSAR
12/13/2018,10.18385982,InSAR
12/20/2018,10.18123515,InSAR
12/26/2018,10.17959473,InSAR
1/1/2019,10.17303305,InSAR
1/7/2019,10.1658152,InSAR
1/13/2019,10.16417478,InSAR
1/20/2019,10.1677837,InSAR
1/26/2019,10.16155011,InSAR
2/1/2019,10.15695693,InSAR
