datetime,Mean CH - layer 3 (Principal Aquifer)
11/1/1920,225.4338112
12/1/1920,225.4338112
1/1/1921,225.4336948
2/1/1921,225.4336948
3/1/1921,225.4336948
4/1/1921,225.4336948
5/1/1921,225.4336948
6/1/1921,225.4336948
7/1/1921,225.3947972
8/1/1921,225.3947972
9/1/1921,225.3947972
10/1/1921,225.3947972
11/1/1921,225.3947972
12/1/1921,225.330351
1/1/1922,225.2910941
2/1/1922,225.3921163
3/1/1922,225.3921163
4/1/1922,225.3541703
5/1/1922,225.3260781
6/1/1922,225.3260781
7/1/1922,225.4534295
8/1/1922,225.4534295
9/1/1922,225.4534295
10/1/1922,225.4534295
11/1/1922,225.4534295
12/1/1922,225.4534295
1/1/1923,225.4534295
2/1/1923,225.4534295
3/1/1923,225.5787305
4/1/1923,225.5787305
5/1/1923,225.5787305
6/1/1923,225.5787305
7/1/1923,225.5787305
8/1/1923,225.5787305
9/1/1923,225.5787305
10/1/1923,225.5787305
11/1/1923,225.5787305
12/1/1923,225.2999398
1/1/1924,225.2999398
2/1/1924,225.2999398
3/1/1924,225.2442881
4/1/1924,225.2442881
5/1/1924,225.2442881
6/1/1924,225.2442881
7/1/1924,225.2282119
8/1/1924,225.221922
9/1/1924,225.2103373
10/1/1924,224.9698938
11/1/1924,224.711578
12/1/1924,224.3060695
1/1/1925,224.2597909
2/1/1925,224.2380513
3/1/1925,224.1905319
4/1/1925,224.1608553
5/1/1925,224.1210746
6/1/1925,223.2218737
7/1/1925,222.5190815
8/1/1925,220.0053159
9/1/1925,219.4221438
10/1/1925,217.0332955
11/1/1925,216.1261998
12/1/1925,215.8127883
1/1/1926,215.708364
2/1/1926,215.5999572
3/1/1926,215.5213615
4/1/1926,215.4399508
5/1/1926,215.4846929
6/1/1926,215.4094664
7/1/1926,215.2514106
8/1/1926,215.2024185
9/1/1926,215.1689248
10/1/1926,215.1460736
11/1/1926,215.1266836
12/1/1926,215.108075
1/1/1927,215.0830103
2/1/1927,215.0442089
3/1/1927,212.8766267
4/1/1927,212.3920741
5/1/1927,211.2053957
6/1/1927,210.7716729
7/1/1927,209.9919232
8/1/1927,208.0414212
9/1/1927,206.9627105
10/1/1927,206.5334524
11/1/1927,206.3133716
12/1/1927,205.9498795
1/1/1928,204.2195456
2/1/1928,203.3398438
3/1/1928,202.149989
4/1/1928,200.7397917
5/1/1928,198.855334
6/1/1928,198.0200094
7/1/1928,197.5467279
8/1/1928,197.2553605
9/1/1928,196.8393953
10/1/1928,196.7482977
11/1/1928,196.6318004
12/1/1928,196.5372991
1/1/1929,196.4126948
2/1/1929,196.2705114
3/1/1929,196.1909457
4/1/1929,196.0978335
5/1/1929,195.9363022
6/1/1929,195.884965
7/1/1929,195.8204135
8/1/1929,195.7846892
9/1/1929,195.7439022
10/1/1929,195.7560246
11/1/1929,195.7043612
12/1/1929,195.652449
1/1/1930,195.4345345
2/1/1930,195.0800985
3/1/1930,194.9800043
4/1/1930,194.8329474
5/1/1930,194.8240136
6/1/1930,194.7192854
7/1/1930,194.6536939
8/1/1930,192.5372137
9/1/1930,189.5816902
10/1/1930,188.3585998
11/1/1930,187.0960505
12/1/1930,186.3695713
1/1/1931,185.730897
2/1/1931,185.4182126
3/1/1931,185.2800293
4/1/1931,185.0981707
5/1/1931,184.9025518
6/1/1931,184.5642633
7/1/1931,184.2314612
8/1/1931,183.9367229
9/1/1931,183.2971939
10/1/1931,182.9736294
11/1/1931,182.6454743
12/1/1931,182.4132686
1/1/1932,182.2514881
2/1/1932,182.184042
3/1/1932,182.0251967
4/1/1932,181.9717579
5/1/1932,181.935467
6/1/1932,181.9088156
7/1/1932,181.8371152
8/1/1932,181.8728657
9/1/1932,181.8561173
10/1/1932,181.8433292
11/1/1932,181.8349199
12/1/1932,181.829196
1/1/1933,181.7703741
2/1/1933,181.7659998
3/1/1933,181.7622314
4/1/1933,181.6563861
5/1/1933,181.6526106
6/1/1933,181.6488631
7/1/1933,181.6453821
8/1/1933,181.6419373
9/1/1933,181.6386394
10/1/1933,181.6355804
11/1/1933,181.6325567
12/1/1933,181.6297569
1/1/1934,181.6269992
2/1/1934,181.624379
3/1/1934,181.6221267
4/1/1934,181.6197749
5/1/1934,181.6176313
6/1/1934,181.6155537
7/1/1934,181.6136651
8/1/1934,181.6118347
9/1/1934,181.6101164
10/1/1934,181.6782945
11/1/1934,181.6746058
12/1/1934,181.671159
1/1/1935,181.6677203
2/1/1935,181.6643955
3/1/1935,181.6614783
4/1/1935,181.6583446
5/1/1935,181.6553942
6/1/1935,181.6524273
7/1/1935,181.6496306
8/1/1935,181.6468228
9/1/1935,181.6441041
10/1/1935,181.6415647
11/1/1935,181.6390459
12/1/1935,181.6367116
1/1/1936,181.6344135
2/1/1936,181.6322355
3/1/1936,181.6303117
4/1/1936,181.6284013
5/1/1936,181.6267083
6/1/1936,181.6251475
