Aquifer,Top,Bot,Thick_ft,Description
Upper,0,20,20,clay
Upper,20,25,5,sand
Upper,25,30,5,clay
Upper,30,80,50,clay
Upper,80,85,5,sand
Upper,86,97,11,sand
Corcoran,97,113,16,clay
Corcoran,113,115,2,sand
Corcoran,115,118,3,clay
Lower,118,157,39,clay
Lower,157,158,1,sand
Lower,158,160,2,clay
Lower,160,164,4,clay
Lower,167,169,2,sand
Lower,169,171,2,clay
Lower,171,173,2,sand
Lower,173,175,2,clay
Lower,175,177,2,sand
Lower,177,179,2,clay
Lower,179,190,11,sand
Lower,190,197,7,clay
Lower,197,204,7,clay
Lower,204,207,3,sand
Lower,207,210,3,clay
Lower,210,211,1,sand
Lower,211,213,2,clay
Lower,213,217,4,clay
Lower,217,218,1,sand
Lower,218,219,1,clay
Lower,219,220,1,sand
Lower,220,222,2,clay
Lower,222,242,20,sand
Lower,243,244,1,sand
Lower,244,246,2,clay
Lower,246,248,2,sand
Lower,248,250,2,clay
Lower,250,276,26,clay
Lower,276,278,2,sand
Lower,278,281,3,clay
Lower,281,312,31,clay
Lower,312,324,12,sand
Lower,340,360,20,clay
Lower,360,380,20,sand
Lower,380,430,50,sand
Lower,434,437,3,sand
Lower,437,440,3,clay
Lower,440,444,4,sand
Lower,444,449,5,clay
Lower,449,458,9,clay
Lower,465,475,10,clay
Lower,477,486,9,clay
Lower,486,492,6,sand
Lower,492,495,3,sand
Lower,495,499,4,clay
Lower,499,506,7,clay
Lower,506,510,4,sand
Lower,510,514,4,clay
Lower,514,518,4,sand
Lower,518,522,4,clay
Lower,522,530,8,clay
Lower,530,536,6,clay
Lower,536,537,1,sand
Lower,537,538,1,clay
Lower,538,543,5,sand
Lower,543,548,5,clay
Lower,548,549,1,sand
Lower,549,551,2,clay
Lower,551,552,1,sand
Lower,552,553,1,clay
Lower,553,565,12,sand
Lower,565,574,9,clay
Lower,574,576,2,sand
Lower,576,584,8,clay
Lower,584,585,1,sand
Lower,585,586,1,clay
Lower,586,592,6,clay
Lower,592,595,3,clay
Lower,595,597,2,clay
Lower,597,599,2,sand
Lower,599,607,8,clay
Lower,607,610,3,clay
Lower,610,625,15,clay
Lower,628,629,1,sand
Lower,629,631,2,clay
Lower,631,643,12,clay
Lower,643,644,1,sand
Lower,644,646,2,clay
Lower,646,650,4,clay
Lower,650,654,4,sand
Lower,654,658,4,clay
Lower,658,666,8,clay
Lower,666,668,2,sand
Lower,668,671,3,clay
Lower,671,680,9,sand
Lower,689,702,13,clay
Lower,702,704,2,sand
Lower,704,706,2,clay
Lower,706,710,4,sand
Lower,710,715,5,clay
Lower,715,725,10,clay
Lower,730,740,10,clay
Lower,740,760,20,sand
Lower,760,800,40,clay
Lower,800,812,12,sand
Lower,812,825,13,clay
Lower,825,837,12,sand
Lower,837,850,13,clay
