Date,BLS,Alt,Aquifer
7/6/1939,,182.35,Upper
9/12/1939,,172.25,Upper
1/2/1940,,178.65,Upper
11/28/1940,,172.45,Upper
10/10/1941,,176.35,Upper
4/27/1942,,189.45,Upper
9/2/1942,,167.15,Upper
3/29/1943,,185.55,Upper
11/29/1943,,171.75,Upper
3/21/1944,,175.25,Upper
12/4/1944,,166.55,Upper
3/5/1945,,171.75,Upper
11/15/1945,,178.25,Upper
1/25/1946,,182.45,Upper
7/24/1946,,174.35,Upper
3/4/1947,,184.35,Upper
7/9/1947,,179.25,Upper
3/18/1948,,167.35,Upper
12/13/1948,,164.15,Upper
3/8/1949,,165.85,Upper
12/8/1949,,157.05,Upper
3/2/1950,,168.65,Upper
10/17/1950,,164.55,Upper
3/13/1951,,174.75,Upper
10/15/1951,,171.85,Upper
3/20/1952,,177.85,Upper
10/22/1952,,178.25,Upper
7/27/1953,,180.85,Upper
10/12/1953,,166.85,Upper
10/15/1954,,174.95,Upper
2/2/1955,,172.75,Upper
10/25/1955,,153.25,Upper
2/28/1956,,178.55,Upper
12/5/1956,,171.15,Upper
3/7/1957,,170.75,Upper
11/30/1957,,167.55,Upper
2/23/1958,,171.95,Upper
12/29/1958,,172.15,Upper
3/4/1959,,172.65,Upper
12/4/1959,,156.05,Upper
3/3/1960,,163.75,Upper
12/13/1960,,154.55,Upper
2/24/1961,,154.25,Upper
12/8/1961,,142.45,Upper
2/15/1963,,142.35,Upper
2/10/1964,,144.65,Upper
10/13/1964,,128.75,Upper
2/9/1965,,140.05,Upper
2/14/1966,,147.75,Upper
2/9/1967,,141.15,Upper
2/20/1969,,145.25,Upper
2/14/1970,,162.45,Upper
11/18/1970,,147.55,Upper
2/15/1971,,129.27,Upper
11/19/1971,,120.37,Upper
2/10/1972,,129.27,Upper
10/12/1972,,113.17,Upper
2/16/1973,,116.17,Upper
10/11/1973,,116.17,Upper
2/8/1974,,120.17,Upper
10/4/1974,,118.67,Upper
2/3/1975,,122.17,Upper
10/8/1975,,118.17,Upper
2/2/1976,,128.17,Upper
7/22/1976,,116.17,Upper
10/5/1976,,114.77,Upper
1/28/1977,,115.17,Upper
6/1/1977,,108.77,Upper
8/8/1977,,71.57,Upper
10/6/1977,,90.17,Upper
1/23/1978,,86.97,Upper
10/3/1978,,106.97,Upper
1/15/1979,,114.77,Upper
9/17/1979,,116.17,Upper
1/21/1980,,121.67,Upper
11/10/1980,,128.17,Upper
2/3/1981,,127.17,Upper
10/1/1981,,124.17,Upper
1/22/1982,,120.17,Upper
10/4/1982,,133.17,Upper
1/31/1983,,134.17,Upper
10/28/1983,,141.17,Upper
1/19/1984,,138.17,Upper
11/12/1984,,145.67,Upper
10/18/1985,,138.17,Upper
1/30/1986,,134.17,Upper
9/30/1986,,136.17,Upper
1/29/1987,,141.07,Upper
2/2/1988,,129.57,Upper
11/27/1990,,67.17,Upper
10/10/1991,,54.17,Upper
2/5/1992,,75.68,Upper
9/29/1992,,24.68,Upper
2/1/1993,,45.08,Upper
10/26/1993,,45.68,Upper
2/9/1994,,44.68,Upper
1/27/1995,,61.08,Upper
10/19/1995,,54.68,Upper
1/25/1996,,49.68,Upper
9/24/1996,,44.68,Upper
1/21/1997,,46.68,Upper
10/28/1997,,52.78,Upper
2/18/1998,,83.08,Upper
10/16/1998,,68.68,Upper
2/16/1999,,86.68,Upper
10/22/1999,,55.68,Upper
1/31/2000,,68.68,Upper
2/6/2001,,72.68,Upper
1/29/2003,,68.68,Upper
9/24/2003,,8.68,Upper
3/5/2004,,50.68,Upper
2/1/2005,,88.68,Upper
10/13/2005,,26.68,Upper
1/23/2006,,51.68,Upper
10/18/2006,,26.68,Upper
2/23/2007,,11.68,Upper
10/26/2007,,4.68,Upper
2/28/2008,,45.68,Upper
12/17/2008,,16.68,Upper
3/2/2009,,27.68,Upper
10/6/2009,,14.68,Upper
3/2/2010,,21.68,Upper
3/7/2011,,7.68,Upper
2/22/2013,,-10.32,Upper
2/14/2014,,-33.32,Upper
10/15/2019,,-42.02,Upper
3/18/2020,,-39.32,Upper
10/29/2020,,-53.32,Upper
3/19/2021,,-45.32,Upper
10/14/2021,,-63.32,Upper
3/16/2022,,-60.32,Upper
10/31/2022,,-73.32,Upper
3/21/2023,,-55.32,Upper
10/16/2023,,-55.32,Upper
3/14/2024,,-43.32,Upper
10/26/1920,,168.88,Lower
9/1/1928,,142.28,Lower
10/29/1929,,138.98,Lower
11/17/1930,,140.18,Lower
10/26/1931,,133.38,Lower
11/18/1932,,141.18,Lower
1/29/1934,,142.48,Lower
12/16/1934,,139.18,Lower
12/13/1935,,142.68,Lower
12/17/1936,,145.28,Lower
12/3/1937,,143.68,Lower
11/26/1941,,149.48,Lower
3/25/1942,,161.98,Lower
12/3/1942,,148.98,Lower
4/1/1943,,159.98,Lower
12/7/1943,,140.78,Lower
3/23/1944,,147.78,Lower
6/29/1944,,141.28,Lower
3/9/1945,,143.78,Lower
10/5/1945,,141.58,Lower
11/14/1945,,148.48,Lower
1/22/1946,,153.98,Lower
7/31/1946,,130.98,Lower
12/10/1946,,154.98,Lower
3/6/1947,,153.78,Lower
9/4/1947,,130.98,Lower
11/3/1947,,135.78,Lower
