Date,Subsidence_ft,Source
3/1/1933,0,Leveling
9/1/1948,0.22,Leveling
1/20/1958,0.28,Leveling
1/1/1965,0.78,Leveling
7/1/1972,0.87,Leveling
4/8/1989,1.39,Leveling
6/15/2003,2.2,Leveling
11/1/2004,2.533831068,InSAR
12/1/2004,2.543831068,InSAR
1/1/2005,2.553831068,InSAR
2/1/2005,2.563831068,InSAR
3/1/2005,2.563831068,InSAR
4/1/2005,2.563831068,InSAR
5/1/2005,2.503831068,InSAR
1/1/2006,2.643831068,InSAR
2/1/2006,2.653831068,InSAR
3/1/2006,2.643831068,InSAR
4/1/2006,2.643831068,InSAR
5/1/2006,2.643831068,InSAR
6/1/2006,2.643831068,InSAR
7/1/2006,2.643831068,InSAR
8/1/2006,2.653831068,InSAR
9/1/2006,2.673831068,InSAR
10/1/2006,2.673831068,InSAR
11/1/2006,2.693831068,InSAR
12/1/2006,2.703831068,InSAR
1/1/2007,2.723831068,InSAR
2/1/2007,2.733831068,InSAR
12/1/2007,2.853831068,InSAR
1/1/2008,2.863831068,InSAR
2/1/2008,2.873831068,InSAR
3/1/2008,2.883831068,InSAR
4/1/2008,2.883831068,InSAR
5/1/2008,2.893831068,InSAR
6/1/2008,2.893831068,InSAR
7/1/2008,2.903831068,InSAR
7/1/2009,3.103831068,InSAR
8/1/2009,3.123831068,InSAR
9/1/2009,3.153831068,InSAR
10/1/2009,3.163831068,InSAR
11/1/2009,3.193831068,InSAR
12/1/2009,3.203831068,InSAR
1/1/2010,3.223831068,InSAR
2/1/2010,3.253831068,InSAR
3/1/2010,3.273831068,InSAR
4/1/2010,3.273831068,InSAR
5/1/2010,3.273831068,InSAR
6/1/2010,3.293831068,InSAR
7/1/2010,3.313831068,InSAR
8/1/2010,3.343831068,InSAR
7/1/2015,4.3465,Leveling
8/1/2015,4.4075,InSAR
9/1/2015,4.4785,InSAR
10/1/2015,4.5435,InSAR
11/1/2015,4.6115,InSAR
12/1/2015,4.6765,InSAR
1/1/2016,4.7325,InSAR
2/1/2016,4.7945,InSAR
3/1/2016,4.8235,InSAR
4/1/2016,4.8595,InSAR
5/1/2016,4.8965,InSAR
6/1/2016,4.9475,InSAR
7/1/2016,4.9955,InSAR
8/1/2016,5.0445,InSAR
9/1/2016,5.1055,InSAR
10/1/2016,5.1475,InSAR
11/1/2016,5.2055,InSAR
12/1/2016,5.2515,InSAR
1/1/2017,5.2995,InSAR
2/1/2017,5.3465,InSAR
3/1/2017,5.3755,InSAR
4/1/2017,5.3935,InSAR
5/1/2017,5.4265,InSAR
6/1/2017,5.4405,InSAR
7/1/2017,5.4685,InSAR
8/1/2017,5.5155,InSAR
9/1/2017,5.5515,InSAR
10/1/2017,5.5825,InSAR
11/1/2017,5.6395,InSAR
12/1/2017,5.6665,InSAR
1/1/2018,5.6905,InSAR
2/1/2018,5.7065,InSAR
3/1/2018,5.7045,InSAR
4/1/2018,5.7315,InSAR
5/1/2018,5.7565,InSAR
6/1/2018,5.7715,InSAR
7/1/2018,5.8095,InSAR
8/1/2018,5.8445,InSAR
9/1/2018,5.8705,InSAR
9/14/2018,5.89,Leveling
10/1/2018,5.9155,InSAR
11/1/2018,5.9555,InSAR
12/1/2018,5.9825,InSAR
1/1/2019,6.0135,InSAR
2/1/2019,6.0565,InSAR
3/1/2019,6.0805,InSAR
4/1/2019,6.1165,InSAR
5/1/2019,6.1205,InSAR
6/1/2019,6.1305,InSAR
7/1/2019,6.1665,InSAR
8/1/2019,6.2005,InSAR
9/1/2019,6.2305,InSAR
10/1/2019,6.2285,InSAR
11/1/2019,6.2515,InSAR
12/1/2019,6.2685,InSAR
1/1/2020,6.3125,InSAR
2/1/2020,6.3335,InSAR
3/1/2020,6.3485,InSAR
4/1/2020,6.3665,InSAR
5/1/2020,6.3735,InSAR
6/1/2020,6.3925,InSAR
7/1/2020,6.4065,InSAR
8/1/2020,6.4335,InSAR
9/1/2020,6.4625,InSAR
10/1/2020,6.5075,InSAR
11/1/2020,6.5265,InSAR
12/1/2020,6.5455,InSAR
1/1/2021,6.5745,InSAR
2/1/2021,6.5975,InSAR
3/1/2021,6.6215,InSAR
4/1/2021,6.6415,InSAR
5/1/2021,6.6565,InSAR
6/1/2021,6.6945,InSAR
7/1/2021,6.7225,InSAR
8/1/2021,6.7705,InSAR
9/1/2021,6.8005,InSAR
10/1/2021,6.8335,InSAR
11/1/2021,6.8795,InSAR
12/1/2021,6.9155,InSAR
1/1/2022,6.9465,InSAR
2/1/2022,6.9875,InSAR
3/1/2022,7.0065,InSAR
4/1/2022,7.0265,InSAR
5/1/2022,7.0725,InSAR
6/1/2022,7.1145,InSAR
7/1/2022,7.1785,InSAR
8/1/2022,7.2345,InSAR
9/1/2022,7.2625,InSAR
10/1/2022,7.3055,InSAR
11/1/2022,7.3545,InSAR
12/1/2022,7.4045,InSAR
1/1/2023,7.4495,InSAR
2/1/2023,7.4765,InSAR
3/1/2023,7.5045,InSAR
4/1/2023,7.5465,InSAR
5/1/2023,7.5385,InSAR
6/1/2023,7.5735,InSAR
7/1/2023,7.5985,InSAR
8/1/2023,7.6105,InSAR
9/1/2023,7.6105,InSAR
10/1/2023,7.6205,InSAR
11/1/2023,7.6545,InSAR
12/1/2023,7.6495,InSAR
1/1/2024,7.6565,InSAR
2/1/2024,7.7025,InSAR
3/1/2024,7.7285,InSAR
4/1/2024,7.7445,InSAR
5/1/2024,7.7575,InSAR
6/1/2024,7.7825,InSAR
7/1/2024,7.8025,InSAR
8/1/2024,7.7995,InSAR
9/1/2024,7.8085,InSAR
10/1/2024,7.8285,InSAR
11/1/2024,7.8575,InSAR
12/1/2024,7.8765,InSAR
1/1/2025,7.9085,InSAR
2/1/2025,7.9185,InSAR
3/1/2025,7.9315,InSAR
4/1/2025,7.9595,InSAR
