datetime,Mean CH - layer 3 (Lower Aquifer)
2/1/1920,19.35929763
3/1/1920,19.35938171
4/1/1920,19.27027961
5/1/1920,18.88454583
6/1/1920,18.57361397
7/1/1920,18.08699488
8/1/1920,18.07401468
9/1/1920,17.32303595
10/1/1920,17.31533153
11/1/1920,17.30944227
12/1/1920,17.10827972
1/1/1921,16.6786766
2/1/1921,16.64682962
3/1/1921,16.6223977
4/1/1921,16.5991949
5/1/1921,16.41481617
6/1/1921,16.32859906
7/1/1921,15.99664679
8/1/1921,15.97424954
9/1/1921,15.78403295
10/1/1921,14.56204642
11/1/1921,14.47590293
12/1/1921,13.84468947
1/1/1922,13.86013867
2/1/1922,13.07066067
3/1/1922,12.9919564
4/1/1922,12.96859237
5/1/1922,12.955896
6/1/1922,12.88907144
7/1/1922,12.8521669
8/1/1922,12.83532426
9/1/1922,12.83322506
10/1/1922,12.83180048
11/1/1922,12.82620083
12/1/1922,12.859617
1/1/1923,12.7958506
2/1/1923,12.70535382
3/1/1923,12.38840444
4/1/1923,12.34213621
5/1/1923,11.86999165
6/1/1923,10.16900175
7/1/1923,9.869436336
8/1/1923,9.686655526
9/1/1923,9.520107343
10/1/1923,9.076338381
11/1/1923,8.792944188
12/1/1923,8.440736466
1/1/1924,8.431895228
2/1/1924,8.385009612
3/1/1924,8.374056316
4/1/1924,8.355785639
5/1/1924,8.334640104
6/1/1924,8.323169462
7/1/1924,8.299061353
8/1/1924,8.2079663
9/1/1924,8.130375048
10/1/1924,8.085059714
11/1/1924,8.054867398
12/1/1924,8.008655827
1/1/1925,8.013836473
2/1/1925,7.988611792
3/1/1925,7.980338077
4/1/1925,7.960108726
5/1/1925,7.931672598
6/1/1925,6.56783657
7/1/1925,5.346918987
8/1/1925,4.18250092
9/1/1925,2.433329485
10/1/1925,1.651746875
11/1/1925,1.194819629
12/1/1925,0.987844987
1/1/1926,0.856100707
2/1/1926,0.790917196
3/1/1926,0.786055577
4/1/1926,0.759224809
5/1/1926,0.758295288
6/1/1926,0.758829587
7/1/1926,0.755190074
8/1/1926,0.722427429
9/1/1926,0.707424367
10/1/1926,0.632301601
11/1/1926,0.471741867
12/1/1926,0.158334149
1/1/1927,-0.061451318
2/1/1927,-0.723637389
3/1/1927,-1.615275982
4/1/1927,-2.445596795
5/1/1927,-3.103345808
6/1/1927,-3.545837024
7/1/1927,-4.035663168
8/1/1927,-4.830772768
9/1/1927,-5.219006926
10/1/1927,-6.854607882
11/1/1927,-7.504144962
12/1/1927,-7.848190477
1/1/1928,-8.122156225
2/1/1928,-8.30306004
3/1/1928,-8.464159809
4/1/1928,-8.644737087
5/1/1928,-8.7480466
6/1/1928,-8.907136991
7/1/1928,-9.117080987
8/1/1928,-9.483573466
9/1/1928,-10.19010817
10/1/1928,-10.96424671
11/1/1928,-11.91016292
12/1/1928,-12.51152269
1/1/1929,-13.05655562
2/1/1929,-13.5171552
3/1/1929,-13.82409507
4/1/1929,-14.06594195
5/1/1929,-14.268305
6/1/1929,-14.42969615
7/1/1929,-14.55507875
8/1/1929,-14.69616688
9/1/1929,-14.81496711
10/1/1929,-14.89108722
11/1/1929,-14.96576302
12/1/1929,-15.03268105
1/1/1930,-15.11522972
2/1/1930,-15.1690441
3/1/1930,-15.22095845
4/1/1930,-15.24776161
5/1/1930,-15.28826435
6/1/1930,-15.31981669
7/1/1930,-15.34499694
8/1/1930,-15.35600633
9/1/1930,-15.36391142
10/1/1930,-15.35896899
11/1/1930,-15.36329739
12/1/1930,-15.36649672
1/1/1931,-15.38150892
2/1/1931,-15.3834542
3/1/1931,-15.38481518
4/1/1931,-15.38597819
5/1/1931,-15.38686633
6/1/1931,-15.38759327
7/1/1931,-15.38813403
8/1/1931,-15.38852915
9/1/1931,-15.38879235
10/1/1931,-15.38896838
11/1/1931,-15.3890917
12/1/1931,-15.38917479
1/1/1932,-15.38923589
2/1/1932,-15.38927574
3/1/1932,-15.38929497
4/1/1932,-15.38929822
5/1/1932,-15.38929822
6/1/1932,-15.38929822
7/1/1932,-15.38929822
8/1/1932,-15.38929822
9/1/1932,-15.38929822
10/1/1932,-15.38929822
11/1/1932,-15.38929822
12/1/1932,-15.38929822
1/1/1933,-15.38929822
2/1/1933,-15.38929822
3/1/1933,-15.38929822
4/1/1933,-15.38929822
5/1/1933,-15.38929822
6/1/1933,-15.38929822
7/1/1933,-15.38929822
8/1/1933,-15.38929822
9/1/1933,-15.38929822
10/1/1933,-15.38929822
11/1/1933,-15.38929822
12/1/1933,-15.38929822
1/1/1934,-15.38929822
2/1/1934,-15.38929822
3/1/1934,-15.38929822
4/1/1934,-15.38929822
5/1/1934,-15.38929822
6/1/1934,-15.38929822
7/1/1934,-15.38929822
8/1/1934,-15.38929822
9/1/1934,-15.38929822
10/1/1934,-15.38929822
11/1/1934,-15.38929822
12/1/1934,-15.38929822
1/1/1935,-15.38929822
2/1/1935,-15.38929822
3/1/1935,-15.38935938
4/1/1935,-15.38947362
5/1/1935,-15.38958867
6/1/1935,-15.38971148
7/1/1935,-15.38983319
8/1/1935,-15.38996109
9/1/1935,-15.3900903
10/1/1935,-15.3902159
11/1/1935,-15.39034567
12/1/1935,-15.39047078
1/1/1936,-15.39059913
2/1/1936,-15.3907979
3/1/1936,-15.39104161
4/1/1936,-15.39129371
5/1/1936,-15.39153042
6/1/1936,-15.39176866
7/1/1936,-15.39679562
8/1/1936,-15.42001645
9/1/1936,-15.46327619
10/1/1936,-15.48037613
11/1/1936,-15.50087012
12/1/1936,-15.56213967
1/1/1937,-15.57735193
2/1/1937,-15.58906674
3/1/1937,-15.5725309
4/1/1937,-15.78362359
5/1/1937,-16.42393479
6/1/1937,-17.48466398
7/1/1937,-18.16526508
8/1/1937,-18.70659162
9/1/1937,-19.28435387
10/1/1937,-20.89902933
11/1/1937,-21.34790017
12/1/1937,-21.58783364
1/1/1938,-21.75832084
2/1/1938,-21.89603533
3/1/1938,-21.97910164
4/1/1938,-22.10065597
5/1/1938,-22.31864635
6/1/1938,-22.58070636
7/1/1938,-22.955661
8/1/1938,-23.51258639
9/1/1938,-23.98773455
10/1/1938,-24.86789212
11/1/1938,-26.5464239
12/1/1938,-27.87498889
1/1/1939,-28.70009821
2/1/1939,-29.45008255
3/1/1939,-29.99137057
4/1/1939,-30.58446508
5/1/1939,-31.05128554
6/1/1939,-31.51460057
7/1/1939,-31.90714828
8/1/1939,-32.82939694
9/1/1939,-33.58678533
10/1/1939,-34.26519032
11/1/1939,-34.7092888
12/1/1939,-35.04450659
1/1/1940,-35.34198649
2/1/1940,-35.61738946
3/1/1940,-35.87895192
4/1/1940,-36.13451984
5/1/1940,-36.40074912
6/1/1940,-36.60754426
7/1/1940,-36.82758474
8/1/1940,-37.09442786
9/1/1940,-37.29561795
10/1/1940,-37.46960176
11/1/1940,-37.67043367
12/1/1940,-37.86873315
1/1/1941,-38.0363645
2/1/1941,-38.19471897
3/1/1941,-38.32977281
4/1/1941,-38.47822229
5/1/1941,-38.64333751
6/1/1941,-38.79739184
7/1/1941,-38.9315733
8/1/1941,-39.09763529
9/1/1941,-39.25358371
10/1/1941,-39.51679576
11/1/1941,-39.74126206
12/1/1941,-40.08814729
1/1/1942,-40.46804672
2/1/1942,-40.90469805
3/1/1942,-41.30596767
4/1/1942,-41.84536673
5/1/1942,-42.24897597
6/1/1942,-42.74352091
7/1/1942,-43.19375376
