Aquifer,Top,Bot,Thick_ft,Description
Upper Aquifer,0,70,70,clay
Upper Aquifer,70,80,10,clay
Upper Aquifer,80,90,10,clay
Upper Aquifer,90,100,10,sand
Upper Aquifer,100,110,10,sand
Upper Aquifer,110,120,10,sand
Upper Aquifer,120,130,10,clay
Upper Aquifer,130,140,10,sand
Upper Aquifer,140,150,10,clay
Upper Aquifer,150,170,20,clay
Upper Aquifer,170,190,20,sand
Upper Aquifer,190,200,10,sand
Upper Aquifer,200,220,20,clay
Upper Aquifer,220,260,40,clay
Upper Aquifer,260,270,10,sand
Upper Aquifer,270,280,10,sand
Upper Aquifer,280,290,10,clay
Upper Aquifer,290,300,10,clay
Upper Aquifer,300,310,10,clay
Upper Aquifer,310,320,10,sand
Upper Aquifer,320,330,10,clay
Upper Aquifer,330,340,10,sand
Upper Aquifer,340,380,40,clay
Upper Aquifer,380,390,10,clay
Upper Aquifer,390,410,20,clay
Upper Aquifer,410,420,10,sand
Upper Aquifer,420,430,10,clay
Upper Aquifer,430,440,10,clay
Upper Aquifer,440,450,10,sand
Upper Aquifer,450,480,30,sand
Upper Aquifer,480,490,10,sand
Upper Aquifer,490,510,20,clay
Upper Aquifer,510,530,20,clay
Upper Aquifer,530,570,40,clay
Upper Aquifer,570,590,20,clay
Upper Aquifer,590,600,10,clay
Upper Aquifer,600,630,30,clay
Upper Aquifer,630,650,20,sand
Upper Aquifer,650,670,20,clay
Upper Aquifer,670,700,30,clay
Upper Aquifer,700,710,10,sand
Upper Aquifer,710,750,40,clay
Corcoran,750,770,20,clay
Corcoran,770,780,10,clay
Corcoran,780,790,10,sand
Corcoran,790,800,10,clay
Lower aquifer,800,920,120,clay
Lower aquifer,920,930,10,clay
Lower aquifer,930,940,10,sand
Lower aquifer,940,950,10,clay
Lower aquifer,950,960,10,clay
Lower aquifer,960,970,10,clay
Lower aquifer,970,980,10,clay
Lower aquifer,980,990,10,sand
Lower aquifer,990,1000,10,sand
Lower aquifer,1000,1010,10,clay
Lower aquifer,1010,1020,10,clay
Lower aquifer,1020,1030,10,clay
Lower aquifer,1030,1040,10,clay
Lower aquifer,1040,1060,20,sand
Lower aquifer,1060,1070,10,clay
Lower aquifer,1070,1080,10,clay
Lower aquifer,1080,1090,10,clay
Lower aquifer,1090,1100,10,sand
Lower aquifer,1100,1110,10,clay
Lower aquifer,1110,1120,10,clay
Lower aquifer,1120,1150,30,clay
Lower aquifer,1150,1160,10,sand
Lower aquifer,1160,1170,10,sand
Lower aquifer,1170,1210,40,clay
Lower aquifer,1210,1220,10,clay
Lower aquifer,1220,1230,10,clay
Lower aquifer,1230,1240,10,clay
Lower aquifer,1240,1250,10,clay
Lower aquifer,1250,1270,20,clay
Lower aquifer,1270,1280,10,clay
Lower aquifer,1280,1290,10,clay
Lower aquifer,1290,1310,20,clay
Lower aquifer,1310,1320,10,sand
Lower aquifer,1320,1330,10,sand
Lower aquifer,1330,1340,10,sand
Lower aquifer,1340,1350,10,sand
Lower aquifer,1350,1370,20,sand
Lower aquifer,1370,1390,20,sand
Lower aquifer,1390,1420,30,sand
Lower aquifer,1420,1430,10,clay
Lower aquifer,1430,1440,10,sand
Lower aquifer,1440,1460,20,sand
Lower aquifer,1460,1480,20,sand
Lower aquifer,1480,1490,10,sand
Lower aquifer,1490,1500,10,clay
