Date,BLS,Alt,Aquifer,,,,,,
1/1/1935,110.5,140,Upper,,,,,,
1/1/1945,120.5,130,Upper,,,,,,
6/21/1948,162.36,88.14,Upper,,,,,,
9/22/1948,169.36,81.14,Upper,,,,,,
2/9/1949,162.56,87.94,Upper,,,,,,
9/23/1949,164.66,85.84,Upper,,,,,,
7/31/1951,166.76,83.74,Upper,,,,,,
10/31/1951,162.16,88.34,Upper,,,,,,
7/29/1952,174.06,76.44,Upper,,,,,,
9/24/1953,165.36,85.14,Upper,,,,,,
11/2/1953,159.86,90.64,Upper,,,,,,
3/26/1954,152.16,98.34,Upper,,,,,,
10/28/1954,155.06,95.44,Upper,,,,,,
2/28/1955,147.96,102.54,Upper,,,,,,
10/31/1955,143.76,106.74,Upper,,,,,,
2/24/1956,138.46,112.04,Upper,,,,,,
10/30/1956,145.26,105.24,Upper,,,,,,
3/29/1957,141.56,108.94,Upper,,,,,,
10/7/1957,139.96,110.54,Upper,,,,,,
5/5/1958,186.0,120.5,Upper,,,,,,
5/6/1959,182.4,124.1,Upper,,,,,,
5/4/1961,171.1,135.4,Upper,,,,,,
7/20/1971,175.4,164.2,Upper,,,,,,
1/26/1972,170.5,169.1,Upper,,,,,,
4/10/1973,167.8,171.8,Upper,,,,,,
10/18/1973,167.4,172.2,Upper,,,,,,
1/29/1974,165.6,174.0,Upper,,,,,,
10/23/1974,160.4,179.2,Upper,,,,,,
1/21/1975,159.0,180.6,Upper,,,,,,
1/23/1976,159.4,180.2,Upper,,,,,,
1/26/1977,158.5,181.1,Upper,,,,,,
12/1/1977,136,183.6,Upper,,,,,,
1/26/1979,130,189.6,Upper,,,,,,
1/24/1980,125,194.6,Upper,,,,,,
12/10/1980,119,200.6,Upper,,,,,,
12/10/1982,122,197.6,Upper,,,,,,
11/29/1983,108,211.6,Upper,,,,,,
12/26/1984,106,213.6,Upper,,,,,,
12/24/1985,103,216.6,Upper,,,,,,
12/5/1986,229,90.6,Upper,,,,,,
1/6/1988,196,123.6,Upper,,,,,,
1/12/1989,92,227.6,Upper,,,,,,
1/10/1990,86,233.6,Upper,,,,,,
12/3/1991,102,217.6,Upper,,,,,,
11/18/1993,186,133.6,Upper,,,,,,
11/21/1994,192,127.6,Upper,,,,,,
11/28/1995,87,232.6,Upper,,,,,,
11/19/1997,163,156.6,Upper,,,,,,
12/2/1998,126,193.6,Upper,,,,,,
11/30/1999,114,205.6,Upper,,,,,,
12/7/2000,78,241.6,Upper,,,,,,
11/17/2005,137,182.6,Upper,,,,,,
12/2/2009,360,-40.4,Upper,,,,,,
1/11/2011,342,-22.4,Upper,,,,,,
11/14/2011,131,188.6,Upper,,,,,,
11/27/2012,346,-26.4,Upper,,,,,,
12/9/2014,185,134.6,Upper,,,,,,
12/8/2015,73,246.6,Upper,,,,,,
12/19/2016,86,233.6,Upper,,,,,,
11/8/2017,147,172.6,Upper,,,,,,
6/6/2018,257.7,61.9,Upper,,,,,,
12/13/2018,233.35,86.25,Upper,,,,,,
6/11/2019,240.3,79.3,Upper,,,,,,
11/5/2019,239.08,80.52,Upper,,,,,,
3/31/2020,157,162.6,Upper,,,,,,
10/23/2020,89.51,230.09,Upper,,,,,,
3/1/2021,164.13,155.47,Upper,,,,,,
10/27/2021,125,194.6,Upper,,,,,,
11/30/2022,89.2,230.4,Upper,,,,,,
3/27/2023,83.1,236.5,Upper,,,,,,
10/26/2023,160,159.6,Upper,,,,,,
4/26/2024,156.2,163.4,Upper,,,,,,
2/1/1937,305,-17.6,Lower,,,,,,
6/1/1937,317,-29.6,Lower,,,,,,
9/1/1938,318,-30.6,Lower,,,,,,
3/1/1939,320,-32.6,Lower,,,,,,
8/1/1939,336,-48.6,Lower,,,,,,
6/1/1941,305,-17.6,Lower,,,,,,
10/1/1941,346,-58.6,Lower,,,,,,
4/1/1942,334,-46.6,Lower,,,,,,
7/1/1943,353,-65.6,Lower,,,,,,
2/1/1944,338,-50.6,Lower,,,,,,
10/1/1944,327,-39.6,Lower,,,,,,
5/1/1945,358,-70.6,Lower,,,,,,
5/1/1946,362,-74.6,Lower,,,,,,
