Date,Subsidence_ft,Source,,,
1/1/1920,0.00,Leveling,,,
1/1/1943,2.50,Leveling,,,
3/1/1947,2.92,Leveling,,,
2/1/1953,7.39,Leveling,,,
9/10/1955,11.40,Leveling,,,
12/11/1957,14.34,Leveling,,,
12/1/1959,16.92,Leveling,,,
2/21/1963,20.80,Leveling,,,
11/1/1964,22.34,Leveling,,,
1/27/1966,23.26,Leveling,,,
2/1/1967,25.46,Leveling,,,
1/1/1968,25.97,Leveling,,,
1/1/1969,26.56,Leveling,,,
11/1/1969,26.77,Leveling,,,
1/1/1971,27.02,Leveling,,,
1/1/1972,27.14,Leveling,,,
2/1/1975,27.40,Leveling,,,
2/1/1978,27.70,Leveling,,,
12/1/1981,27.67,Leveling,,,
10/1/1983,27.57,Leveling,,,
1/1/1986,27.62,Leveling,,,
3/1/1989,27.59,Leveling,,,
12/1/1993,27.89,Leveling,,,
7/1/2000,27.95,Leveling,,,
6/1/2006,27.92,Leveling,,,
2/1/2009,28.09,Leveling,,,
3/1/2013,28.26,Leveling,,,
6/1/2015,28.59,Leveling,,,
7/1/2015,28.59,InSAR,,,
8/1/2015,28.60,InSAR,,,
9/1/2015,28.62,InSAR,,,
10/1/2015,28.62,InSAR,,,
11/1/2015,28.63,InSAR,,,
12/1/2015,28.64,InSAR,,,
1/1/2016,28.64,InSAR,,,
2/1/2016,28.66,InSAR,,,
3/1/2016,28.65,InSAR,,,
4/1/2016,28.67,InSAR,,,
5/1/2016,28.68,InSAR,,,
6/1/2016,28.87,Leveling,,,
7/1/2016,28.89,InSAR,,,
8/1/2016,28.90,InSAR,,,
9/1/2016,28.92,InSAR,,,
10/1/2016,28.91,InSAR,,,
11/1/2016,28.92,InSAR,,,
12/1/2016,28.91,InSAR,,,
1/1/2017,28.90,InSAR,,,
2/1/2017,28.89,InSAR,,,
3/1/2017,28.87,InSAR,,,
4/1/2017,28.85,InSAR,,,
5/1/2017,28.84,InSAR,,,
6/1/2017,28.95,Leveling,,,
7/1/2017,28.94,InSAR,,,
8/1/2017,28.94,InSAR,,,
9/1/2017,28.93,InSAR,,,
10/1/2017,28.91,InSAR,,,
11/1/2017,28.92,InSAR,,,
12/1/2017,28.90,InSAR,,,
1/1/2018,28.90,InSAR,,,
2/1/2018,28.89,InSAR,,,
3/1/2018,28.89,Leveling,,,
4/1/2018,28.91,InSAR,,,
5/1/2018,28.94,InSAR,,,
6/1/2018,28.94,InSAR,,,
7/1/2018,28.96,InSAR,,,
8/1/2018,28.97,InSAR,,,
9/1/2018,28.97,InSAR,,,
10/1/2018,28.98,InSAR,,,
11/1/2018,28.97,InSAR,,,
12/1/2018,28.95,InSAR,,,
1/1/2019,28.92,Leveling,,,
2/1/2019,28.91,InSAR,,,
3/1/2019,28.91,InSAR,,,
4/1/2019,28.93,InSAR,,,
5/1/2019,28.89,InSAR,,,
6/1/2019,28.91,InSAR,,,
7/1/2019,28.93,InSAR,,,
8/1/2019,28.92,InSAR,,,
9/1/2019,28.91,InSAR,,,
10/1/2019,28.91,InSAR,,,
11/1/2019,28.92,InSAR,,,
12/1/2019,28.91,InSAR,,,
1/1/2020,28.94,InSAR,,,
2/1/2020,28.91,InSAR,,,
3/1/2020,28.92,InSAR,,,
4/1/2020,28.93,InSAR,,,
5/1/2020,28.94,InSAR,,,
6/1/2020,28.97,InSAR,,,
7/1/2020,28.96,InSAR,,,
8/4/2020,28.96,Leveling,,,
9/1/2020,28.99,InSAR,,,
10/1/2020,28.97,InSAR,,,
11/1/2020,28.95,InSAR,,,
12/1/2020,28.92,InSAR,,,
1/1/2021,28.90,InSAR,,,
2/11/2021,28.91,Leveling,,,
3/1/2021,28.92,InSAR,,,
4/1/2021,28.94,InSAR,,,
5/1/2021,28.97,InSAR,,,
6/1/2021,29.04,InSAR,,,
7/1/2021,29.08,InSAR,,,
8/1/2021,29.14,InSAR,,,
9/1/2021,29.15,InSAR,,,
10/1/2021,29.14,InSAR,,,
11/1/2021,29.12,InSAR,,,
12/1/2021,29.10,InSAR,,,
1/1/2022,29.08,InSAR,,,
2/1/2022,28.87,Leveling,,,
3/1/2022,28.88,InSAR,,,
4/1/2022,28.89,InSAR,,,
5/1/2022,28.96,InSAR,,,
6/1/2022,29.01,InSAR,,,
7/1/2022,29.08,InSAR,,,
8/1/2022,29.13,InSAR,,,
9/1/2022,29.13,InSAR,,,
10/1/2022,29.12,InSAR,,,
11/1/2022,29.10,InSAR,,,
12/1/2022,29.08,InSAR,,,
1/1/2023,29.23,Leveling,,,
2/1/2023,29.24,InSAR,,,
3/1/2023,29.22,InSAR,,,
4/1/2023,29.21,InSAR,,,
5/1/2023,29.18,InSAR,,,
6/1/2023,29.16,InSAR,,,
7/1/2023,29.15,InSAR,,,
8/1/2023,29.13,InSAR,,,
9/1/2023,29.11,InSAR,,,
10/1/2023,29.09,InSAR,,,
11/1/2023,29.09,InSAR,,,
12/1/2023,29.08,InSAR,,,
1/1/2024,29.09,Leveling,,,
2/1/2024,29.09,InSAR,,,
3/1/2024,29.10,InSAR,,,
4/1/2024,29.11,InSAR,,,
8/4/2024,29.05,Leveling,,,
