datetime,layer 3 (Lower Aquifer)
02/01/1941,31.64568271
03/01/1941,23.87912919
04/01/1941,20.47104579
05/01/1941,16.3542795
06/01/1941,15.19209325
07/01/1941,14.01045108
08/01/1941,12.18654832
09/01/1941,6.629609476
10/01/1941,5.701489578
11/01/1941,3.512030012
12/01/1941,-0.885169277
01/01/1942,-8.93565017
02/01/1942,-10.91374952
03/01/1942,-11.6201561
04/01/1942,-12.66128821
05/01/1942,-13.26881127
06/01/1942,-13.97670008
07/01/1942,-14.44480059
08/01/1942,-14.84384188
09/01/1942,-15.17549351
10/01/1942,-15.45208492
11/01/1942,-15.63733317
12/01/1942,-15.83667805
01/01/1943,-16.0573348
02/01/1943,-16.20140889
03/01/1943,-16.31815284
04/01/1943,-16.45643058
05/01/1943,-16.59821898
06/01/1943,-16.77688514
07/01/1943,-16.92454125
08/01/1943,-17.06795751
09/01/1943,-17.22018695
10/01/1943,-17.44282187
11/01/1943,-17.76581264
12/01/1943,-18.04349633
01/01/1944,-18.32026563
02/01/1944,-18.5466749
03/01/1944,-18.77044686
04/01/1944,-19.01411354
05/01/1944,-19.15710617
06/01/1944,-19.2933529
07/01/1944,-19.44465521
08/01/1944,-19.58405369
09/01/1944,-19.70232499
10/01/1944,-19.88133172
11/01/1944,-19.99908377
12/01/1944,-20.17206114
01/01/1945,-20.33380892
02/01/1945,-23.29528946
03/01/1945,-25.80295764
04/01/1945,-26.55236172
05/01/1945,-27.95300655
06/01/1945,-28.38636617
07/01/1945,-28.64604697
08/01/1945,-28.92742106
09/01/1945,-30.8174894
10/01/1945,-32.53487801
11/01/1945,-36.10428741
12/01/1945,-37.76348478
01/01/1946,-38.08964543
02/01/1946,-38.34220077
03/01/1946,-38.57687859
04/01/1946,-38.75658877
05/01/1946,-38.90742005
06/01/1946,-39.03214881
07/01/1946,-39.12769796
08/01/1946,-39.23603862
09/01/1946,-39.33335175
10/01/1946,-39.40340081
11/01/1946,-39.50220925
12/01/1946,-39.66229004
01/01/1947,-39.80036107
02/01/1947,-39.98239706
03/01/1947,-40.17376234
04/01/1947,-40.36332744
05/01/1947,-40.70611277
06/01/1947,-41.0826483
07/01/1947,-42.77911881
08/01/1947,-43.11579354
09/01/1947,-43.45871516
10/01/1947,-44.50070919
11/01/1947,-45.01430512
12/01/1947,-48.21340414
01/01/1948,-50.42529468
02/01/1948,-51.6635925
03/01/1948,-51.96223864
04/01/1948,-52.72664579
05/01/1948,-53.05788306
06/01/1948,-53.3518536
07/01/1948,-53.57490867
08/01/1948,-53.79531358
09/01/1948,-55.42983754
10/01/1948,-57.51239063
11/01/1948,-57.7808119
12/01/1948,-58.02182236
01/01/1949,-58.18648387
02/01/1949,-58.50528587
03/01/1949,-59.81020895
04/01/1949,-60.07691824
05/01/1949,-62.16448979
06/01/1949,-63.45057528
07/01/1949,-64.75226234
08/01/1949,-65.06511815
09/01/1949,-65.32138956
10/01/1949,-65.5676079
11/01/1949,-65.74855467
12/01/1949,-65.93212356
01/01/1950,-66.13036566
02/01/1950,-66.28179194
03/01/1950,-66.39811284
04/01/1950,-66.60168149
05/01/1950,-66.8965706
06/01/1950,-67.23039983
07/01/1950,-67.50383541
08/01/1950,-67.84178866
09/01/1950,-70.01339038
10/01/1950,-73.29223895
11/01/1950,-73.62771529
12/01/1950,-73.91676596
01/01/1951,-76.15555635
02/01/1951,-76.98226279
03/01/1951,-77.46874219
04/01/1951,-77.7495874
05/01/1951,-78.77417834
06/01/1951,-82.05763347
07/01/1951,-83.65269584
08/01/1951,-86.01520898
09/01/1951,-87.350523
10/01/1951,-88.67432059
11/01/1951,-89.51394293
12/01/1951,-90.2221059
01/01/1952,-91.07284921
02/01/1952,-91.94879306
03/01/1952,-93.16263892
04/01/1952,-93.62223073
05/01/1952,-93.94002036
06/01/1952,-94.27544223
07/01/1952,-94.75445024
08/01/1952,-95.28029281
09/01/1952,-95.64101573
10/01/1952,-95.87350639
11/01/1952,-96.20375516
12/01/1952,-96.89435858
01/01/1953,-98.9674862
02/01/1953,-101.6411943
03/01/1953,-102.7294813
04/01/1953,-103.4741593
05/01/1953,-103.9892382
06/01/1953,-104.4940303
07/01/1953,-104.9052966
08/01/1953,-105.2077825
09/01/1953,-105.4846635
10/01/1953,-105.6807738
11/01/1953,-105.8177351
12/01/1953,-105.9725168
01/01/1954,-106.2638795
02/01/1954,-106.5859591
03/01/1954,-107.1740212
04/01/1954,-108.8215128
05/01/1954,-109.672855
06/01/1954,-110.4198032
07/01/1954,-110.8305758
08/01/1954,-111.2367636
09/01/1954,-111.5634816
10/01/1954,-111.9150475
