Date,Subsidence_ft,Source
1/1/1941,0.00,Leveling
1/1/1943,0.27,Leveling
2/1/1953,5.36,Leveling
9/10/1955,7.27,Leveling
12/31/1957,8.70,Leveling
12/1/1959,10.10,Leveling
2/21/1963,12.65,Leveling
11/1/1964,14.03,Leveling
1/27/1966,14.95,Leveling
1/1/1968,16.12,Leveling
1/1/1969,16.44,Leveling
1/1/1971,16.78,Leveling
1/1/1972,16.93,Leveling
2/1/1975,17.18,Leveling
11/1/1977,17.54,Leveling
12/1/1981,17.25,Leveling
10/1/1983,17.14,Leveling
1/1/1986,17.10,Leveling
3/1/1989,17.11,Leveling
12/1/1993,17.69,Leveling
7/1/2000,17.58,Leveling
11/1/2004,17.71109789,InSAR
12/1/2004,17.72109789,InSAR
1/1/2005,17.73109789,InSAR
2/1/2005,17.73109789,InSAR
3/1/2005,17.72109789,InSAR
4/1/2005,17.71109789,InSAR
1/1/2006,17.68109789,InSAR
2/1/2006,17.68109789,InSAR
2/1/2006,17.68,Leveling
3/1/2006,17.66109789,InSAR
4/1/2006,17.65109789,InSAR
5/1/2006,17.64109789,InSAR
6/1/2006,17.63109789,InSAR
7/1/2006,17.63109789,InSAR
8/1/2006,17.62109789,InSAR
9/1/2006,17.62109789,InSAR
12/1/2007,17.66109789,InSAR
1/1/2008,17.66109789,InSAR
2/1/2008,17.68109789,InSAR
3/1/2008,17.69109789,InSAR
4/1/2008,17.69109789,InSAR
5/1/2008,17.69109789,InSAR
6/1/2008,17.69109789,InSAR
2/1/2009,17.88,Leveling
7/1/2009,17.80109789,InSAR
8/1/2009,17.81109789,InSAR
9/1/2009,17.82109789,InSAR
10/1/2009,17.82109789,InSAR
11/1/2009,17.83109789,InSAR
12/1/2009,17.85109789,InSAR
1/1/2010,17.86109789,InSAR
2/1/2010,17.87109789,InSAR
3/1/2010,17.87109789,InSAR
4/1/2010,17.87109789,InSAR
5/1/2010,17.86109789,InSAR
6/1/2010,17.85109789,InSAR
7/1/2010,17.84109789,InSAR
8/1/2010,17.84109789,InSAR
2/1/2013,18.11,Leveling
3/1/2015,18.74,Leveling
7/1/2015,18.90723274,InSAR
8/1/2015,18.92168429,InSAR
9/1/2015,18.94336161,InSAR
10/1/2015,18.95058739,InSAR
11/1/2015,18.95058739,InSAR
12/1/2015,18.95781316,InSAR
1/1/2016,18.95781316,InSAR
2/1/2016,18.96503894,InSAR
3/1/2016,18.96503894,InSAR
3/1/2016,19.08,Leveling
4/1/2016,18.97949048,InSAR
5/1/2016,18.99394203,InSAR
