datetime,Mean CH - layer 2 (Intermediate Aquifer)
2/1/1904,88.58659487
3/1/1904,88.58595312
4/1/1904,88.58586071
5/1/1904,88.58584197
6/1/1904,88.5858418
7/1/1904,88.58584158
8/1/1904,88.61531453
9/1/1904,88.56747442
10/1/1904,88.5327703
11/1/1904,88.52622399
12/1/1904,88.53471351
1/1/1905,88.54634494
2/1/1905,88.55006507
3/1/1905,88.56155402
4/1/1905,88.54885663
5/1/1905,88.54017327
6/1/1905,88.53961054
7/1/1905,88.53961054
8/1/1905,88.53961054
9/1/1905,88.53961054
10/1/1905,88.53960214
11/1/1905,88.53958115
12/1/1905,88.55216468
1/1/1906,88.55494049
2/1/1906,88.56197685
3/1/1906,88.54114579
4/1/1906,88.50870516
5/1/1906,88.51842547
6/1/1906,88.50959905
7/1/1906,88.5200167
8/1/1906,88.50358216
9/1/1906,88.50251406
10/1/1906,88.49818624
11/1/1906,88.51118261
12/1/1906,88.51029206
1/1/1907,88.50470482
2/1/1907,88.48792099
3/1/1907,88.47962919
4/1/1907,88.47922391
5/1/1907,88.49226589
6/1/1907,88.49076524
7/1/1907,88.48958814
8/1/1907,88.48835039
9/1/1907,88.48562504
10/1/1907,88.47955199
11/1/1907,88.35230474
12/1/1907,87.24552376
1/1/1908,87.21784865
2/1/1908,87.0348981
3/1/1908,86.15814355
4/1/1908,85.95841297
5/1/1908,85.80772051
6/1/1908,85.74465184
7/1/1908,85.69695942
8/1/1908,85.66988687
9/1/1908,85.65644131
10/1/1908,85.67057848
11/1/1908,85.65975186
12/1/1908,85.65737087
1/1/1909,85.64599378
2/1/1909,85.65061687
3/1/1909,85.63917923
4/1/1909,85.62687775
5/1/1909,85.64604093
6/1/1909,85.62648385
7/1/1909,85.6183328
8/1/1909,85.57038692
9/1/1909,85.50703093
10/1/1909,85.40176393
11/1/1909,85.31578774
12/1/1909,85.27309033
1/1/1910,85.25356287
2/1/1910,85.23490957
3/1/1910,85.23468656
4/1/1910,85.23143519
5/1/1910,85.22696812
6/1/1910,85.23395743
7/1/1910,85.24196088
8/1/1910,85.23756865
9/1/1910,85.2350314
10/1/1910,85.24371886
11/1/1910,85.22591424
12/1/1910,85.20971533
1/1/1911,85.19756116
2/1/1911,85.16394004
