Aquifer,Top,Bot,Thick_ft,Description
Upper,0,14,14,sand
Upper,14,15,1,sand
Upper,15,17,2,clay
Upper,17,18,1,sand
Upper,18,20,2,clay
Upper,20,24,4,sand
Upper,24,28,4,clay
Upper,28,37,9,clay
Upper,37,41,4,sand
Upper,41,45,4,clay
Upper,45,77,32,sand
Upper,77,87,10,sand
Upper,87,98,11,clay
Upper,98,104,6,sand
Upper,104,111,7,clay
Upper,111,115,4,sand
Upper,115,120,5,clay
Upper,120,131,11,sand
Middle,131,151,20,clay
Middle,151,191,40,sand
Middle,191,201,10,sand
Middle,201,211,10,clay
Middle,211,221,10,sand
Middle,221,231,10,clay
Middle,231,236,5,sand
Middle,236,241,5,clay
Middle,241,251,10,clay
Middle,251,271,20,sand
Middle,271,276,5,sand
Middle,276,281,5,clay
Middle,281,291,10,clay
Middle,291,296,5,sand
Middle,296,301,5,clay
Middle,301,306,5,sand
Middle,306,311,5,clay
Middle,311,316,5,sand
Middle,316,321,5,clay
Middle,321,326,5,sand
Middle,326,331,5,clay
Middle,331,341,10,sand
Middle,341,351,10,clay
Middle,351,366,15,sand
Middle,366,381,15,clay
Middle,381,386,5,sand
Middle,386,391,5,clay
Middle,391,406,15,sand
Middle,406,491,85,clay
Middle,491,496,5,sand
Middle,496,501,5,clay
Middle,501,511,10,clay
Middle,511,521,10,sand
Middle,521,531,10,clay
Middle,531,541,10,sand
Middle,541,551,10,clay
Middle,551,556,5,sand
Middle,556,561,5,clay
Middle,561,563,2,sand
Middle,563,566,3,clay
Middle,566,568,2,sand
Middle,568,571,3,clay
Middle,571,576,5,sand
Middle,576,581,5,clay
Middle,581,586,5,sand
Middle,586,591,5,clay
Middle,591,621,30,sand
Middle,621,651,30,clay
Middle,651,681,30,sand
Middle,681,711,30,clay
Middle,711,736,25,sand
Middle,736,761,25,clay
Middle,761,786,25,sand
Middle,786,811,25,clay
Middle,811,821,10,sand
Middle,821,831,10,clay
Middle,831,841,10,sand
Middle,841,851,10,clay
Middle,851,861,10,sand
Middle,861,871,10,clay
Middle,871,881,10,sand
Middle,881,891,10,clay
Middle,891,951,60,sand
Middle,951,1011,60,clay
Middle,1011,1016,5,sand
Middle,1016,1021,5,clay
Middle,1021,1026,5,sand
Middle,1026,1031,5,clay
Middle,1031,1071,40,sand
Middle,1071,1111,40,clay
Middle,1111,1126,15,sand
Middle,1126,1141,15,clay
Middle,1141,1156,15,sand
Middle,1156,1171,15,clay
