Date,BLS,Alt,Aquifer
4/21/1941,10.2,46.3,Upper
11/3/1941,16,40.5,Upper
5/11/1942,11.1,45.4,Upper
10/15/1942,14.3,42.2,Upper
5/4/1943,12.7,43.8,Upper
10/14/1943,16.5,40,Upper
4/26/1944,13.7,42.8,Upper
10/11/1944,16.5,40,Upper
4/27/1945,13.5,43,Upper
10/19/1945,17.2,39.3,Upper
4/30/1946,16.8,39.7,Upper
10/9/1946,18.1,38.4,Upper
5/15/1947,25.2,31.3,Upper
10/20/1947,24.7,31.8,Upper
5/6/1948,20.5,36,Upper
10/20/1948,27.2,29.3,Upper
4/27/1949,22.9,33.6,Upper
10/14/1949,31.6,24.9,Upper
5/3/1950,29.4,27.1,Upper
10/11/1950,37.5,19,Upper
5/7/1951,31,25.5,Upper
10/10/1951,33.5,23,Upper
5/6/1952,27.7,28.8,Upper
10/10/1952,33.2,23.3,Upper
4/30/1953,23.2,33.3,Upper
10/10/1953,33.3,23.2,Upper
5/4/1954,29.8,26.7,Upper
10/15/1954,37.1,19.4,Upper
5/10/1955,36,20.5,Upper
10/12/1955,41,15.5,Upper
5/8/1956,24.1,32.4,Upper
10/11/1956,35.3,21.2,Upper
5/2/1957,46.3,10.2,Upper
10/12/1957,36.6,19.9,Upper
3/9/1958,23.3,33.2,Upper
10/9/1958,32.8,23.7,Upper
3/9/1959,23.4,33.1,Upper
10/8/1959,35.2,21.3,Upper
3/7/1960,28.4,28.1,Upper
9/30/1960,53.3,3.2,Upper
3/2/1961,29.6,26.9,Upper
10/10/1961,46.5,10,Upper
3/8/1962,32.7,23.8,Upper
10/1/1962,47.7,8.8,Upper
3/14/1963,29.3,27.2,Upper
10/23/1963,38.6,17.9,Upper
3/15/1964,31.3,25.2,Upper
8/8/1964,73.5,-17,Upper
10/11/1964,44.6,11.9,Upper
10/6/1965,49.7,6.8,Upper
3/7/1966,30.9,25.6,Upper
10/18/1966,51.5,5,Upper
3/4/1967,30.3,26.2,Upper
10/13/1967,43.5,13,Upper
3/25/1968,30.7,25.8,Upper
10/17/1968,46.9,9.6,Upper
3/18/1969,25.4,31.1,Upper
11/18/1969,39.1,17.4,Upper
3/28/1970,28,28.5,Upper
11/7/1970,40.1,16.4,Upper
3/16/1971,28.6,27.9,Upper
