datetime,Mean CH - layer 3 (Lower Aquifer)
2/1/1926,202.9138612
3/1/1926,201.6968242
4/1/1926,200.3709368
5/1/1926,199.5785789
6/1/1926,198.9030577
7/1/1926,198.5425809
8/1/1926,198.1371933
9/1/1926,197.4433728
10/1/1926,195.7396577
11/1/1926,195.1994654
12/1/1926,194.8734313
1/1/1927,194.177762
2/1/1927,193.7123886
3/1/1927,193.3096844
4/1/1927,192.4131059
5/1/1927,191.4939572
6/1/1927,190.8597048
7/1/1927,190.2819573
8/1/1927,189.9276504
9/1/1927,189.6934709
10/1/1927,189.4764571
11/1/1927,189.3949738
12/1/1927,189.3751898
1/1/1928,189.174231
2/1/1928,188.915576
3/1/1928,188.9577231
4/1/1928,188.7818154
5/1/1928,188.730651
6/1/1928,188.5153495
7/1/1928,188.3153562
8/1/1928,188.1525152
9/1/1928,187.930639
10/1/1928,187.8212632
11/1/1928,187.557115
12/1/1928,187.2752976
1/1/1929,187.2926877
2/1/1929,187.4256676
3/1/1929,187.1358141
4/1/1929,187.0062674
5/1/1929,186.6207359
6/1/1929,186.2607788
7/1/1929,186.1313561
8/1/1929,185.9193382
9/1/1929,185.6877536
10/1/1929,185.3318061
11/1/1929,184.907524
12/1/1929,184.7113894
1/1/1930,184.4108859
2/1/1930,184.0505269
3/1/1930,183.8828903
4/1/1930,183.7653881
5/1/1930,183.5278015
6/1/1930,183.4750501
7/1/1930,183.3596971
8/1/1930,183.2138062
9/1/1930,183.1502117
10/1/1930,182.8715979
11/1/1930,182.972046
12/1/1930,182.8397625
1/1/1931,182.7368831
2/1/1931,182.5212668
3/1/1931,182.3413097
4/1/1931,182.1023232
5/1/1931,181.824916
6/1/1931,181.7153855
7/1/1931,181.5931934
8/1/1931,181.5012247
9/1/1931,181.4210392
10/1/1931,181.3049147
11/1/1931,181.2457003
12/1/1931,181.1918562
1/1/1932,181.2212305
2/1/1932,181.3880652
3/1/1932,181.331743
4/1/1932,181.2783505
5/1/1932,181.103337
6/1/1932,181.0210028
7/1/1932,180.9729447
8/1/1932,180.9329125
9/1/1932,181.0188033
10/1/1932,180.8840555
11/1/1932,181.1629805
12/1/1932,181.3994625
1/1/1933,181.4319337
2/1/1933,181.4865471
3/1/1933,181.4178597
4/1/1933,181.3354715
5/1/1933,181.4168839
6/1/1933,181.2010615
7/1/1933,180.829471
8/1/1933,180.6256204
9/1/1933,180.4974655
10/1/1933,180.3080285
11/1/1933,180.118493
12/1/1933,179.9077228
1/1/1934,179.6262138
2/1/1934,179.3773824
3/1/1934,178.6568111
4/1/1934,178.4749316
5/1/1934,178.2529111
6/1/1934,178.1156282
7/1/1934,177.9345546
8/1/1934,177.7673739
9/1/1934,177.6358735
10/1/1934,177.5542556
11/1/1934,177.3726251
12/1/1934,177.1257675
1/1/1935,177.0375143
2/1/1935,176.7842383
3/1/1935,176.6452239
4/1/1935,176.3666945
5/1/1935,175.957705
6/1/1935,175.6297764
7/1/1935,175.4449645
8/1/1935,175.3046998
9/1/1935,175.0938959
10/1/1935,174.9226417
11/1/1935,174.6999946
12/1/1935,174.4830852
1/1/1936,174.277844
2/1/1936,174.2582639
3/1/1936,173.9860981
4/1/1936,173.7110893
5/1/1936,173.6806662
6/1/1936,173.2986941
7/1/1936,173.1965128
8/1/1936,173.0950457
9/1/1936,172.9408603
10/1/1936,172.863918
11/1/1936,172.7222986
12/1/1936,172.7809387
1/1/1937,172.7283223
2/1/1937,172.6788561
3/1/1937,172.6188522
4/1/1937,172.5273646
5/1/1937,172.4047426
6/1/1937,172.3455077
7/1/1937,172.3731973
8/1/1937,172.2054177
9/1/1937,171.9882822
10/1/1937,171.6354796
11/1/1937,171.3264747
12/1/1937,171.0767151
1/1/1938,171.1112137
2/1/1938,170.9461754
3/1/1938,170.8262795
4/1/1938,170.5426501
5/1/1938,170.2645981
6/1/1938,170.061997
7/1/1938,169.9983439
8/1/1938,169.9412952
9/1/1938,169.892437
10/1/1938,169.8495484
11/1/1938,169.7584891
12/1/1938,169.8742755
1/1/1939,169.7905218
2/1/1939,169.7630048
3/1/1939,169.8574307
4/1/1939,169.8299719
5/1/1939,169.8063667
6/1/1939,169.7852021
7/1/1939,169.7677574
8/1/1939,169.7526414
9/1/1939,169.7396262
10/1/1939,169.7286423
11/1/1939,169.8684738
12/1/1939,169.8610062
1/1/1940,169.86503
2/1/1940,169.8498156
3/1/1940,169.8264484
4/1/1940,169.6967689
5/1/1940,169.6671863
6/1/1940,169.4840891
7/1/1940,169.2938079
8/1/1940,169.2491536
9/1/1940,169.1749296
10/1/1940,169.125
11/1/1940,169.0855834
12/1/1940,169.0509599
1/1/1941,169.0199785
2/1/1941,168.9958942
3/1/1941,168.9788908
4/1/1941,168.8150423
5/1/1941,168.777767
6/1/1941,168.7314199
7/1/1941,168.6084065
8/1/1941,168.5373159
9/1/1941,168.3863252
10/1/1941,168.2968926
11/1/1941,168.1707359
12/1/1941,168.0964259
1/1/1942,168.1025946
2/1/1942,168.0005241
3/1/1942,167.8676097
4/1/1942,167.6215974
5/1/1942,167.2525256
6/1/1942,167.1476851
7/1/1942,167.2306038
8/1/1942,167.1532911
9/1/1942,167.0302987
10/1/1942,166.6974008
11/1/1942,166.5739749
12/1/1942,166.432131
1/1/1943,166.4058233
2/1/1943,166.3644182
3/1/1943,166.3318136
4/1/1943,166.2829396
5/1/1943,166.3923332
6/1/1943,166.3657537
7/1/1943,166.3440367
8/1/1943,166.1787518
9/1/1943,166.163227
10/1/1943,166.1492749
11/1/1943,166.1361503
