Aquifer,Top,Bot,Thick_ft,Description
Upper,0,0,0,sand
Upper,0,1,1,clay
Upper,1,3,2,clay
Upper,3,3,0,sand
Upper,3,4,1,clay
Upper,4,5,1,sand
Upper,5,6,1,clay
Upper,6,7,1,sand
Upper,7,9,2,clay
Upper,9,9,0,sand
Upper,9,10,1,clay
Upper,10,11,1,sand
Upper,11,12,1,clay
Upper,12,14,2,sand
Upper,14,17,3,clay
Upper,17,17,0,sand
Upper,17,18,1,clay
Upper,18,18,0,sand
Upper,18,19,1,clay
Upper,19,20,1,sand
Upper,20,21,1,clay
Upper,21,21,0,sand
Upper,21,21,0,clay
Upper,21,22,1,sand
Upper,22,22,0,clay
Upper,22,23,1,sand
Upper,23,24,1,clay
Upper,24,25,1,sand
Upper,25,26,1,clay
Upper,26,28,2,sand
Upper,28,30,2,clay
Upper,30,33,3,sand
Upper,33,36,3,clay
Upper,36,36,0,sand
Upper,36,37,1,clay
Upper,37,38,1,sand
Upper,38,39,1,clay
Upper,39,40,1,clay
Upper,40,41,1,sand
Upper,41,42,1,clay
Upper,42,45,3,sand
Upper,45,48,3,clay
Upper,48,48,0,sand
Upper,48,49,1,clay
Upper,49,52,3,sand
Upper,52,55,3,clay
Upper,60,70,10,sand
Upper,70,80,10,clay
Upper,80,90,10,sand
Upper,90,100,10,clay
Upper,100,110,10,sand
Upper,110,120,10,clay
Upper,120,140,20,sand
Upper,140,160,20,clay
Upper,160,175,15,sand
Upper,175,190,15,clay
Upper,190,205,15,sand
Upper,205,220,15,clay
Upper,220,250,30,sand
Upper,250,280,30,clay
Upper,280,310,30,sand
Corcoran,310,340,30,clay
Lower,340,350,10,sand
Lower,350,360,10,clay
Lower,360,390,30,sand
Lower,390,420,30,clay
Lower,420,440,20,sand
Lower,440,450,10,clay
Lower,450,452,2,sand
Lower,452,455,3,clay
Lower,455,457,2,sand
Lower,457,460,3,clay
Lower,460,467,7,sand
Lower,467,475,8,clay
Lower,475,483,8,sand
Lower,483,490,7,clay
Lower,490,490,0,sand
Lower,490,491,1,clay
Lower,491,492,1,clay
Lower,492,495,3,sand
Lower,495,498,3,clay
Lower,498,500,2,sand
Lower,500,502,2,clay
Lower,502,509,7,sand
Lower,509,516,7,clay
Lower,516,520,4,sand
Lower,520,525,5,clay
Lower,525,527,2,sand
Lower,527,529,2,clay
Lower,529,534,5,sand
Lower,534,535,1,sand
Lower,535,536,1,clay
Lower,536,543,7,clay
Lower,543,544,1,sand
Lower,544,546,2,clay
Lower,546,554,8,sand
Lower,554,556,2,sand
Lower,556,559,3,clay
Lower,559,569,10,clay
Lower,569,571,2,sand
Lower,571,574,3,clay
Lower,574,579,5,clay
Lower,579,589,10,clay
Lower,589,594,5,sand
Lower,594,599,5,clay
Lower,599,609,10,clay
Lower,609,612,3,clay
Lower,612,614,2,sand
Lower,614,616,2,clay
Lower,616,619,3,sand
Lower,619,624,5,clay
Lower,624,634,10,clay
Lower,634,642,8,clay
Lower,642,645,3,sand
Lower,645,648,3,sand
Lower,648,652,4,clay
Lower,652,652,0,sand
Lower,652,653,1,clay
Lower,653,653,0,sand
Lower,653,654,1,clay
Lower,654,656,2,sand
Lower,656,659,3,clay
Lower,659,664,5,clay
Lower,664,669,5,clay
Lower,669,679,10,sand
Lower,679,689,10,clay
Lower,689,692,3,clay
Lower,692,693,1,sand
Lower,693,694,1,clay
Lower,694,696,2,sand
Lower,696,699,3,clay
Lower,699,700,1,sand
Lower,700,702,2,clay
Lower,702,719,17,sand
Lower,719,724,5,clay
Lower,724,729,5,sand
Lower,729,739,10,sand
Lower,739,754,15,clay
Lower,754,768,14,clay
Lower,768,771,3,sand
Lower,771,774,3,clay
Lower,774,776,2,sand
Lower,776,779,3,clay
Lower,779,780,1,sand
Lower,780,781,1,clay
Lower,781,787,6,sand
Lower,787,798,11,clay
Lower,798,808,10,clay
Lower,808,838,30,sand
Lower,838,841,3,sand
Lower,841,849,8,clay
Lower,849,864,15,sand
Lower,864,866,2,sand
Lower,866,887,21,clay
Lower,887,888,1,sand
Lower,888,890,2,clay
Lower,890,897,7,sand
Lower,897,909,12,clay
Lower,909,944,35,sand
Lower,944,952,8,sand
Lower,952,960,8,clay
Lower,960,962,2,sand
Lower,962,964,2,clay
Lower,964,965,1,sand
Lower,965,967,2,clay
Lower,967,969,2,sand
Lower,969,971,2,clay
Lower,971,973,2,sand
Lower,973,976,3,clay
Lower,976,981,5,sand
Lower,981,987,6,clay
Lower,987,991,4,sand
Lower,991,996,5,clay
Lower,996,1001,5,sand
Lower,1001,1007,6,clay
Lower,1007,1010,3,sand
Lower,1010,1013,3,clay
Lower,1013,1016,3,sand
Lower,1016,1019,3,clay
Lower,1019,1020,1,sand
Lower,1020,1022,2,clay
Lower,1022,1026,4,sand
Lower,1026,1030,4,clay
Lower,1030,1033,3,sand
Lower,1033,1036,3,clay
Lower,1036,1037,1,sand
Lower,1037,1038,1,clay
Lower,1038,1042,4,sand
Lower,1042,1046,4,clay
Lower,1046,1048,2,sand
Lower,1048,1050,2,clay
Lower,1050,1056,6,sand
Lower,1056,1062,6,clay
Lower,1062,1065,3,sand
Lower,1065,1069,4,clay
Lower,1069,1070,1,sand
Lower,1070,1071,1,clay
Lower,1071,1074,3,sand
