Date,BLS,Alt,Aquifer
12/11/1935,,173.73,Upper
10/11/1943,,195.73,Upper
10/11/1944,,189.93,Upper
10/11/1945,,199.93,Upper
10/16/1946,,195.03,Upper
10/29/1947,,188.33,Upper
10/28/1948,,180.23,Upper
10/14/1949,,166.23,Upper
10/5/1950,,163.63,Upper
2/5/1951,,169.63,Upper
10/15/1951,,162.73,Upper
2/18/1952,,167.23,Upper
9/15/1952,,178.73,Upper
2/20/1953,,183.03,Upper
10/5/1953,,171.23,Upper
11/5/1953,,171.73,Upper
1/18/1954,,176.93,Upper
2/24/1954,,178.13,Upper
5/11/1954,,188.82,Upper
10/1/1954,,180.92,Upper
2/14/1955,,183.82,Upper
9/8/1955,,181.72,Upper
2/15/1956,,188.22,Upper
10/30/1956,,208.62,Upper
2/19/1957,,204.82,Upper
10/4/1957,,201.12,Upper
2/18/1958,,199.92,Upper
2/13/1959,,211.02,Upper
9/28/1959,,196.32,Upper
2/11/1960,,195.52,Upper
9/28/1960,,178.02,Upper
2/17/1961,,181.22,Upper
4/6/1961,,167.43,Upper
10/5/1961,,166.82,Upper
2/8/1962,,168.32,Upper
2/20/1963,,176.52,Upper
2/11/1964,,193.62,Upper
10/1/1964,,182.12,Upper
2/2/1965,,185.52,Upper
2/3/1966,,201.22,Upper
2/10/1967,,190.42,Upper
2/1/1968,,219.72,Upper
2/3/1969,,194.92,Upper
9/22/1969,,209.92,Upper
1/30/1970,,219.82,Upper
9/30/1970,,206.02,Upper
2/12/1971,,210.52,Upper
10/7/1971,,196.72,Upper
2/22/1972,,183.62,Upper
10/11/1972,,184.22,Upper
2/12/1973,,178.22,Upper
10/2/1973,,200.22,Upper
1/23/1974,,203.72,Upper
10/4/1974,,210.72,Upper
10/1/1975,,207.82,Upper
1/28/1976,,201.82,Upper
10/7/1976,,182.32,Upper
1/25/1977,,186.82,Upper
10/4/1977,,164.82,Upper
2/1/1978,,163.82,Upper
10/3/1978,,197.72,Upper
1/23/1979,,200.82,Upper
1/31/1980,,207.82,Upper
9/24/1980,,213.32,Upper
2/2/1981,,211.82,Upper
9/21/1981,,207.72,Upper
2/1/1982,,199.22,Upper
10/6/1982,,224.32,Upper
2/7/1983,,228.82,Upper
10/17/1983,,237.72,Upper
3/5/1984,,238.22,Upper
10/17/1984,,232.72,Upper
2/6/1985,,232.72,Upper
9/30/1985,,221.22,Upper
2/20/1986,,224.72,Upper
10/1/1986,,242.72,Upper
2/2/1987,,236.72,Upper
10/5/1987,,214.72,Upper
1/22/1988,,217.72,Upper
10/3/1988,,207.22,Upper
1/25/1989,,206.72,Upper
10/2/1989,,187.72,Upper
1/19/1990,,190.72,Upper
10/3/1990,,168.72,Upper
1/21/1991,,174.72,Upper
9/30/1991,,158.72,Upper
1/20/1992,,155.72,Upper
10/6/1992,,144.72,Upper
4/18/1994,,174.72,Upper
10/4/1994,,117.22,Upper
2/1/1995,,151.72,Upper
10/5/1995,,143.72,Upper
1/12/1996,,152.72,Upper
10/2/1996,,140.72,Upper
1/13/1997,,160.72,Upper
10/6/1997,,194.72,Upper
