Date,Subsidence_ft,Source
1/1/1926,0,Leveling
1/1/1970,2.63,Leveling
1/1/1975,2.88,Leveling
10/1/1994,5.15111836,Leveling
12/1/2003,6.34206328,Leveling
1/1/2006,7.143416661,InSAR
2/1/2006,7.135542645,InSAR
3/1/2006,7.132917973,InSAR
4/1/2006,7.132917973,InSAR
5/1/2006,7.124715873,InSAR
12/1/2006,7.194925849,InSAR
9/1/2007,7.357983597,InSAR
10/1/2007,7.377996721,InSAR
11/1/2007,7.398666013,InSAR
12/1/2007,7.415726381,InSAR
1/1/2008,7.433114833,InSAR
2/1/2008,7.450831369,InSAR
3/1/2008,7.468547905,InSAR
4/1/2008,7.493154205,InSAR
5/1/2008,7.518744757,InSAR
6/1/2008,7.554177829,InSAR
7/1/2008,7.586001977,InSAR
7/1/2009,7.965595165,InSAR
8/1/2009,8.005949497,InSAR
9/1/2009,8.038101729,InSAR
10/1/2009,8.067301205,InSAR
11/1/2009,8.097484933,InSAR
12/1/2009,8.127340577,InSAR
1/1/2010,8.151946877,InSAR
2/1/2010,8.169991497,InSAR
3/1/2010,8.190988873,InSAR
4/1/2010,8.209361577,InSAR
5/1/2010,8.234624045,InSAR
6/1/2010,8.261526933,InSAR
7/1/2010,8.287445569,InSAR
8/1/2010,8.314020373,InSAR
2/12/2015,9.61470118,InSAR
2/18/2015,9.633730052,InSAR
2/23/2015,9.649478084,InSAR
3/1/2015,9.668506956,InSAR
3/7/2015,9.687207744,InSAR
3/13/2015,9.704596196,InSAR
3/20/2015,9.723953152,InSAR
3/26/2015,9.740685436,InSAR
4/1/2015,9.757745804,InSAR
4/7/2015,9.770869164,InSAR
4/13/2015,9.783992524,InSAR
4/19/2015,9.797443968,InSAR
4/25/2015,9.810567328,InSAR
5/1/2015,9.835829796,InSAR
5/7/2015,9.861092264,InSAR
5/13/2015,9.886354732,InSAR
5/20/2015,9.915226124,InSAR
5/26/2015,9.935895416,InSAR
6/1/2015,9.956892792,InSAR
6/7/2015,9.977890168,InSAR
6/13/2015,9.998231376,InSAR
6/19/2015,10.01463558,InSAR
6/25/2015,10.02874319,InSAR
7/1/2015,10.04416314,InSAR
7/7/2015,10.05991117,InSAR
7/13/2015,10.07861196,InSAR
7/20/2015,10.10256209,InSAR
7/26/2015,10.12552797,InSAR
8/1/2015,10.14718151,InSAR
8/7/2015,10.16194529,InSAR
8/13/2015,10.17966183,InSAR
8/20/2015,10.19901878,InSAR
8/26/2015,10.21739149,InSAR
9/1/2015,10.2397012,InSAR
9/7/2015,10.26037049,InSAR
