datetime,Mean CH - layer 2 (Intermediate Aquifer)
1/1/1942,49.74839634
2/1/1942,49.69956652
3/1/1942,49.67095843
4/1/1942,49.63828668
5/1/1942,49.64101074
6/1/1942,49.61697084
7/1/1942,49.6130181
8/1/1942,49.60822775
9/1/1942,49.60497895
10/1/1942,49.59848606
11/1/1942,49.60889493
12/1/1942,49.6211871
1/1/1943,49.6185733
2/1/1943,49.58098657
3/1/1943,49.58716732
4/1/1943,49.58214184
5/1/1943,49.57985923
6/1/1943,49.57305504
7/1/1943,49.50894215
8/1/1943,49.49113819
9/1/1943,49.50198685
10/1/1943,49.5011804
11/1/1943,49.50039635
12/1/1943,49.49959323
1/1/1944,49.49870539
2/1/1944,49.49778991
3/1/1944,49.49688331
4/1/1944,49.49575684
5/1/1944,49.49528129
6/1/1944,49.5075204
7/1/1944,49.4926515
8/1/1944,49.4912065
9/1/1944,49.47618295
10/1/1944,49.47533329
11/1/1944,49.47522251
12/1/1944,49.47473292
1/1/1945,49.47429901
2/1/1945,49.4742746
3/1/1945,49.47426457
4/1/1945,49.47425134
5/1/1945,49.47423643
6/1/1945,49.47421867
7/1/1945,49.47419926
8/1/1945,49.47417683
9/1/1945,49.47415204
10/1/1945,49.47412589
11/1/1945,49.47409662
12/1/1945,49.46017756
1/1/1946,49.46014403
2/1/1946,49.46000328
3/1/1946,49.47382918
4/1/1946,49.47378985
5/1/1946,49.4737504
6/1/1946,49.47362192
7/1/1946,49.47345768
8/1/1946,49.45792828
9/1/1946,49.47076074
10/1/1946,49.46782309
11/1/1946,49.46005724
12/1/1946,49.45846648
1/1/1947,49.45746301
2/1/1947,49.45592053
3/1/1947,49.45537626
4/1/1947,49.45501649
5/1/1947,49.45335081
6/1/1947,49.44920938
7/1/1947,49.4464412
8/1/1947,49.44378783
9/1/1947,49.42712286
10/1/1947,49.42591392
11/1/1947,49.42522669
12/1/1947,49.42468215
1/1/1948,49.42456552
2/1/1948,49.42439191
3/1/1948,49.42426975
4/1/1948,49.42409317
5/1/1948,49.45039023
6/1/1948,49.45006771
7/1/1948,49.43631036
8/1/1948,49.43612107
9/1/1948,49.43584303
10/1/1948,49.43522247
11/1/1948,49.43516272
12/1/1948,49.43485249
1/1/1949,49.43441029
2/1/1949,49.4456373
3/1/1949,49.44247346
4/1/1949,49.43993841
5/1/1949,49.43698624
6/1/1949,49.43432078
7/1/1949,49.47136614
8/1/1949,49.45429331
9/1/1949,49.45892984
10/1/1949,49.45737066
11/1/1949,49.45696832
12/1/1949,49.45635752
