datetime,Mean CH - layer 3 (Lower Aquifer)
2/1/1901,300.2474286
3/1/1901,298.0033009
4/1/1901,290.6294942
5/1/1901,285.419318
6/1/1901,280.8131739
7/1/1901,280.1365726
8/1/1901,279.9454504
9/1/1901,279.8280298
10/1/1901,279.7072023
11/1/1901,279.606664
12/1/1901,279.5046103
1/1/1902,279.2530271
2/1/1902,278.9786161
3/1/1902,269.7460986
4/1/1902,258.8245932
5/1/1902,257.7270898
6/1/1902,257.3310605
7/1/1902,257.160408
8/1/1902,257.0554117
9/1/1902,256.9225423
10/1/1902,256.6340252
11/1/1902,255.5983639
12/1/1902,255.2138597
1/1/1903,254.1614679
2/1/1903,251.6713443
3/1/1903,244.6386811
4/1/1903,234.6948375
5/1/1903,232.2960258
6/1/1903,231.1746336
7/1/1903,227.7584672
8/1/1903,224.9677509
9/1/1903,223.8896356
10/1/1903,223.4725082
11/1/1903,223.001283
12/1/1903,222.6816175
1/1/1904,222.4089435
2/1/1904,222.1448688
3/1/1904,221.9752102
4/1/1904,221.8885995
5/1/1904,221.8477153
6/1/1904,221.8371713
7/1/1904,221.8540085
8/1/1904,221.8537832
9/1/1904,221.8537832
10/1/1904,221.8537832
11/1/1904,221.8537832
12/1/1904,221.8537832
1/1/1905,221.8537832
2/1/1905,221.8537832
3/1/1905,221.8537832
4/1/1905,221.8537832
5/1/1905,221.8537832
6/1/1905,221.8537832
7/1/1905,221.8537832
8/1/1905,221.871144
9/1/1905,221.871144
10/1/1905,221.8282101
11/1/1905,221.856457
12/1/1905,221.865397
1/1/1906,219.7010519
2/1/1906,215.6172642
3/1/1906,209.5719764
4/1/1906,201.0450936
5/1/1906,199.6247525
6/1/1906,198.7437804
7/1/1906,197.6337013
8/1/1906,196.8995389
9/1/1906,195.3679369
10/1/1906,191.1408037
11/1/1906,183.0373288
12/1/1906,181.8928467
1/1/1907,180.8543669
2/1/1907,180.1034476
3/1/1907,179.8082912
4/1/1907,179.6198213
5/1/1907,179.564255
6/1/1907,179.5865823
7/1/1907,179.5865823
8/1/1907,179.5865823
9/1/1907,179.5865823
10/1/1907,179.5865823
11/1/1907,179.5865823
12/1/1907,179.5865823
1/1/1908,179.5865823
2/1/1908,179.5865823
3/1/1908,179.5865823
4/1/1908,179.5865823
5/1/1908,179.5865823
6/1/1908,179.5865823
7/1/1908,179.5865823
8/1/1908,179.5865823
9/1/1908,179.568596
10/1/1908,179.5765355
11/1/1908,179.5543208
12/1/1908,179.5097823
1/1/1909,179.4653633
2/1/1909,179.4515443
3/1/1909,179.4586214
4/1/1909,179.4567087
5/1/1909,179.4695471
6/1/1909,179.4213329
7/1/1909,179.384219
8/1/1909,179.3804722
9/1/1909,179.3783416
10/1/1909,179.3763753
11/1/1909,179.3742367
12/1/1909,179.3856226
1/1/1910,179.3856226
2/1/1910,179.3856226
3/1/1910,179.3856226
4/1/1910,179.3856226
5/1/1910,179.3733649
6/1/1910,179.3694026
7/1/1910,179.3723862
8/1/1910,179.3786623
9/1/1910,179.3786623
10/1/1910,179.3668425
11/1/1910,179.3668425
12/1/1910,179.3524826
1/1/1911,179.3668425
2/1/1911,179.3668425
3/1/1911,179.3668425
4/1/1911,179.3524826
5/1/1911,179.3524826
6/1/1911,179.3524826
7/1/1911,179.3668425
8/1/1911,179.3668425
9/1/1911,179.3668425
10/1/1911,179.3668425
11/1/1911,179.3668425
12/1/1911,179.3668425
1/1/1912,179.3668425
2/1/1912,179.3668425
3/1/1912,179.3668425
4/1/1912,179.3668425
5/1/1912,179.3668425
6/1/1912,179.3668425
7/1/1912,179.3668425
8/1/1912,179.3668425
9/1/1912,179.3668425
10/1/1912,179.3668425
11/1/1912,179.3668425
12/1/1912,179.3668425
1/1/1913,179.3668425
2/1/1913,179.3668425
3/1/1913,179.3668418
4/1/1913,179.3668418
5/1/1913,179.3668418
6/1/1913,179.3668418
7/1/1913,179.3668418
8/1/1913,179.3668418
9/1/1913,179.3668418
10/1/1913,179.3668418
11/1/1913,179.3668418
12/1/1913,179.3668418
1/1/1914,179.3668418
2/1/1914,179.3668418
3/1/1914,179.3668418
4/1/1914,179.3668418
5/1/1914,179.3668418
6/1/1914,179.3668418
7/1/1914,179.3668418
8/1/1914,179.3631281
9/1/1914,179.3614719
10/1/1914,179.3244643
11/1/1914,179.3195085
12/1/1914,179.3327015
1/1/1915,179.3489601
2/1/1915,179.3718567
3/1/1915,179.3685461
4/1/1915,179.3658045
5/1/1915,179.3923755
6/1/1915,179.3276979
7/1/1915,179.2905554
8/1/1915,179.2597531
9/1/1915,179.1779506
10/1/1915,178.7393455
11/1/1915,178.3840909
12/1/1915,178.2147038
1/1/1916,178.1108443
2/1/1916,177.9487013
3/1/1916,177.9193944
4/1/1916,177.9157229
5/1/1916,177.8988496
6/1/1916,177.8978804
7/1/1916,177.8848793
8/1/1916,177.8848793
9/1/1916,177.9075926
10/1/1916,177.9175946
11/1/1916,177.9048355
12/1/1916,177.9048355
1/1/1917,177.9048355
2/1/1917,177.8920272
3/1/1917,177.8920272
4/1/1917,177.8920272
5/1/1917,177.8920272
6/1/1917,177.8920272
7/1/1917,177.8920272
8/1/1917,177.8920272
9/1/1917,177.8920272
10/1/1917,177.8920272
11/1/1917,177.8920272
12/1/1917,177.8920272
1/1/1918,177.8920272
2/1/1918,177.8920272
3/1/1918,177.8920272
4/1/1918,177.8920272
5/1/1918,177.8920272
6/1/1918,177.8920272
7/1/1918,177.8920272
8/1/1918,177.9044168
9/1/1918,177.9043013
10/1/1918,177.9043013
11/1/1918,177.9043013
12/1/1918,177.9043013
1/1/1919,177.9043013
2/1/1919,177.9043013
3/1/1919,177.9043013
4/1/1919,177.9043013
5/1/1919,177.9043013
6/1/1919,177.9043013
7/1/1919,177.9043013
8/1/1919,177.9043013
9/1/1919,177.9043013
10/1/1919,177.9043013
11/1/1919,177.9043013
12/1/1919,177.9043013
